;ENSCAFT00000009605_90_90;ENST00000301244_90_90;ENST00000454580_90_90;ENST00000587090_90_90;ENST00000587334_90_90;ENST00000587516_90_90;ENST00000590510_90_90;ENST00000590738_90_90;ENST00000592007_90_90;ENSMUST00000098604_90_90;ENSMUST00000108236_90_90;ENSMUST00000207601_90_90
ENSCAFT00000009605_90_90;1.0;0.647;0.529;0.562;0.294;0.438;0.143;0.294;0.214;0.867;0.733;0.333
ENST00000301244_90_90;0.647;1.0;0.857;0.786;0.375;0.643;0.143;0.467;0.214;0.556;0.444;0.25
ENST00000454580_90_90;0.529;0.857;1.0;0.769;0.429;0.5;0.077;0.538;0.154;0.444;0.5;0.286
ENST00000587090_90_90;0.562;0.786;0.769;1.0;0.462;0.429;0.182;0.583;0.273;0.471;0.438;0.214
ENST00000587334_90_90;0.294;0.375;0.429;0.462;1.0;0.214;0.0;0.455;0.0;0.294;0.333;0.0
ENST00000587516_90_90;0.438;0.643;0.5;0.429;0.214;1.0;0.1;0.417;0.091;0.353;0.235;0.154
ENST00000590510_90_90;0.143;0.143;0.077;0.182;0.0;0.1;1.0;0.0;0.667;0.143;0.077;0.143
ENST00000590738_90_90;0.294;0.467;0.538;0.583;0.455;0.417;0.0;1.0;0.0;0.222;0.25;0.077
ENST00000592007_90_90;0.214;0.214;0.154;0.273;0.0;0.091;0.667;0.0;1.0;0.214;0.154;0.286
ENSMUST00000098604_90_90;0.867;0.556;0.444;0.471;0.294;0.353;0.143;0.222;0.214;1.0;0.857;0.25
ENSMUST00000108236_90_90;0.733;0.444;0.5;0.438;0.333;0.235;0.077;0.25;0.154;0.857;1.0;0.286
ENSMUST00000207601_90_90;0.333;0.25;0.286;0.214;0.0;0.154;0.143;0.077;0.286;0.25;0.286;1.0
