id_transcript;block_sequence
ENSCAFT00000009605_90_90;0.2.3.4.5.6.7.10.11.14.15.16.19.20
ENST00000301244_90_90;0.1.3.4.5.6.7.10.11.12.15.16.17.20
ENST00000454580_90_90;0.1.5.6.7.10.11.12.15.16.17.20
ENST00000587090_90_90;4.5.6.7.10.11.12.15.16.17.20
ENST00000587334_90_90;11.12.13.14.15.16.17.20
ENST00000587516_90_90;0.1.3.4.7.10.11.12.15
ENST00000590510_90_90;4.5
ENST00000590738_90_90;7.10.11.12.15.16.17.18
ENST00000592007_90_90;4.5.6
ENSMUST00000098604_90_90;0.2.3.4.5.6.9.10.11.14.15.16.19.20
ENSMUST00000108236_90_90;0.2.5.6.9.10.11.14.15.16.19.20
ENSMUST00000207601_90_90;0.2.5.6.7.8
