;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript7_MGP-SPRETEiJ-G0021131;transcript71_MGP-SPRETEiJ-G0021131;transcript50_MGP-PahariEiJ-G0020237;transcript55_ENSMSIG00000000513;transcript64_ENSMSIG00000000513;transcript67_ENSMSIG00000000513;transcript54_ENSMUSG00000054036;transcript60_ENSMSIG00000000513;transcript60_MGP-CAROLIEiJ-G0020234;transcript59_MGP-SPRETEiJ-G0021131;transcript59_MGP-CAROLIEiJ-G0020234;transcript61_MGP-SPRETEiJ-G0021131;transcript61_MGP-CAROLIEiJ-G0020234;transcript50_ENSMSIG00000000513;transcript50_MGP-CAROLIEiJ-G0020234;transcript62_MGP-SPRETEiJ-G0021131;transcript69_MGP-SPRETEiJ-G0021131;transcript72_MGP-SPRETEiJ-G0021131;transcript57_MGP-PahariEiJ-G0020237;transcript70_MGP-SPRETEiJ-G0021131
transcript7_ENSMSIG00000000513;1.0;0.97;0.998;0.79;0.758;0.804;0.777;0.786;0.823;0.78;0.802;0.821;0.844;0.812;0.836;0.757;0.768;0.816;0.8;0.825;0.735;0.784
transcript7_ENSMUSG00000054036;0.97;1.0;0.96;0.754;0.8;0.858;0.843;0.835;0.721;0.791;0.808;0.733;0.763;0.726;0.757;0.803;0.81;0.778;0.763;0.779;0.703;0.745
transcript7_MGP-SPRETEiJ-G0021131;0.998;0.96;1.0;0.684;0.808;0.851;0.814;0.839;0.75;0.817;0.839;0.706;0.729;0.7;0.722;0.806;0.823;0.706;0.693;0.713;0.683;0.675
transcript71_MGP-SPRETEiJ-G0021131;0.79;0.754;0.684;1.0;0.756;0.875;0.838;0.863;0.94;0.753;0.673;0.902;0.908;0.897;0.903;0.867;0.768;0.979;0.966;0.958;0.942;0.95
transcript50_MGP-PahariEiJ-G0020237;0.758;0.8;0.808;0.756;1.0;0.952;0.883;0.961;0.77;0.835;0.834;0.708;0.675;0.702;0.67;1.0;0.998;0.75;0.738;0.73;0.8;0.722
transcript55_ENSMSIG00000000513;0.804;0.858;0.851;0.875;0.952;1.0;0.93;0.979;0.891;0.819;0.828;0.783;0.741;0.776;0.734;0.951;0.966;0.9;0.884;0.877;0.919;0.87
transcript64_ENSMSIG00000000513;0.777;0.843;0.814;0.838;0.883;0.93;1.0;0.91;0.827;0.88;0.893;0.746;0.722;0.739;0.716;0.881;0.896;0.863;0.848;0.84;0.855;0.833
transcript67_ENSMSIG00000000513;0.786;0.835;0.839;0.863;0.961;0.979;0.91;1.0;0.901;0.8;0.811;0.772;0.725;0.764;0.718;0.96;0.976;0.888;0.887;0.865;0.928;0.859
transcript54_ENSMUSG00000054036;0.823;0.721;0.75;0.94;0.77;0.891;0.827;0.901;1.0;0.778;0.71;0.92;0.882;0.913;0.876;0.871;0.79;0.964;0.949;0.941;0.975;0.932
transcript60_ENSMSIG00000000513;0.78;0.791;0.817;0.753;0.835;0.819;0.88;0.8;0.778;1.0;0.998;0.851;0.8;0.843;0.793;0.835;0.828;0.746;0.73;0.723;0.75;0.716
transcript60_MGP-CAROLIEiJ-G0020234;0.802;0.808;0.839;0.673;0.834;0.828;0.893;0.811;0.71;0.998;1.0;0.739;0.704;0.731;0.698;0.832;0.835;0.676;0.661;0.653;0.684;0.645
transcript59_MGP-SPRETEiJ-G0021131;0.821;0.733;0.706;0.902;0.708;0.783;0.746;0.772;0.92;0.851;0.739;1.0;0.995;0.994;0.988;0.809;0.71;0.894;0.881;0.873;0.868;0.865
transcript59_MGP-CAROLIEiJ-G0020234;0.844;0.763;0.729;0.908;0.675;0.741;0.722;0.725;0.882;0.8;0.704;0.995;1.0;0.988;0.994;0.742;0.668;0.909;0.894;0.886;0.822;0.878
transcript61_MGP-SPRETEiJ-G0021131;0.812;0.726;0.7;0.897;0.702;0.776;0.739;0.764;0.913;0.843;0.731;0.994;0.988;1.0;0.995;0.802;0.704;0.889;0.876;0.868;0.863;0.859
transcript61_MGP-CAROLIEiJ-G0020234;0.836;0.757;0.722;0.903;0.67;0.734;0.716;0.718;0.876;0.793;0.698;0.988;0.994;0.995;1.0;0.735;0.664;0.903;0.888;0.88;0.817;0.873
transcript50_ENSMSIG00000000513;0.757;0.803;0.806;0.867;1.0;0.951;0.881;0.96;0.871;0.835;0.832;0.809;0.742;0.802;0.735;1.0;0.998;0.858;0.843;0.835;0.901;0.829
transcript50_MGP-CAROLIEiJ-G0020234;0.768;0.81;0.823;0.768;0.998;0.966;0.896;0.976;0.79;0.828;0.835;0.71;0.668;0.704;0.664;0.998;1.0;0.771;0.756;0.748;0.821;0.741
transcript62_MGP-SPRETEiJ-G0021131;0.816;0.778;0.706;0.979;0.75;0.9;0.863;0.888;0.964;0.746;0.676;0.894;0.909;0.889;0.903;0.858;0.771;1.0;0.987;0.979;0.963;0.97
transcript69_MGP-SPRETEiJ-G0021131;0.8;0.763;0.693;0.966;0.738;0.884;0.848;0.887;0.949;0.73;0.661;0.881;0.894;0.876;0.888;0.843;0.756;0.987;1.0;0.967;0.95;0.957
transcript72_MGP-SPRETEiJ-G0021131;0.825;0.779;0.713;0.958;0.73;0.877;0.84;0.865;0.941;0.723;0.653;0.873;0.886;0.868;0.88;0.835;0.748;0.979;0.967;1.0;0.943;0.95
transcript57_MGP-PahariEiJ-G0020237;0.735;0.703;0.683;0.942;0.8;0.919;0.855;0.928;0.975;0.75;0.684;0.868;0.822;0.863;0.817;0.901;0.821;0.963;0.95;0.943;1.0;0.935
transcript70_MGP-SPRETEiJ-G0021131;0.784;0.745;0.675;0.95;0.722;0.87;0.833;0.859;0.932;0.716;0.645;0.865;0.878;0.859;0.873;0.829;0.741;0.97;0.957;0.95;0.935;1.0
