;ENSCAFT00000017682_90_90;ENST00000329008_90_90;ENST00000395275_90_90;ENST00000395276_90_90;ENST00000405452_90_90;ENST00000431984_90_90;ENST00000446128_90_90;ENSMUST00000086029_90_90;ENSMUST00000111287_90_90;ENSMUST00000111288_90_90;ENSMUST00000141131_90_90;ENSMUST00000202728_90_90
ENSCAFT00000017682_90_90;1.0;0.839;0.995;0.839;0.36;0.839;0.479;0.846;0.842;0.842;0.271;0.136
ENST00000329008_90_90;0.839;1.0;0.839;1.0;0.427;1.0;0.571;0.954;1.0;1.0;0.321;0.149
ENST00000395275_90_90;0.995;0.839;1.0;0.839;0.359;0.839;0.479;0.825;0.842;0.842;0.271;0.137
ENST00000395276_90_90;0.839;1.0;0.839;1.0;0.427;1.0;0.571;0.954;1.0;1.0;0.321;0.149
ENST00000405452_90_90;0.36;0.427;0.359;0.427;1.0;0.427;0.0;0.409;0.429;0.429;0.0;0.0
ENST00000431984_90_90;0.839;1.0;0.839;1.0;0.427;1.0;0.571;0.954;1.0;1.0;0.321;0.149
ENST00000446128_90_90;0.479;0.571;0.479;0.571;0.0;0.571;1.0;0.544;0.571;0.571;0.563;0.253
ENSMUST00000086029_90_90;0.846;0.954;0.825;0.954;0.409;0.954;0.544;1.0;0.839;0.839;0.269;0.292
ENSMUST00000111287_90_90;0.842;1.0;0.842;1.0;0.429;1.0;0.571;0.839;1.0;1.0;0.321;0.132
ENSMUST00000111288_90_90;0.842;1.0;0.842;1.0;0.429;1.0;0.571;0.839;1.0;1.0;0.321;0.132
ENSMUST00000141131_90_90;0.271;0.321;0.271;0.321;0.0;0.321;0.563;0.269;0.321;0.321;1.0;0.306
ENSMUST00000202728_90_90;0.136;0.149;0.137;0.149;0.0;0.149;0.253;0.292;0.132;0.132;0.306;1.0
