;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript6_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript16_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript2_ENSXMAG00000026005;transcript7_ENSXMAG00000026005;transcript8_ENSXMAG00000026005;transcript9_ENSXMAG00000026005;transcript10_ENSXMAG00000026005
transcript2_ENSHGLG00100006079;1.0;0.583;0.944;0.146;0.467;0.89;0.89;1.0;1.0;1.0;0.117;0.658;1.0;0.966
transcript8_ENSHGLG00100006079;0.583;1.0;0.462;0.097;0.283;0.201;0.201;0.205;0.583;0.583;0.088;0.952;0.583;0.571
transcript6_ENSPCIG00000036398;0.944;0.462;1.0;0.145;0.494;0.912;0.912;1.0;0.951;0.945;0.126;0.524;0.945;0.95
transcript7_ENSPCIG00000036398;0.146;0.097;0.145;1.0;0.605;0.32;0.32;0.32;0.146;0.146;0.307;0.098;0.146;0.146
transcript7_ENSMUNG00000007775;0.467;0.283;0.494;0.605;1.0;0.762;0.762;0.762;0.467;0.467;0.376;0.265;0.467;0.467
transcript16_ENSMUNG00000007775;0.89;0.201;0.912;0.32;0.762;1.0;1.0;1.0;0.89;0.89;0.16;0.253;0.89;0.89
transcript23_ENSMUNG00000007775;0.89;0.201;0.912;0.32;0.762;1.0;1.0;1.0;0.89;0.89;0.16;0.253;0.89;0.89
transcript16_ENSMUNG00000002377;1.0;0.205;1.0;0.32;0.762;1.0;1.0;1.0;1.0;1.0;0.166;0.265;1.0;1.0
transcript10_ENSMUNG00000002391;1.0;0.583;0.951;0.146;0.467;0.89;0.89;1.0;1.0;1.0;0.124;0.659;1.0;1.0
transcript2_ENSXMAG00000026005;1.0;0.583;0.945;0.146;0.467;0.89;0.89;1.0;1.0;1.0;0.117;0.658;1.0;0.966
transcript7_ENSXMAG00000026005;0.117;0.088;0.126;0.307;0.376;0.16;0.16;0.166;0.124;0.117;1.0;0.088;0.117;0.124
transcript8_ENSXMAG00000026005;0.658;0.952;0.524;0.098;0.265;0.253;0.253;0.265;0.659;0.658;0.088;1.0;0.658;0.645
transcript9_ENSXMAG00000026005;1.0;0.583;0.945;0.146;0.467;0.89;0.89;1.0;1.0;1.0;0.117;0.658;1.0;0.966
transcript10_ENSXMAG00000026005;0.966;0.571;0.95;0.146;0.467;0.89;0.89;1.0;1.0;0.966;0.124;0.645;0.966;1.0
