;transcript8_ENSMPUG00000020072;transcript8_ENSECAG00000007947;transcript6_ENSMPUG00000020072;transcript13_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript4_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript14_ENSECAG00000007947;transcript18_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript16_ENSECAG00000007947;transcript15_ENSECAG00000007947;transcript20_ENSECAG00000007947
transcript8_ENSMPUG00000020072;1.0;0.537;0.601;0.596;0.511;0.32;0.32;0.323;0.309;0.309;0.269;0.269;0.269;0.282;0.279;0.275
transcript8_ENSECAG00000007947;0.537;1.0;0.395;0.391;0.341;0.599;0.599;0.602;0.576;0.576;0.448;0.448;0.448;0.504;0.501;0.487
transcript6_ENSMPUG00000020072;0.601;0.395;1.0;0.994;0.882;0.532;0.532;0.53;0.507;0.507;0.425;0.425;0.425;0.487;0.484;0.482
transcript13_ENSMPUG00000020072;0.596;0.391;0.994;1.0;0.876;0.529;0.529;0.527;0.504;0.504;0.427;0.427;0.427;0.484;0.481;0.479
transcript10_ENSMPUG00000020072;0.511;0.341;0.882;0.876;1.0;0.48;0.48;0.482;0.496;0.496;0.373;0.373;0.373;0.534;0.531;0.47
transcript6_ENSECAG00000007947;0.32;0.599;0.532;0.529;0.48;1.0;1.0;0.997;0.954;0.954;0.692;0.692;0.692;0.883;0.88;0.865
transcript17_ENSECAG00000007947;0.32;0.599;0.532;0.529;0.48;1.0;1.0;0.997;0.954;0.954;0.692;0.692;0.692;0.883;0.88;0.865
transcript4_ENSECAG00000007947;0.323;0.602;0.53;0.527;0.482;0.997;0.997;1.0;0.957;0.957;0.695;0.695;0.695;0.885;0.883;0.868
transcript7_ENSECAG00000007947;0.309;0.576;0.507;0.504;0.496;0.954;0.954;0.957;1.0;1.0;0.665;0.665;0.665;0.928;0.926;0.911
transcript21_ENSECAG00000007947;0.309;0.576;0.507;0.504;0.496;0.954;0.954;0.957;1.0;1.0;0.665;0.665;0.665;0.928;0.926;0.911
transcript14_ENSECAG00000007947;0.269;0.448;0.425;0.427;0.373;0.692;0.692;0.695;0.665;0.665;1.0;1.0;1.0;0.593;0.59;0.576
transcript18_ENSECAG00000007947;0.269;0.448;0.425;0.427;0.373;0.692;0.692;0.695;0.665;0.665;1.0;1.0;1.0;0.593;0.59;0.576
transcript19_ENSECAG00000007947;0.269;0.448;0.425;0.427;0.373;0.692;0.692;0.695;0.665;0.665;1.0;1.0;1.0;0.593;0.59;0.576
transcript16_ENSECAG00000007947;0.282;0.504;0.487;0.484;0.534;0.883;0.883;0.885;0.928;0.928;0.593;0.593;0.593;1.0;0.997;0.84
transcript15_ENSECAG00000007947;0.279;0.501;0.484;0.481;0.531;0.88;0.88;0.883;0.926;0.926;0.59;0.59;0.59;0.997;1.0;0.837
transcript20_ENSECAG00000007947;0.275;0.487;0.482;0.479;0.47;0.865;0.865;0.868;0.911;0.911;0.576;0.576;0.576;0.84;0.837;1.0
