;ENSCAFT00000023420_90_90;ENST00000319770_90_90;ENST00000355772_90_90;ENST00000361959_90_90;ENST00000396801_90_90;ENST00000417772_90_90;ENST00000436774_90_90;ENST00000535485_90_90;ENST00000538829_90_90;ENST00000540915_90_90;ENST00000542351_90_90;ENST00000544482_90_90;ENST00000545946_90_90;ENSMUST00000046064_90_90;ENSMUST00000054553_90_90;ENSMUST00000084275_90_90;ENSMUST00000088308_90_90;ENSMUST00000112424_90_90;ENSMUST00000112425_90_90;ENSMUST00000112427_90_90;ENSMUST00000112428_90_90;ENSMUST00000152752_90_90
ENSCAFT00000023420_90_90;1.0;0.892;0.797;0.998;0.998;0.602;0.479;0.292;0.22;0.354;0.205;0.203;0.272;0.894;0.797;0.998;0.998;0.97;0.892;0.998;0.894;0.218
ENST00000319770_90_90;0.892;1.0;0.893;0.894;0.894;0.515;0.537;0.326;0.246;0.395;0.227;0.226;0.307;0.943;0.894;0.894;0.894;0.866;0.999;0.894;0.943;0.244
ENST00000355772_90_90;0.797;0.893;1.0;0.799;0.799;0.421;0.476;0.258;0.208;0.289;0.212;0.213;0.343;0.842;1.0;0.799;0.799;0.821;0.893;0.799;0.842;0.253
ENST00000361959_90_90;0.998;0.894;0.799;1.0;1.0;0.57;0.48;0.291;0.22;0.354;0.203;0.202;0.274;0.848;0.799;0.999;0.999;0.972;0.894;0.999;0.848;0.218
ENST00000396801_90_90;0.998;0.894;0.799;1.0;1.0;0.57;0.48;0.291;0.22;0.354;0.203;0.202;0.274;0.848;0.799;0.999;0.999;0.972;0.894;0.999;0.848;0.218
ENST00000417772_90_90;0.602;0.515;0.421;0.57;0.57;1.0;0.733;0.445;0.336;0.54;0.31;0.309;0.0;0.568;0.422;0.571;0.571;0.544;0.515;0.571;0.568;0.332
ENST00000436774_90_90;0.479;0.537;0.476;0.48;0.48;0.733;1.0;0.606;0.379;0.642;0.345;0.347;0.0;0.507;0.477;0.48;0.48;0.494;0.537;0.48;0.507;0.453
ENST00000535485_90_90;0.292;0.326;0.258;0.291;0.291;0.445;0.606;1.0;0.603;0.824;0.549;0.553;0.0;0.307;0.259;0.291;0.291;0.299;0.326;0.291;0.307;0.748
ENST00000538829_90_90;0.22;0.246;0.208;0.22;0.22;0.336;0.379;0.603;1.0;0.623;0.919;0.919;0.0;0.232;0.209;0.22;0.22;0.192;0.246;0.22;0.232;0.673
ENST00000540915_90_90;0.354;0.395;0.289;0.354;0.354;0.54;0.642;0.824;0.623;1.0;0.573;0.572;0.0;0.373;0.29;0.354;0.354;0.326;0.395;0.354;0.373;0.615
ENST00000542351_90_90;0.205;0.227;0.212;0.203;0.203;0.31;0.345;0.549;0.919;0.573;1.0;0.989;0.0;0.216;0.213;0.204;0.204;0.177;0.228;0.204;0.216;0.715
ENST00000544482_90_90;0.203;0.226;0.213;0.202;0.202;0.309;0.347;0.553;0.919;0.572;0.989;1.0;0.0;0.214;0.213;0.203;0.203;0.176;0.227;0.203;0.214;0.72
ENST00000545946_90_90;0.272;0.307;0.343;0.274;0.274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.288;0.342;0.273;0.273;0.281;0.306;0.273;0.288;0.0
ENSMUST00000046064_90_90;0.894;0.943;0.842;0.848;0.848;0.568;0.507;0.307;0.232;0.373;0.216;0.214;0.288;1.0;0.845;0.85;0.85;0.824;0.944;0.85;1.0;0.226
ENSMUST00000054553_90_90;0.797;0.894;1.0;0.799;0.799;0.422;0.477;0.259;0.209;0.29;0.213;0.213;0.342;0.845;1.0;0.801;0.801;0.824;0.895;0.801;0.845;0.249
ENSMUST00000084275_90_90;0.998;0.894;0.799;0.999;0.999;0.571;0.48;0.291;0.22;0.354;0.204;0.203;0.273;0.85;0.801;1.0;1.0;0.973;0.896;1.0;0.85;0.215
ENSMUST00000088308_90_90;0.998;0.894;0.799;0.999;0.999;0.571;0.48;0.291;0.22;0.354;0.204;0.203;0.273;0.85;0.801;1.0;1.0;0.973;0.896;1.0;0.85;0.215
ENSMUST00000112424_90_90;0.97;0.866;0.821;0.972;0.972;0.544;0.494;0.299;0.192;0.326;0.177;0.176;0.281;0.824;0.824;0.973;0.973;1.0;0.868;0.973;0.824;0.221
ENSMUST00000112425_90_90;0.892;0.999;0.893;0.894;0.894;0.515;0.537;0.326;0.246;0.395;0.228;0.227;0.306;0.944;0.895;0.896;0.896;0.868;1.0;0.896;0.944;0.24
ENSMUST00000112427_90_90;0.998;0.894;0.799;0.999;0.999;0.571;0.48;0.291;0.22;0.354;0.204;0.203;0.273;0.85;0.801;1.0;1.0;0.973;0.896;1.0;0.85;0.215
ENSMUST00000112428_90_90;0.894;0.943;0.842;0.848;0.848;0.568;0.507;0.307;0.232;0.373;0.216;0.214;0.288;1.0;0.845;0.85;0.85;0.824;0.944;0.85;1.0;0.226
ENSMUST00000152752_90_90;0.218;0.244;0.253;0.218;0.218;0.332;0.453;0.748;0.673;0.615;0.715;0.72;0.0;0.226;0.249;0.215;0.215;0.221;0.24;0.215;0.226;1.0
