;transcript24_ENSAPOG00000023408;transcript7_ENSAPOG00000023408;transcript20_ENSAPOG00000016134;transcript23_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript12_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript8_ENSAPOG00000016134;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript17_ENSHGLG00000019563;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSXMAG00000026005;transcript0_ENSPNYG00000024266;transcript22_ENSMUNG00000002391;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391
transcript24_ENSAPOG00000023408;1.0;0.947;0.529;0.324;0.565;0.5;0.5;0.31;0.31;0.367;0.31;0.31;0.31;0.277;0.277;0.277;0.261;0.128;0.236;0.213;0.213;0.213;0.435;0.327;0.327;0.565;0.367;0.289
transcript7_ENSAPOG00000023408;0.947;1.0;0.559;0.353;0.609;0.528;0.528;0.333;0.333;0.388;0.333;0.333;0.333;0.298;0.298;0.298;0.255;0.149;0.255;0.234;0.234;0.234;0.478;0.345;0.345;0.609;0.388;0.311
transcript20_ENSAPOG00000016134;0.529;0.559;1.0;0.694;0.529;0.944;0.944;0.614;0.651;0.694;0.651;0.651;0.651;0.583;0.583;0.583;0.542;0.438;0.527;0.521;0.521;0.521;0.441;0.618;0.618;0.529;0.694;0.609
transcript23_ENSAPOG00000023408;0.324;0.353;0.694;1.0;0.406;0.75;0.75;0.6;0.641;0.551;0.641;0.641;0.641;0.568;0.568;0.568;0.523;0.409;0.453;0.5;0.5;0.5;0.312;0.491;0.491;0.406;0.551;0.595
transcript22_ENSAPOG00000023408;0.565;0.609;0.529;0.406;1.0;0.5;0.5;0.486;0.486;0.367;0.486;0.486;0.486;0.429;0.429;0.429;0.381;0.262;0.283;0.357;0.357;0.357;0.833;0.327;0.327;1.0;0.367;0.45
transcript12_ENSAPOG00000023408;0.5;0.528;0.944;0.75;0.5;1.0;1.0;0.659;0.698;0.735;0.698;0.698;0.698;0.625;0.625;0.625;0.583;0.479;0.564;0.562;0.562;0.562;0.417;0.655;0.655;0.5;0.735;0.652
transcript12_ENSAPOG00000016134;0.5;0.528;0.944;0.75;0.5;1.0;1.0;0.659;0.698;0.735;0.698;0.698;0.698;0.625;0.625;0.625;0.583;0.479;0.564;0.562;0.562;0.562;0.417;0.655;0.655;0.5;0.735;0.652
transcript10_ENSAPOG00000016134;0.31;0.333;0.614;0.6;0.486;0.659;0.659;1.0;0.947;0.72;0.947;0.947;0.947;0.837;0.837;0.837;0.791;0.674;0.611;0.767;0.767;0.767;0.405;0.643;0.643;0.486;0.72;0.878
transcript17_ENSAPOG00000016134;0.31;0.333;0.651;0.641;0.486;0.698;0.698;0.947;1.0;0.755;1.0;1.0;1.0;0.881;0.881;0.881;0.833;0.714;0.642;0.81;0.81;0.81;0.405;0.673;0.673;0.486;0.755;0.925
transcript8_ENSAPOG00000016134;0.367;0.388;0.694;0.551;0.367;0.735;0.735;0.72;0.755;1.0;0.755;0.755;0.755;0.685;0.685;0.685;0.648;0.556;0.8;0.63;0.63;0.63;0.306;0.891;0.891;0.367;0.885;0.712
transcript10_ENSHGLG00100003156;0.31;0.333;0.651;0.641;0.486;0.698;0.698;0.947;1.0;0.755;1.0;1.0;1.0;0.881;0.881;0.881;0.833;0.714;0.642;0.81;0.81;0.81;0.405;0.673;0.673;0.486;0.755;0.925
transcript17_ENSHGLG00100003156;0.31;0.333;0.651;0.641;0.486;0.698;0.698;0.947;1.0;0.755;1.0;1.0;1.0;0.881;0.881;0.881;0.833;0.714;0.642;0.81;0.81;0.81;0.405;0.673;0.673;0.486;0.755;0.925
