;ENSCAFT00000001398_90_90;ENSCAFT00000001399_90_90;ENSCAFT00000001401_90_90;ENST00000378735_90_90;ENST00000378746_90_90;ENST00000403231_90_90;ENST00000428744_90_90;ENST00000450441_90_90;ENST00000618515_90_90;ENSMUST00000057330_90_90;ENSMUST00000118353_90_90;ENSMUST00000120613_90_90;ENSMUST00000130037_90_90;ENSMUST00000132496_90_90;ENSMUST00000132653_90_90;ENSMUST00000173744_90_90
ENSCAFT00000001398_90_90;1.0;0.96;0.612;0.964;0.96;0.996;0.232;0.256;0.993;0.958;0.995;0.962;0.256;0.244;0.033;0.952
ENSCAFT00000001399_90_90;0.96;1.0;0.634;0.99;0.994;0.957;0.24;0.265;0.956;0.992;0.955;0.988;0.265;0.253;0.034;0.978
ENSCAFT00000001401_90_90;0.612;0.634;1.0;0.631;0.634;0.61;0.372;0.0;0.609;0.631;0.608;0.629;0.0;0.391;0.052;0.619
ENST00000378735_90_90;0.964;0.99;0.631;1.0;0.996;0.967;0.239;0.264;0.966;0.988;0.959;0.992;0.264;0.252;0.034;0.982
ENST00000378746_90_90;0.96;0.994;0.634;0.996;1.0;0.963;0.24;0.265;0.961;0.992;0.955;0.988;0.265;0.253;0.034;0.978
ENST00000403231_90_90;0.996;0.957;0.61;0.967;0.963;1.0;0.231;0.255;0.995;0.955;0.991;0.959;0.255;0.243;0.033;0.95
ENST00000428744_90_90;0.232;0.24;0.372;0.239;0.24;0.231;1.0;0.0;0.231;0.24;0.231;0.239;0.0;0.937;0.137;0.242
ENST00000450441_90_90;0.256;0.265;0.0;0.264;0.265;0.255;0.0;1.0;0.255;0.265;0.255;0.264;1.0;0.0;0.0;0.267
ENST00000618515_90_90;0.993;0.956;0.609;0.966;0.961;0.995;0.231;0.255;1.0;0.954;0.988;0.958;0.255;0.244;0.033;0.948
ENSMUST00000057330_90_90;0.958;0.992;0.631;0.988;0.992;0.955;0.24;0.265;0.954;1.0;0.963;0.996;0.265;0.255;0.033;0.986
ENSMUST00000118353_90_90;0.995;0.955;0.608;0.959;0.955;0.991;0.231;0.255;0.988;0.963;1.0;0.967;0.255;0.246;0.032;0.957
ENSMUST00000120613_90_90;0.962;0.988;0.629;0.992;0.988;0.959;0.239;0.264;0.958;0.996;0.967;1.0;0.264;0.254;0.033;0.99
ENSMUST00000130037_90_90;0.256;0.265;0.0;0.264;0.265;0.255;0.0;1.0;0.255;0.265;0.255;0.264;1.0;0.0;0.0;0.267
ENSMUST00000132496_90_90;0.244;0.253;0.391;0.252;0.253;0.243;0.937;0.0;0.244;0.255;0.246;0.254;0.0;1.0;0.13;0.257
ENSMUST00000132653_90_90;0.033;0.034;0.052;0.034;0.034;0.033;0.137;0.0;0.033;0.033;0.032;0.033;0.0;0.13;1.0;0.034
ENSMUST00000173744_90_90;0.952;0.978;0.619;0.982;0.978;0.95;0.242;0.267;0.948;0.986;0.957;0.99;0.267;0.257;0.034;1.0
