;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript11_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript3_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript18_ENSPCIG00000036398;transcript3_ENSMUNG00000007775;transcript8_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript3_ENSMUNG00000002391;transcript10_ENSMUNG00000002391
transcript8_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.63;1.0;0.49;0.63;0.989;0.956;0.956;0.254;0.851;0.851;0.279;0.851;0.298;0.293;0.294;0.309;0.311;0.323;0.298;0.298
transcript10_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.63;1.0;0.49;0.63;0.989;0.956;0.956;0.254;0.851;0.851;0.279;0.851;0.298;0.293;0.294;0.309;0.311;0.323;0.298;0.298
transcript20_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.63;1.0;0.49;0.63;0.989;0.956;0.956;0.254;0.851;0.851;0.279;0.851;0.298;0.293;0.294;0.309;0.311;0.323;0.298;0.298
transcript8_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.63;1.0;0.49;0.63;0.989;0.956;0.956;0.254;0.851;0.851;0.279;0.851;0.298;0.293;0.294;0.309;0.311;0.323;0.298;0.298
transcript10_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.63;1.0;0.49;0.63;0.989;0.956;0.956;0.254;0.851;0.851;0.279;0.851;0.298;0.293;0.294;0.309;0.311;0.323;0.298;0.298
transcript11_ENSHGLG00000019563;0.63;0.63;0.63;0.63;0.63;1.0;0.63;0.779;1.0;0.618;0.659;0.659;0.197;0.74;0.74;0.217;0.74;0.188;0.189;0.19;0.199;0.201;0.209;0.188;0.188
transcript13_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.63;1.0;0.49;0.63;0.989;0.956;0.956;0.254;0.851;0.851;0.279;0.851;0.298;0.293;0.294;0.309;0.311;0.323;0.298;0.298
transcript26_ENSHGLG00000019563;0.49;0.49;0.49;0.49;0.49;0.779;0.49;1.0;0.779;0.479;0.513;0.513;0.153;0.576;0.576;0.169;0.576;0.146;0.147;0.148;0.155;0.157;0.163;0.146;0.146
transcript27_ENSHGLG00000019563;0.63;0.63;0.63;0.63;0.63;1.0;0.63;0.779;1.0;0.618;0.659;0.659;0.197;0.74;0.74;0.217;0.74;0.188;0.189;0.19;0.199;0.201;0.209;0.188;0.188
transcript28_ENSHGLG00000019563;0.989;0.989;0.989;0.989;0.989;0.618;0.989;0.479;0.618;1.0;0.945;0.945;0.251;0.84;0.84;0.276;0.84;0.294;0.289;0.29;0.305;0.308;0.319;0.295;0.295
transcript7_ENSHGLG00100006079;0.956;0.956;0.956;0.956;0.956;0.659;0.956;0.513;0.659;0.945;1.0;1.0;0.25;0.853;0.853;0.275;0.853;0.285;0.281;0.282;0.296;0.299;0.31;0.285;0.285
transcript10_ENSHGLG00100006079;0.956;0.956;0.956;0.956;0.956;0.659;0.956;0.513;0.659;0.945;1.0;1.0;0.25;0.853;0.853;0.275;0.853;0.285;0.281;0.282;0.296;0.299;0.31;0.285;0.285
transcript3_ENSPCIG00000036398;0.254;0.254;0.254;0.254;0.254;0.197;0.254;0.153;0.197;0.251;0.25;0.25;1.0;0.266;0.266;0.905;0.266;0.955;0.952;0.949;0.9;0.893;0.858;0.956;0.956
transcript7_ENSPCIG00000036398;0.851;0.851;0.851;0.851;0.851;0.74;0.851;0.576;0.74;0.84;0.853;0.853;0.266;1.0;1.0;0.294;1.0;0.253;0.25;0.251;0.263;0.265;0.276;0.254;0.254
transcript8_ENSPCIG00000036398;0.851;0.851;0.851;0.851;0.851;0.74;0.851;0.576;0.74;0.84;0.853;0.853;0.266;1.0;1.0;0.294;1.0;0.253;0.25;0.251;0.263;0.265;0.276;0.254;0.254
transcript15_ENSPCIG00000036398;0.279;0.279;0.279;0.279;0.279;0.217;0.279;0.169;0.217;0.276;0.275;0.275;0.905;0.294;0.294;1.0;0.294;0.864;0.861;0.858;0.81;0.802;0.944;0.865;0.865
transcript18_ENSPCIG00000036398;0.851;0.851;0.851;0.851;0.851;0.74;0.851;0.576;0.74;0.84;0.853;0.853;0.266;1.0;1.0;0.294;1.0;0.253;0.25;0.251;0.263;0.265;0.276;0.254;0.254
transcript3_ENSMUNG00000007775;0.298;0.298;0.298;0.298;0.298;0.188;0.298;0.146;0.188;0.294;0.285;0.285;0.955;0.253;0.253;0.864;0.253;1.0;0.994;0.99;0.942;0.935;0.9;0.999;0.999
transcript8_ENSMUNG00000002377;0.293;0.293;0.293;0.293;0.293;0.189;0.293;0.147;0.189;0.289;0.281;0.281;0.952;0.25;0.25;0.861;0.25;0.994;1.0;0.997;0.948;0.94;0.905;0.994;0.994
transcript15_ENSMUNG00000002377;0.294;0.294;0.294;0.294;0.294;0.19;0.294;0.148;0.19;0.29;0.282;0.282;0.949;0.251;0.251;0.858;0.251;0.99;0.997;1.0;0.951;0.944;0.909;0.991;0.991
transcript16_ENSMUNG00000002377;0.309;0.309;0.309;0.309;0.309;0.199;0.309;0.155;0.199;0.305;0.296;0.296;0.9;0.263;0.263;0.81;0.263;0.942;0.948;0.951;1.0;0.895;0.86;0.942;0.942
transcript22_ENSMUNG00000002377;0.311;0.311;0.311;0.311;0.311;0.201;0.311;0.157;0.201;0.308;0.299;0.299;0.893;0.265;0.265;0.802;0.265;0.935;0.94;0.944;0.895;1.0;0.852;0.935;0.935
transcript23_ENSMUNG00000002377;0.323;0.323;0.323;0.323;0.323;0.209;0.323;0.163;0.209;0.319;0.31;0.31;0.858;0.276;0.276;0.944;0.276;0.9;0.905;0.909;0.86;0.852;1.0;0.9;0.9
transcript3_ENSMUNG00000002391;0.298;0.298;0.298;0.298;0.298;0.188;0.298;0.146;0.188;0.295;0.285;0.285;0.956;0.254;0.254;0.865;0.254;0.999;0.994;0.991;0.942;0.935;0.9;1.0;1.0
transcript10_ENSMUNG00000002391;0.298;0.298;0.298;0.298;0.298;0.188;0.298;0.146;0.188;0.295;0.285;0.285;0.956;0.254;0.254;0.865;0.254;0.999;0.994;0.991;0.942;0.935;0.9;1.0;1.0
