;ENSCAFT00000005965_90_90;ENSCAFT00000045237_90_90;ENST00000323906_90_90;ENST00000391859_90_90;ENST00000426897_90_90;ENST00000535669_90_90;ENST00000594743_90_90;ENST00000595660_90_90;ENST00000595725_90_90;ENST00000597602_90_90;ENST00000598095_90_90;ENSMUST00000033063_90_90;ENSMUST00000098461_90_90;ENSMUST00000209779_90_90;ENSMUST00000210078_90_90;ENSMUST00000210226_90_90;ENSMUST00000210372_90_90;ENSMUST00000211373_90_90
ENSCAFT00000005965_90_90;1.0;0.924;0.854;0.244;0.859;0.762;0.582;0.261;0.275;0.108;0.758;0.668;0.709;0.548;0.55;0.194;0.0;0.633
ENSCAFT00000045237_90_90;0.924;1.0;0.854;0.244;0.859;0.762;0.582;0.261;0.275;0.108;0.758;0.715;0.762;0.589;0.589;0.21;0.0;0.68
ENST00000323906_90_90;0.854;0.854;1.0;0.353;0.758;0.868;0.37;0.342;0.431;0.095;0.637;0.94;0.998;0.809;0.724;0.208;0.165;0.902
ENST00000391859_90_90;0.244;0.244;0.353;1.0;0.142;0.365;0.006;0.552;0.686;0.171;0.147;0.381;0.404;0.498;0.357;0.0;0.401;0.44
ENST00000426897_90_90;0.859;0.859;0.758;0.142;1.0;0.637;0.448;0.136;0.194;0.125;0.828;0.714;0.758;0.569;0.622;0.274;0.0;0.664
ENST00000535669_90_90;0.762;0.762;0.868;0.365;0.637;1.0;0.381;0.354;0.448;0.099;0.748;0.82;0.869;0.845;0.754;0.227;0.173;0.957
ENST00000594743_90_90;0.582;0.582;0.37;0.006;0.448;0.381;1.0;0.002;0.029;0.0;0.464;0.357;0.373;0.322;0.357;0.234;0.0;0.397
ENST00000595660_90_90;0.261;0.261;0.342;0.552;0.136;0.354;0.002;1.0;0.654;0.166;0.14;0.325;0.342;0.408;0.297;0.0;0.312;0.368
ENST00000595725_90_90;0.275;0.275;0.431;0.686;0.194;0.448;0.029;0.654;1.0;0.22;0.202;0.404;0.429;0.528;0.385;0.0;0.363;0.467
ENST00000597602_90_90;0.108;0.108;0.095;0.171;0.125;0.099;0.0;0.166;0.22;1.0;0.132;0.089;0.095;0.117;0.116;0.0;0.0;0.103
ENST00000598095_90_90;0.758;0.758;0.637;0.147;0.828;0.748;0.464;0.14;0.202;0.132;1.0;0.604;0.639;0.595;0.651;0.303;0.0;0.706
ENSMUST00000033063_90_90;0.668;0.715;0.94;0.381;0.714;0.82;0.357;0.325;0.404;0.089;0.604;1.0;0.927;0.697;0.776;0.193;0.15;0.839
ENSMUST00000098461_90_90;0.709;0.762;0.998;0.404;0.758;0.869;0.373;0.342;0.429;0.095;0.639;0.927;1.0;0.748;0.714;0.208;0.161;0.905
ENSMUST00000209779_90_90;0.548;0.589;0.809;0.498;0.569;0.845;0.322;0.408;0.528;0.117;0.595;0.697;0.748;1.0;0.727;0.11;0.179;0.809
ENSMUST00000210078_90_90;0.55;0.589;0.724;0.357;0.622;0.754;0.357;0.297;0.385;0.116;0.651;0.776;0.714;0.727;1.0;0.161;0.09;0.773
ENSMUST00000210226_90_90;0.194;0.21;0.208;0.0;0.274;0.227;0.234;0.0;0.0;0.0;0.303;0.193;0.208;0.11;0.161;1.0;0.0;0.236
ENSMUST00000210372_90_90;0.0;0.0;0.165;0.401;0.0;0.173;0.0;0.312;0.363;0.0;0.0;0.15;0.161;0.179;0.09;0.0;1.0;0.175
ENSMUST00000211373_90_90;0.633;0.68;0.902;0.44;0.664;0.957;0.397;0.368;0.467;0.103;0.706;0.839;0.905;0.809;0.773;0.236;0.175;1.0
