;ENSCAFT00000016185_90_90;ENST00000617070_90_90;ENST00000617991_90_90;ENST00000622969_90_90;ENST00000623597_90_90;ENST00000623893_90_90;ENSMUST00000064664_90_90;ENSMUST00000064679_90_90;ENSMUST00000129905_90_90;ENSMUST00000136247_90_90
ENSCAFT00000016185_90_90;1.0;1.0;1.0;0.333;1.0;0.833;0.75;1.0;0.25;0.5
ENST00000617070_90_90;1.0;1.0;1.0;0.222;1.0;0.833;0.75;1.0;0.25;0.4
ENST00000617991_90_90;1.0;1.0;1.0;0.222;1.0;0.833;0.75;1.0;0.25;0.4
ENST00000622969_90_90;0.333;0.222;0.222;1.0;0.222;0.111;0.2;0.4;0.0;0.5
ENST00000623597_90_90;1.0;1.0;1.0;0.222;1.0;0.833;0.75;1.0;0.25;0.4
ENST00000623893_90_90;0.833;0.833;0.833;0.111;0.833;1.0;1.0;0.75;0.333;0.2
ENSMUST00000064664_90_90;0.75;0.75;0.75;0.2;0.75;1.0;1.0;0.8;0.5;0.167
ENSMUST00000064679_90_90;1.0;1.0;1.0;0.4;1.0;0.75;0.8;1.0;0.4;0.333
ENSMUST00000129905_90_90;0.25;0.25;0.25;0.0;0.25;0.333;0.5;0.4;1.0;0.25
ENSMUST00000136247_90_90;0.5;0.4;0.4;0.5;0.4;0.2;0.167;0.333;0.25;1.0
