;ENSCAFT00000018772_90_90;ENST00000333957_90_90;ENST00000396028_90_90;ENST00000446597_90_90;ENST00000535555_90_90;ENST00000536386_90_90;ENST00000539615_90_90;ENST00000542676_90_90;ENST00000542683_90_90;ENST00000545552_90_90;ENSMUST00000087485_90_90;ENSMUST00000111758_90_90;ENSMUST00000171349_90_90;ENSMUST00000203187_90_90;ENSMUST00000203673_90_90;ENSMUST00000204043_90_90;ENSMUST00000204140_90_90;ENSMUST00000204655_90_90;ENSMUST00000205119_90_90
ENSCAFT00000018772_90_90;1.0;0.792;0.917;0.917;0.25;0.917;0.125;0.917;0.292;0.917;0.783;0.783;0.783;0.826;0.913;0.217;0.217;0.783;0.087
ENST00000333957_90_90;0.792;1.0;0.731;0.875;0.25;0.704;0.091;0.875;0.381;0.704;0.818;0.818;1.0;0.952;0.692;0.217;0.25;1.0;0.1
ENST00000396028_90_90;0.917;0.731;1.0;0.846;0.222;0.96;0.125;0.846;0.231;0.885;0.87;0.87;0.72;0.76;0.958;0.192;0.217;0.72;0.087
ENST00000446597_90_90;0.917;0.875;0.846;1.0;0.222;0.815;0.125;1.0;0.333;0.75;0.72;0.72;0.87;0.913;0.808;0.192;0.217;0.87;0.087
ENST00000535555_90_90;0.25;0.25;0.222;0.222;1.0;0.259;0.0;0.222;0.214;0.308;0.261;0.261;0.261;0.25;0.269;0.889;0.0;0.261;0.0
ENST00000536386_90_90;0.917;0.704;0.96;0.815;0.259;1.0;0.12;0.815;0.222;0.852;0.833;0.833;0.692;0.731;1.0;0.231;0.208;0.692;0.083
ENST00000539615_90_90;0.125;0.091;0.125;0.125;0.0;0.12;1.0;0.125;0.0;0.12;0.095;0.095;0.095;0.143;0.125;0.0;0.0;0.095;0.0
ENST00000542676_90_90;0.917;0.875;0.846;1.0;0.222;0.815;0.125;1.0;0.333;0.75;0.72;0.72;0.87;0.913;0.808;0.192;0.217;0.87;0.087
ENST00000542683_90_90;0.292;0.381;0.231;0.333;0.214;0.222;0.0;0.333;1.0;0.222;0.273;0.273;0.4;0.381;0.231;0.143;0.083;0.4;0.0
ENST00000545552_90_90;0.917;0.704;0.885;0.75;0.308;0.852;0.12;0.75;0.222;1.0;0.833;0.833;0.692;0.731;0.846;0.28;0.208;0.692;0.083
ENSMUST00000087485_90_90;0.783;0.818;0.87;0.72;0.261;0.833;0.095;0.72;0.273;0.833;1.0;1.0;0.818;0.783;0.833;0.217;0.25;0.818;0.1
ENSMUST00000111758_90_90;0.783;0.818;0.87;0.72;0.261;0.833;0.095;0.72;0.273;0.833;1.0;1.0;0.818;0.783;0.833;0.217;0.25;0.818;0.1
ENSMUST00000171349_90_90;0.783;1.0;0.72;0.87;0.261;0.692;0.095;0.87;0.4;0.692;0.818;0.818;1.0;0.952;0.692;0.217;0.25;1.0;0.1
ENSMUST00000203187_90_90;0.826;0.952;0.76;0.913;0.25;0.731;0.143;0.913;0.381;0.731;0.783;0.783;0.952;1.0;0.731;0.208;0.238;0.952;0.095
ENSMUST00000203673_90_90;0.913;0.692;0.958;0.808;0.269;1.0;0.125;0.808;0.231;0.846;0.833;0.833;0.692;0.731;1.0;0.231;0.208;0.692;0.083
ENSMUST00000204043_90_90;0.217;0.217;0.192;0.192;0.889;0.231;0.0;0.192;0.143;0.28;0.217;0.217;0.217;0.208;0.231;1.0;0.0;0.217;0.0
ENSMUST00000204140_90_90;0.217;0.25;0.217;0.217;0.0;0.208;0.0;0.217;0.083;0.208;0.25;0.25;0.25;0.238;0.208;0.0;1.0;0.25;0.4
ENSMUST00000204655_90_90;0.783;1.0;0.72;0.87;0.261;0.692;0.095;0.87;0.4;0.692;0.818;0.818;1.0;0.952;0.692;0.217;0.25;1.0;0.1
ENSMUST00000205119_90_90;0.087;0.1;0.087;0.087;0.0;0.083;0.0;0.087;0.0;0.083;0.1;0.1;0.1;0.095;0.083;0.0;0.4;0.1;1.0
