;ENSCAFT00000004512_90_90;ENST00000344157_90_90;ENST00000355665_90_90;ENST00000505251_90_90;ENST00000507529_90_90;ENST00000510746_90_90;ENST00000579690_90_90;ENSMUST00000038384_90_90;ENSMUST00000119339_90_90;ENSMUST00000120498_90_90;ENSMUST00000156363_90_90
ENSCAFT00000004512_90_90;1.0;0.97;0.928;0.084;0.082;0.038;1.0;0.944;0.875;0.915;0.689
ENST00000344157_90_90;0.97;1.0;0.961;0.078;0.076;0.035;0.947;0.919;0.932;0.972;0.683
ENST00000355665_90_90;0.928;0.961;1.0;0.082;0.08;0.037;0.911;0.882;0.97;0.932;0.711
ENST00000505251_90_90;0.084;0.078;0.082;1.0;0.0;0.419;0.073;0.078;0.089;0.084;0.119
ENST00000507529_90_90;0.082;0.076;0.08;0.0;1.0;0.0;0.073;0.079;0.085;0.082;0.0
ENST00000510746_90_90;0.038;0.035;0.037;0.419;0.0;1.0;0.033;0.035;0.04;0.038;0.054
ENST00000579690_90_90;1.0;0.947;0.911;0.073;0.073;0.033;1.0;0.975;0.882;0.919;0.645
ENSMUST00000038384_90_90;0.944;0.919;0.882;0.078;0.079;0.035;0.975;1.0;0.911;0.947;0.578
ENSMUST00000119339_90_90;0.875;0.932;0.97;0.089;0.085;0.04;0.882;0.911;1.0;0.961;0.623
ENSMUST00000120498_90_90;0.915;0.972;0.932;0.084;0.082;0.038;0.919;0.947;0.961;1.0;0.603
ENSMUST00000156363_90_90;0.689;0.683;0.711;0.119;0.0;0.054;0.645;0.578;0.623;0.603;1.0
