;ENSCAFT00000021165_90_90;ENSCAFT00000021175_90_90;ENSCAFT00000022869_90_90;ENSCAFT00000049479_90_90;ENST00000346964_90_90;ENST00000357674_90_90;ENST00000392380_90_90;ENST00000392381_90_90;ENST00000392382_90_90;ENST00000412364_90_90;ENST00000419227_90_90;ENST00000419354_90_90;ENST00000419553_90_90;ENST00000422288_90_90;ENST00000434148_90_90;ENST00000436682_90_90;ENST00000443183_90_90;ENST00000447466_90_90;ENST00000448528_90_90;ENST00000450955_90_90;ENST00000452595_90_90;ENST00000453607_90_90;ENST00000456699_90_90;ENST00000378154_90_90;ENST00000378158_90_90;ENST00000378163_90_90;ENST00000378166_90_90;ENST00000378168_90_90;ENST00000378179_90_90;ENST00000421587_90_90;ENST00000442742_90_90;ENSMUST00000023454_90_90;ENSMUST00000064477_90_90;ENSMUST00000100001_90_90;ENSMUST00000115196_90_90;ENSMUST00000115201_90_90;ENSMUST00000115205_90_90;ENSMUST00000130920_90_90;ENSMUST00000131136_90_90;ENSMUST00000132176_90_90;ENSMUST00000033321_90_90;ENSMUST00000115435_90_90;ENSMUST00000115436_90_90;ENSMUST00000115438_90_90;ENSMUST00000124710_90_90;ENSMUST00000128012_90_90;ENSMUST00000128095_90_90;ENSMUST00000139735_90_90;ENSMUST00000156096_90_90
ENSCAFT00000021165_90_90;1.0;0.843;0.921;0.898;0.986;0.942;0.238;0.722;0.903;0.115;0.422;0.946;0.168;0.881;0.024;0.132;0.72;0.316;0.946;0.942;0.726;0.122;0.201;0.557;0.891;0.927;0.917;0.405;0.581;0.895;0.895;0.893;0.984;0.936;0.756;0.932;0.936;0.038;0.384;0.612;0.871;0.081;0.873;0.897;0.159;0.194;0.175;0.308;0.84
ENSCAFT00000021175_90_90;0.843;1.0;0.924;0.885;0.914;0.871;0.248;0.759;0.848;0.119;0.44;0.891;0.175;0.827;0.024;0.138;0.681;0.334;0.891;0.871;0.673;0.127;0.209;0.603;0.893;0.913;0.92;0.361;0.568;0.881;0.897;0.851;0.917;0.893;0.728;0.897;0.893;0.04;0.404;0.641;0.858;0.059;0.859;0.883;0.161;0.196;0.153;0.293;0.826
ENSCAFT00000022869_90_90;0.921;0.924;1.0;0.958;0.868;0.833;0.191;0.641;0.82;0.076;0.352;0.855;0.128;0.793;0.0;0.097;0.74;0.279;0.855;0.833;0.734;0.126;0.163;0.633;0.97;0.994;1.0;0.371;0.552;0.958;0.976;0.811;0.87;0.846;0.768;0.846;0.846;0.048;0.353;0.554;0.945;0.077;0.951;0.974;0.166;0.27;0.156;0.275;0.917
ENSCAFT00000049479_90_90;0.898;0.885;0.958;1.0;0.846;0.81;0.195;0.605;0.797;0.078;0.349;0.833;0.131;0.771;0.0;0.099;0.718;0.275;0.833;0.81;0.711;0.12;0.167;0.634;0.929;0.966;0.958;0.358;0.578;1.0;0.982;0.789;0.848;0.824;0.746;0.824;0.824;0.05;0.33;0.52;0.938;0.08;0.992;0.968;0.17;0.263;0.161;0.292;0.957
ENST00000346964_90_90;0.986;0.914;0.868;0.846;1.0;0.949;0.237;0.702;0.897;0.112;0.413;0.944;0.165;0.877;0.023;0.129;0.663;0.308;0.944;0.952;0.675;0.118;0.196;0.528;0.839;0.873;0.865;0.402;0.601;0.843;0.843;0.895;0.99;0.942;0.7;0.932;0.942;0.038;0.387;0.622;0.818;0.087;0.822;0.844;0.159;0.176;0.183;0.293;0.789
ENST00000357674_90_90;0.942;0.871;0.833;0.81;0.949;1.0;0.191;0.659;0.945;0.118;0.436;0.901;0.173;0.923;0.024;0.136;0.694;0.326;0.901;0.996;0.708;0.124;0.207;0.493;0.804;0.838;0.831;0.417;0.625;0.808;0.807;0.939;0.942;0.895;0.657;0.885;0.895;0.041;0.406;0.655;0.784;0.091;0.788;0.809;0.165;0.141;0.191;0.304;0.756
ENST00000392380_90_90;0.238;0.248;0.191;0.195;0.237;0.191;1.0;0.327;0.195;0.476;0.369;0.243;0.695;0.18;0.1;0.546;0.014;0.027;0.243;0.19;0.014;0.207;0.784;0.3;0.197;0.189;0.191;0.0;0.0;0.195;0.195;0.197;0.242;0.246;0.059;0.243;0.246;0.0;0.0;0.29;0.193;0.0;0.192;0.188;0.634;0.126;0.0;0.0;0.157
ENST00000392381_90_90;0.722;0.759;0.641;0.605;0.702;0.659;0.327;1.0;0.671;0.155;0.568;0.719;0.226;0.651;0.032;0.177;0.451;0.421;0.719;0.656;0.46;0.163;0.27;0.697;0.613;0.633;0.639;0.136;0.336;0.603;0.617;0.686;0.723;0.734;0.504;0.726;0.734;0.052;0.489;0.851;0.593;0.0;0.597;0.619;0.218;0.235;0.0;0.134;0.563
ENST00000392382_90_90;0.903;0.848;0.82;0.797;0.897;0.945;0.195;0.671;1.0;0.121;0.445;0.952;0.176;0.978;0.025;0.139;0.736;0.332;0.952;0.941;0.751;0.127;0.211;0.5;0.79;0.826;0.817;0.402;0.61;0.795;0.794;0.99;0.894;0.942;0.693;0.931;0.942;0.041;0.412;0.664;0.772;0.092;0.775;0.797;0.167;0.143;0.194;0.289;0.742
ENST00000412364_90_90;0.115;0.119;0.076;0.078;0.112;0.118;0.476;0.155;0.121;1.0;0.272;0.115;0.685;0.123;0.202;0.871;0.0;0.0;0.115;0.118;0.0;0.0;0.574;0.12;0.079;0.075;0.076;0.0;0.0;0.078;0.078;0.122;0.115;0.116;0.0;0.115;0.116;0.0;0.0;0.185;0.077;0.0;0.077;0.075;0.499;0.0;0.0;0.0;0.042
ENST00000419227_90_90;0.422;0.44;0.352;0.349;0.413;0.436;0.369;0.568;0.445;0.272;1.0;0.422;0.398;0.455;0.057;0.313;0.231;0.436;0.422;0.433;0.237;0.283;0.404;0.55;0.361;0.348;0.351;0.0;0.126;0.348;0.358;0.45;0.421;0.427;0.224;0.422;0.427;0.0;0.201;0.637;0.346;0.0;0.343;0.336;0.376;0.221;0.0;0.0;0.309
ENST00000419354_90_90;0.946;0.891;0.855;0.833;0.944;0.901;0.243;0.719;0.952;0.115;0.422;1.0;0.168;0.93;0.024;0.132;0.703;0.316;1.0;0.897;0.717;0.121;0.201;0.535;0.826;0.861;0.852;0.387;0.587;0.83;0.83;0.942;0.941;0.99;0.736;0.98;0.99;0.039;0.392;0.631;0.805;0.089;0.809;0.831;0.161;0.178;0.186;0.279;0.776
ENST00000419553_90_90;0.168;0.175;0.128;0.131;0.165;0.173;0.695;0.226;0.176;0.685;0.398;0.168;1.0;0.18;0.138;0.786;0.0;0.0;0.168;0.172;0.0;0.215;0.839;0.201;0.132;0.127;0.128;0.0;0.0;0.131;0.131;0.178;0.168;0.17;0.0;0.168;0.17;0.0;0.0;0.27;0.129;0.0;0.129;0.126;0.782;0.0;0.0;0.0;0.095
