;ENSCAFT00000049128_90_90;ENST00000315660_90_90;ENST00000372382_90_90;ENST00000372383_90_90;ENST00000372384_90_90;ENST00000372390_90_90;ENST00000372397_90_90;ENST00000480691_90_90;ENST00000486554_90_90;ENST00000502650_90_90;ENST00000502961_90_90;ENST00000503515_90_90;ENST00000505965_90_90;ENST00000506081_90_90;ENST00000506724_90_90;ENST00000510887_90_90;ENST00000514426_90_90;ENST00000514897_90_90;ENSMUST00000055738_90_90;ENSMUST00000112996_90_90;ENSMUST00000123898_90_90
ENSCAFT00000049128_90_90;1.0;0.9;0.453;0.9;0.9;0.331;0.42;0.554;0.085;0.487;0.224;0.117;0.343;0.9;0.409;0.521;0.635;0.569;0.443;0.847;0.439
ENST00000315660_90_90;0.9;1.0;0.491;1.0;1.0;0.364;0.456;0.596;0.085;0.527;0.224;0.117;0.343;1.0;0.409;0.562;0.725;0.609;0.408;0.891;0.439
ENST00000372382_90_90;0.453;0.491;1.0;0.491;0.491;0.612;0.703;0.112;0.148;0.046;0.0;0.17;0.0;0.491;0.0;0.08;0.658;0.135;0.615;0.452;0.877
ENST00000372383_90_90;0.9;1.0;0.491;1.0;1.0;0.364;0.456;0.596;0.085;0.527;0.224;0.117;0.343;1.0;0.409;0.562;0.725;0.609;0.408;0.891;0.439
ENST00000372384_90_90;0.9;1.0;0.491;1.0;1.0;0.364;0.456;0.596;0.085;0.527;0.224;0.117;0.343;1.0;0.409;0.562;0.725;0.609;0.408;0.891;0.439
ENST00000372390_90_90;0.331;0.364;0.612;0.364;0.364;1.0;0.531;0.0;0.289;0.0;0.0;0.0;0.0;0.364;0.0;0.0;0.504;0.0;0.461;0.33;0.531
ENST00000372397_90_90;0.42;0.456;0.703;0.456;0.456;0.531;1.0;0.104;0.126;0.043;0.0;0.365;0.0;0.456;0.0;0.074;0.594;0.127;0.826;0.419;0.615
ENST00000480691_90_90;0.554;0.596;0.112;0.596;0.596;0.0;0.104;1.0;0.0;0.882;0.373;0.133;0.572;0.596;0.683;0.943;0.321;0.916;0.101;0.547;0.108
ENST00000486554_90_90;0.085;0.085;0.148;0.085;0.085;0.289;0.126;0.0;1.0;0.0;0.0;0.0;0.0;0.085;0.0;0.0;0.122;0.0;0.121;0.085;0.142
ENST00000502650_90_90;0.487;0.527;0.046;0.527;0.527;0.0;0.043;0.882;0.0;1.0;0.416;0.053;0.641;0.527;0.768;0.934;0.252;0.812;0.041;0.481;0.045
ENST00000502961_90_90;0.224;0.224;0.0;0.224;0.224;0.0;0.0;0.373;0.0;0.416;1.0;0.0;0.644;0.224;0.538;0.392;0.0;0.349;0.0;0.188;0.0
ENST00000503515_90_90;0.117;0.117;0.17;0.117;0.117;0.0;0.365;0.133;0.0;0.053;0.0;1.0;0.0;0.117;0.0;0.094;0.146;0.199;0.306;0.117;0.162
ENST00000505965_90_90;0.343;0.343;0.0;0.343;0.343;0.0;0.0;0.572;0.0;0.641;0.644;0.0;1.0;0.343;0.835;0.603;0.068;0.532;0.0;0.303;0.0
ENST00000506081_90_90;0.9;1.0;0.491;1.0;1.0;0.364;0.456;0.596;0.085;0.527;0.224;0.117;0.343;1.0;0.409;0.562;0.725;0.609;0.408;0.891;0.439
ENST00000506724_90_90;0.409;0.409;0.0;0.409;0.409;0.0;0.0;0.683;0.0;0.768;0.538;0.0;0.835;0.409;1.0;0.72;0.134;0.636;0.0;0.368;0.0
ENST00000510887_90_90;0.521;0.562;0.08;0.562;0.562;0.0;0.074;0.943;0.0;0.934;0.392;0.094;0.603;0.562;0.72;1.0;0.287;0.865;0.072;0.515;0.077
ENST00000514426_90_90;0.635;0.725;0.658;0.725;0.725;0.504;0.594;0.321;0.122;0.252;0.0;0.146;0.068;0.725;0.134;0.287;1.0;0.34;0.527;0.677;0.584
ENST00000514897_90_90;0.569;0.609;0.135;0.609;0.609;0.0;0.127;0.916;0.0;0.812;0.349;0.199;0.532;0.609;0.636;0.865;0.34;1.0;0.122;0.562;0.131
ENSMUST00000055738_90_90;0.443;0.408;0.615;0.408;0.408;0.461;0.826;0.101;0.121;0.041;0.0;0.306;0.0;0.408;0.0;0.072;0.527;0.122;1.0;0.485;0.714
ENSMUST00000112996_90_90;0.847;0.891;0.452;0.891;0.891;0.33;0.419;0.547;0.085;0.481;0.188;0.117;0.303;0.891;0.368;0.515;0.677;0.562;0.485;1.0;0.521
ENSMUST00000123898_90_90;0.439;0.439;0.877;0.439;0.439;0.531;0.615;0.108;0.142;0.045;0.0;0.162;0.0;0.439;0.0;0.077;0.584;0.131;0.714;0.521;1.0
