;ENSCAFT00000016185_90_90;ENST00000617070_90_90;ENST00000617991_90_90;ENST00000622969_90_90;ENST00000623597_90_90;ENST00000623893_90_90;ENSMUST00000064664_90_90;ENSMUST00000064679_90_90;ENSMUST00000129905_90_90;ENSMUST00000136247_90_90
ENSCAFT00000016185_90_90;1.0;1.0;1.0;0.38;1.0;0.789;0.66;0.87;0.3;0.51
ENST00000617070_90_90;1.0;1.0;1.0;0.354;1.0;0.789;0.592;0.78;0.269;0.502
ENST00000617991_90_90;1.0;1.0;1.0;0.354;1.0;0.789;0.592;0.78;0.269;0.502
ENST00000622969_90_90;0.38;0.354;0.354;1.0;0.354;0.157;0.161;0.362;0.0;0.314
ENST00000623597_90_90;1.0;1.0;1.0;0.354;1.0;0.789;0.592;0.78;0.269;0.502
ENST00000623893_90_90;0.789;0.789;0.789;0.157;0.789;1.0;0.729;0.592;0.331;0.296
ENSMUST00000064664_90_90;0.66;0.592;0.592;0.161;0.592;0.729;1.0;0.789;0.541;0.296
ENSMUST00000064679_90_90;0.87;0.78;0.78;0.362;0.78;0.592;0.789;1.0;0.427;0.502
ENSMUST00000129905_90_90;0.3;0.269;0.269;0.0;0.269;0.331;0.541;0.427;1.0;0.458
ENSMUST00000136247_90_90;0.51;0.502;0.502;0.314;0.502;0.296;0.296;0.502;0.458;1.0
