;ENSCAFT00000023830_90_90;ENST00000318386_90_90;ENST00000429429_90_90;ENST00000480936_90_90;ENST00000483348_90_90;ENST00000488267_90_90;ENST00000489418_90_90;ENSMUST00000057551_90_90;ENSMUST00000075670_90_90;ENSMUST00000101354_90_90;ENSMUST00000139518_90_90;ENSMUST00000151081_90_90
ENSCAFT00000023830_90_90;1.0;0.905;0.762;0.333;0.81;0.762;0.857;0.8;0.733;0.733;0.867;0.267
ENST00000318386_90_90;0.905;1.0;0.857;0.212;0.733;0.821;0.929;0.6;0.6;0.533;0.8;0.333
ENST00000429429_90_90;0.762;0.857;1.0;0.2;0.714;0.808;0.923;0.4;0.4;0.333;0.6;0.3
ENST00000480936_90_90;0.333;0.212;0.2;1.0;0.125;0.129;0.226;0.75;0.75;0.667;0.6;0.3
ENST00000483348_90_90;0.81;0.733;0.714;0.125;1.0;0.88;0.786;0.4;0.4;0.333;0.6;0.182
ENST00000488267_90_90;0.762;0.821;0.808;0.129;0.88;1.0;0.885;0.4;0.4;0.333;0.6;0.182
ENST00000489418_90_90;0.857;0.929;0.923;0.226;0.786;0.885;1.0;0.533;0.533;0.467;0.733;0.25
ENSMUST00000057551_90_90;0.8;0.6;0.4;0.75;0.4;0.4;0.533;1.0;0.818;0.952;0.577;0.19
ENSMUST00000075670_90_90;0.733;0.6;0.4;0.75;0.4;0.4;0.533;0.818;1.0;0.773;0.625;0.211
ENSMUST00000101354_90_90;0.733;0.533;0.333;0.667;0.333;0.333;0.467;0.952;0.773;1.0;0.538;0.143
ENSMUST00000139518_90_90;0.867;0.8;0.6;0.6;0.6;0.6;0.733;0.577;0.625;0.538;1.0;0.2
ENSMUST00000151081_90_90;0.267;0.333;0.3;0.3;0.182;0.182;0.25;0.19;0.211;0.143;0.2;1.0
