;ENSCAFT00000006783_90_90;ENST00000263280_90_90;ENST00000391910_90_90;ENST00000435164_90_90;ENST00000539396_90_90;ENST00000593979_90_90;ENST00000594287_90_90;ENST00000594704_90_90;ENST00000596012_90_90;ENST00000597021_90_90;ENST00000597063_90_90;ENST00000600358_90_90;ENST00000600615_90_90;ENSMUST00000019220_90_90;ENSMUST00000108495_90_90;ENSMUST00000184280_90_90;ENSMUST00000184694_90_90;ENSMUST00000184708_90_90;ENSMUST00000185011_90_90
ENSCAFT00000006783_90_90;1.0;0.688;0.719;0.276;0.633;0.259;0.257;0.133;0.111;0.185;0.222;0.429;0.107;0.833;0.8;0.226;0.107;0.424;0.121
ENST00000263280_90_90;0.688;1.0;0.964;0.321;0.815;0.259;0.257;0.172;0.111;0.185;0.222;0.429;0.148;0.833;0.862;0.188;0.148;0.343;0.088
ENST00000391910_90_90;0.719;0.964;1.0;0.31;0.786;0.25;0.286;0.167;0.107;0.179;0.214;0.457;0.143;0.867;0.833;0.182;0.143;0.371;0.118
ENST00000435164_90_90;0.276;0.321;0.31;1.0;0.391;0.7;0.0;0.133;0.3;0.5;0.6;0.32;0.0;0.267;0.276;0.235;0.0;0.304;0.0
ENST00000539396_90_90;0.633;0.815;0.786;0.391;1.0;0.318;0.3;0.074;0.136;0.227;0.273;0.5;0.182;0.724;0.75;0.138;0.182;0.4;0.103
ENST00000593979_90_90;0.259;0.259;0.25;0.7;0.318;1.0;0.0;0.167;0.429;0.714;0.857;0.25;0.0;0.25;0.259;0.286;0.0;0.286;0.0
ENST00000594287_90_90;0.257;0.257;0.286;0.0;0.3;0.0;1.0;0.0;0.0;0.0;0.0;0.481;0.167;0.286;0.257;0.0;0.167;0.37;0.5
ENST00000594704_90_90;0.133;0.172;0.167;0.133;0.074;0.167;0.0;1.0;0.25;0.2;0.182;0.034;0.0;0.129;0.133;0.5;0.0;0.038;0.0
ENST00000596012_90_90;0.111;0.111;0.107;0.3;0.136;0.429;0.0;0.25;1.0;0.6;0.5;0.083;0.0;0.107;0.111;0.273;0.0;0.095;0.0
ENST00000597021_90_90;0.185;0.185;0.179;0.5;0.227;0.714;0.0;0.2;0.6;1.0;0.833;0.167;0.0;0.179;0.185;0.333;0.0;0.19;0.0
ENST00000597063_90_90;0.222;0.222;0.214;0.6;0.273;0.857;0.0;0.182;0.5;0.833;1.0;0.208;0.0;0.214;0.222;0.308;0.0;0.238;0.0
ENST00000600358_90_90;0.429;0.429;0.457;0.32;0.5;0.25;0.481;0.034;0.083;0.167;0.208;1.0;0.0;0.417;0.389;0.097;0.0;0.72;0.375
ENST00000600615_90_90;0.107;0.148;0.143;0.0;0.182;0.0;0.167;0.0;0.0;0.0;0.0;0.0;1.0;0.143;0.148;0.0;1.0;0.0;0.0
ENSMUST00000019220_90_90;0.833;0.833;0.867;0.267;0.724;0.25;0.286;0.129;0.107;0.179;0.214;0.417;0.143;1.0;0.964;0.219;0.143;0.412;0.118
ENSMUST00000108495_90_90;0.8;0.862;0.833;0.276;0.75;0.259;0.257;0.133;0.111;0.185;0.222;0.389;0.148;0.964;1.0;0.226;0.148;0.382;0.088
ENSMUST00000184280_90_90;0.226;0.188;0.182;0.235;0.138;0.286;0.0;0.5;0.273;0.333;0.308;0.097;0.0;0.219;0.226;1.0;0.0;0.107;0.0
ENSMUST00000184694_90_90;0.107;0.148;0.143;0.0;0.182;0.0;0.167;0.0;0.0;0.0;0.0;0.0;1.0;0.143;0.148;0.0;1.0;0.0;0.0
ENSMUST00000184708_90_90;0.424;0.343;0.371;0.304;0.4;0.286;0.37;0.038;0.095;0.19;0.238;0.72;0.0;0.412;0.382;0.107;0.0;1.0;0.5
ENSMUST00000185011_90_90;0.121;0.088;0.118;0.0;0.103;0.0;0.5;0.0;0.0;0.0;0.0;0.375;0.0;0.118;0.088;0.0;0.0;0.5;1.0
