;transcript7_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript41_ENSCGRG00015005362;transcript42_ENSCGRG00015005362;transcript43_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript33_ENSCGRG00000018457;transcript46_ENSCGRG00000018457;transcript47_ENSCGRG00000018457;transcript33_ENSCGRG00001010245;transcript40_ENSCGRG00001010245
transcript7_ENSCGRG00015005362;1.0;0.774;0.708;0.928;0.928;0.704;0.774;0.774;0.624;0.774;0.774
transcript33_ENSCGRG00015005362;0.774;1.0;0.934;0.837;0.837;0.929;1.0;1.0;0.85;1.0;1.0
transcript41_ENSCGRG00015005362;0.708;0.934;1.0;0.771;0.771;0.863;0.934;0.934;0.784;0.934;0.934
transcript42_ENSCGRG00015005362;0.928;0.837;0.771;1.0;1.0;0.766;0.837;0.837;0.687;0.837;0.837
transcript43_ENSCGRG00015005362;0.928;0.837;0.771;1.0;1.0;0.766;0.837;0.837;0.687;0.837;0.837
transcript7_ENSCGRG00000018457;0.704;0.929;0.863;0.766;0.766;1.0;0.929;0.929;0.911;0.929;0.929
transcript33_ENSCGRG00000018457;0.774;1.0;0.934;0.837;0.837;0.929;1.0;1.0;0.85;1.0;1.0
transcript46_ENSCGRG00000018457;0.774;1.0;0.934;0.837;0.837;0.929;1.0;1.0;0.85;1.0;1.0
transcript47_ENSCGRG00000018457;0.624;0.85;0.784;0.687;0.687;0.911;0.85;0.85;1.0;0.85;0.85
transcript33_ENSCGRG00001010245;0.774;1.0;0.934;0.837;0.837;0.929;1.0;1.0;0.85;1.0;1.0
transcript40_ENSCGRG00001010245;0.774;1.0;0.934;0.837;0.837;0.929;1.0;1.0;0.85;1.0;1.0
