;transcript38_ENSRNOG00000031503;transcript38_ENSCGRG00015005362;transcript38_ENSCGRG00000018457;transcript38_ENSSTOG00000019743;transcript37_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript37_ENSCGRG00001010245;transcript37_ENSPEMG00000024651;transcript37_ENSSTOG00000019743;transcript57_ENSMUGG00000013649;transcript57_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript58_ENSPEMG00000024651;transcript59_ENSMUGG00000013649;transcript59_ENSPEMG00000024651;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript9_ENSCGRG00015005362;transcript9_ENSPEMG00000024651;transcript54_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript56_ENSCGRG00000018457;transcript56_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript33_ENSPEMG00000024651;transcript33_ENSNGAG00000018584;transcript39_ENSPEMG00000024651;transcript39_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript38_ENSRNOG00000031503;1.0;1.0;1.0;1.0;0.994;1.0;0.879;0.881;0.879;0.774;0.659;0.903;0.808;0.86;0.768;0.859;0.77;0.768;0.774;0.75;0.77;1.0;1.0;0.884;0.921;0.921;0.914;0.915;0.905;1.0;1.0;0.776;0.77;1.0;1.0;1.0
transcript38_ENSCGRG00015005362;1.0;1.0;1.0;1.0;0.965;0.973;0.853;0.861;0.853;0.728;0.626;0.869;0.785;0.824;0.741;0.819;0.76;0.758;0.764;0.738;0.76;0.962;0.969;0.844;0.895;0.895;0.906;0.908;0.879;0.969;0.952;0.761;0.751;0.959;0.959;0.959
transcript38_ENSCGRG00000018457;1.0;1.0;1.0;1.0;0.969;0.977;0.856;0.864;0.856;0.73;0.629;0.872;0.788;0.826;0.743;0.822;0.76;0.758;0.764;0.738;0.76;0.962;0.969;0.847;0.895;0.895;0.906;0.908;0.879;0.969;0.952;0.764;0.754;0.962;0.962;0.962
transcript38_ENSSTOG00000019743;1.0;1.0;1.0;1.0;0.965;0.973;0.853;0.861;0.853;0.728;0.626;0.869;0.785;0.824;0.741;0.819;0.76;0.758;0.764;0.738;0.76;0.962;0.969;0.844;0.895;0.895;0.906;0.908;0.879;0.969;0.952;0.761;0.751;0.959;0.959;0.959
transcript37_ENSMUGG00000013649;0.994;0.965;0.969;0.965;1.0;1.0;1.0;1.0;1.0;0.747;0.717;0.889;0.896;0.841;0.841;0.845;0.705;0.7;0.712;0.671;0.702;0.97;0.97;0.973;0.897;0.894;0.879;0.885;0.879;0.97;0.971;0.87;0.868;0.973;0.973;0.973
transcript37_ENSMUGG00000013592;1.0;0.973;0.977;0.973;1.0;1.0;1.0;1.0;1.0;0.759;0.73;0.897;0.906;0.845;0.847;0.845;0.712;0.707;0.719;0.677;0.709;0.979;0.981;0.983;0.906;0.903;0.882;0.889;0.887;0.981;0.981;0.873;0.871;0.983;0.983;0.983
transcript37_ENSCGRG00001010245;0.879;0.853;0.856;0.853;1.0;1.0;1.0;1.0;1.0;0.747;0.717;0.889;0.896;0.841;0.84;0.845;0.623;0.62;0.632;0.594;0.621;0.859;0.861;0.973;0.795;0.792;0.777;0.785;0.779;0.861;0.862;0.868;0.867;0.862;0.862;0.862
transcript37_ENSPEMG00000024651;0.881;0.861;0.864;0.861;1.0;1.0;1.0;1.0;1.0;0.717;0.717;0.896;0.896;0.843;0.84;0.828;0.635;0.631;0.632;0.608;0.632;0.861;0.861;0.974;0.803;0.8;0.788;0.785;0.786;0.861;0.863;0.868;0.868;0.865;0.865;0.865
transcript37_ENSSTOG00000019743;0.879;0.853;0.856;0.853;1.0;1.0;1.0;1.0;1.0;0.747;0.717;0.889;0.896;0.841;0.84;0.845;0.623;0.62;0.632;0.594;0.621;0.859;0.861;0.973;0.795;0.792;0.777;0.785;0.779;0.861;0.862;0.868;0.867;0.862;0.862;0.862
transcript57_ENSMUGG00000013649;0.774;0.728;0.73;0.728;0.747;0.759;0.747;0.717;0.747;1.0;1.0;0.69;0.667;0.642;0.612;0.9;0.471;0.468;0.451;0.462;0.47;0.771;0.74;0.774;0.698;0.695;0.665;0.64;0.68;0.74;0.797;0.606;0.633;0.774;0.774;0.774
