id_transcript;block_sequence
ENSCAFT00000038926_90_90;0.5.6.7.8.9.10.11.12.13.14.15.17
ENSCAFT00000038928_90_90;1.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.20
ENST00000347613_90_90;0.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20
ENST00000360642_90_90;0.5.6.7.8.11.12.13.14.15.17
ENST00000504131_90_90;3.4.5.6.7.8.9.10.11.12.13.14.15.17
ENST00000507875_90_90;1.2.5.6.7.8.9.10.11.12.13.14
ENST00000511092_90_90;0.5.6.7
ENST00000512813_90_90;0.5.6
ENST00000513761_90_90;0.5.6.7.8.9.10.11.12.13.14.15.17
ENST00000515420_90_90;10.11.13
ENST00000613795_90_90;1.2.5.6.7.8.9.10.11.12.13.14.15.17
ENSMUST00000004430_90_90;0.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20
ENSMUST00000056508_90_90;1.4.5.6.7.8.9.10.11.12.13.14.15.17
ENSMUST00000093490_90_90;6.7.8.9.10.11.12.13.14.15.17
ENSMUST00000110301_90_90;0.5.6.7.8.9.10.11.12.13.14.15.17
ENSMUST00000110302_90_90;1.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20
