;ENSCAFT00000038926_90_90;ENSCAFT00000038928_90_90;ENST00000347613_90_90;ENST00000360642_90_90;ENST00000504131_90_90;ENST00000507875_90_90;ENST00000511092_90_90;ENST00000512813_90_90;ENST00000513761_90_90;ENST00000515420_90_90;ENST00000613795_90_90;ENSMUST00000004430_90_90;ENSMUST00000056508_90_90;ENSMUST00000093490_90_90;ENSMUST00000110301_90_90;ENSMUST00000110302_90_90
ENSCAFT00000038926_90_90;1.0;0.858;0.946;0.967;0.934;0.829;0.212;0.17;1.0;0.3;0.906;0.946;0.906;0.929;1.0;0.858
ENSCAFT00000038928_90_90;0.858;1.0;0.911;0.828;0.913;0.866;0.135;0.096;0.858;0.292;0.944;0.911;0.944;0.907;0.858;1.0
ENST00000347613_90_90;0.946;0.911;1.0;0.913;0.847;0.784;0.201;0.16;0.945;0.283;0.857;1.0;0.857;0.878;0.945;0.911
ENST00000360642_90_90;0.967;0.828;0.913;1.0;0.863;0.796;0.22;0.175;0.967;0.276;0.874;0.913;0.874;0.896;0.967;0.827
ENST00000504131_90_90;0.934;0.913;0.847;0.863;1.0;0.845;0.141;0.1;0.895;0.306;0.924;0.883;0.967;0.993;0.934;0.912
ENST00000507875_90_90;0.829;0.866;0.784;0.796;0.845;1.0;0.154;0.11;0.828;0.338;0.917;0.784;0.917;0.879;0.829;0.865
ENST00000511092_90_90;0.212;0.135;0.201;0.22;0.141;0.154;1.0;0.798;0.212;0.0;0.143;0.201;0.143;0.141;0.212;0.135
ENST00000512813_90_90;0.17;0.096;0.16;0.175;0.1;0.11;0.798;1.0;0.17;0.0;0.101;0.16;0.101;0.099;0.17;0.096
ENST00000513761_90_90;1.0;0.858;0.945;0.967;0.895;0.828;0.212;0.17;1.0;0.3;0.906;0.945;0.906;0.929;1.0;0.857
ENST00000515420_90_90;0.3;0.292;0.283;0.276;0.306;0.338;0.0;0.0;0.3;1.0;0.31;0.283;0.31;0.322;0.3;0.292
ENST00000613795_90_90;0.906;0.944;0.857;0.874;0.924;0.917;0.143;0.101;0.906;0.31;1.0;0.857;1.0;0.961;0.906;0.942
ENSMUST00000004430_90_90;0.946;0.911;1.0;0.913;0.883;0.784;0.201;0.16;0.945;0.283;0.857;1.0;0.857;0.878;0.945;0.911
ENSMUST00000056508_90_90;0.906;0.944;0.857;0.874;0.967;0.917;0.143;0.101;0.906;0.31;1.0;0.857;1.0;0.961;0.906;0.943
ENSMUST00000093490_90_90;0.929;0.907;0.878;0.896;0.993;0.879;0.141;0.099;0.929;0.322;0.961;0.878;0.961;1.0;0.929;0.906
ENSMUST00000110301_90_90;1.0;0.858;0.945;0.967;0.934;0.829;0.212;0.17;1.0;0.3;0.906;0.945;0.906;0.929;1.0;0.857
ENSMUST00000110302_90_90;0.858;1.0;0.911;0.827;0.912;0.865;0.135;0.096;0.857;0.292;0.942;0.911;0.943;0.906;0.857;1.0
