id_transcript;block_sequence
ENSCAFT00000004039_90_90;0.1.2.3.4.9.12.13.14.15.17.18.19.20.21.22.24.25.27.28
ENST00000361346_90_90;0.1.2.3.4.9.10.13.14.15.17.18.19.20.21.23.24.26.27.28
ENST00000361776_90_90;0.1.2.3.4.9.10.15.17.18.19.20.21.23.24.26.27.28
ENST00000372571_90_90;28
ENST00000372572_90_90;0.1.2.3.4.9.10.13.14.15.17.18.19.20.21.23.24.26.27.28
ENST00000372573_90_90;0.1.2.3.4.9.10.13.14.15.17.18.19.20.21.23.24.26.27.28
ENST00000422278_90_90;14.15.17
ENST00000445886_90_90;0.1.2.3.4.9.10.15.17.18.19.20
ENST00000454417_90_90;1.2.3.4.5.7.8
ENST00000545068_90_90;0.1.2.3.4.9.10.13.14.15.17.18.19.20.21.23.24.26.27.28
ENSMUST00000044564_90_90;0.1.2.3.4.11.12.13.14.15.16.17.18.20.21.22.24.25.27.28
ENSMUST00000106310_90_90;0.1.2.3.4.11.12.15.16.17.18.20.21.22.24.25.27.28
ENSMUST00000137560_90_90;0.1.2
ENSMUST00000138845_90_90;0.1.2.3.4.5.6.7
ENSMUST00000160219_90_90;0.1.2.3
ENSMUST00000162267_90_90;0.1.2.3.4.5.6.7
ENSMUST00000176012_90_90;0.1
