;ENSCAFT00000004039_90_90;ENST00000361346_90_90;ENST00000361776_90_90;ENST00000372571_90_90;ENST00000372572_90_90;ENST00000372573_90_90;ENST00000422278_90_90;ENST00000445886_90_90;ENST00000454417_90_90;ENST00000545068_90_90;ENSMUST00000044564_90_90;ENSMUST00000106310_90_90;ENSMUST00000137560_90_90;ENSMUST00000138845_90_90;ENSMUST00000160219_90_90;ENSMUST00000162267_90_90;ENSMUST00000176012_90_90
ENSCAFT00000004039_90_90;1.0;0.999;0.912;0.139;0.999;0.999;0.158;0.631;0.202;0.999;0.978;0.895;0.141;0.258;0.196;0.258;0.106
ENST00000361346_90_90;0.999;1.0;0.922;0.135;1.0;1.0;0.145;0.607;0.169;1.0;0.96;0.867;0.158;0.266;0.218;0.266;0.117
ENST00000361776_90_90;0.912;0.922;1.0;0.144;0.922;0.922;0.106;0.659;0.181;0.922;0.867;0.958;0.176;0.292;0.243;0.292;0.13
ENST00000372571_90_90;0.139;0.135;0.144;1.0;0.135;0.135;0.0;0.0;0.0;0.135;0.144;0.155;0.0;0.0;0.0;0.0;0.0
ENST00000372572_90_90;0.999;1.0;0.922;0.135;1.0;1.0;0.145;0.607;0.169;1.0;0.96;0.867;0.158;0.266;0.218;0.266;0.117
ENST00000372573_90_90;0.999;1.0;0.922;0.135;1.0;1.0;0.145;0.607;0.169;1.0;0.96;0.867;0.158;0.266;0.218;0.266;0.117
ENST00000422278_90_90;0.158;0.145;0.106;0.0;0.145;0.145;1.0;0.159;0.0;0.145;0.17;0.126;0.0;0.0;0.0;0.0;0.0
ENST00000445886_90_90;0.631;0.607;0.659;0.0;0.607;0.607;0.159;1.0;0.264;0.607;0.574;0.635;0.26;0.42;0.36;0.42;0.193
ENST00000454417_90_90;0.202;0.169;0.181;0.0;0.169;0.169;0.0;0.264;1.0;0.169;0.2;0.221;0.226;0.749;0.398;0.749;0.128
ENST00000545068_90_90;0.999;1.0;0.922;0.135;1.0;1.0;0.145;0.607;0.169;1.0;0.96;0.867;0.158;0.266;0.218;0.266;0.117
ENSMUST00000044564_90_90;0.978;0.96;0.867;0.144;0.96;0.96;0.17;0.574;0.2;0.96;1.0;0.922;0.132;0.226;0.184;0.226;0.1
ENSMUST00000106310_90_90;0.895;0.867;0.958;0.155;0.867;0.867;0.126;0.635;0.221;0.867;0.922;1.0;0.144;0.243;0.2;0.243;0.108
ENSMUST00000137560_90_90;0.141;0.158;0.176;0.0;0.158;0.158;0.0;0.26;0.226;0.158;0.132;0.144;1.0;0.416;0.714;0.416;0.77
ENSMUST00000138845_90_90;0.258;0.266;0.292;0.0;0.266;0.266;0.0;0.42;0.749;0.266;0.226;0.243;0.416;1.0;0.588;1.0;0.325
ENSMUST00000160219_90_90;0.196;0.218;0.243;0.0;0.218;0.218;0.0;0.36;0.398;0.218;0.184;0.2;0.714;0.588;1.0;0.588;0.546
ENSMUST00000162267_90_90;0.258;0.266;0.292;0.0;0.266;0.266;0.0;0.42;0.749;0.266;0.226;0.243;0.416;1.0;0.588;1.0;0.325
ENSMUST00000176012_90_90;0.106;0.117;0.13;0.0;0.117;0.117;0.0;0.193;0.128;0.117;0.1;0.108;0.77;0.325;0.546;0.325;1.0
