;ENSCAFT00000022170_90_90;ENST00000264731_90_90;ENST00000320472_90_90;ENST00000354600_90_90;ENST00000392460_90_90;ENST00000392461_90_90;ENST00000392463_90_90;ENST00000418709_90_90;ENST00000434928_90_90;ENST00000437221_90_90;ENST00000440651_90_90;ENST00000449992_90_90;ENST00000456148_90_90;ENSMUST00000040231_90_90;ENSMUST00000065523_90_90;ENSMUST00000115304_90_90;ENSMUST00000115305_90_90;ENSMUST00000115306_90_90;ENSMUST00000115307_90_90;ENSMUST00000115308_90_90;ENSMUST00000115310_90_90
ENSCAFT00000022170_90_90;1.0;0.929;0.714;0.857;0.714;0.643;0.643;0.5;0.214;0.429;0.857;0.786;0.786;0.833;0.667;0.417;0.333;0.75;0.167;0.333;0.917
ENST00000264731_90_90;0.929;1.0;0.786;0.867;0.786;0.667;0.667;0.533;0.15;0.438;0.929;0.733;0.8;0.714;0.615;0.357;0.286;0.643;0.188;0.308;0.846
ENST00000320472_90_90;0.714;0.786;1.0;0.667;0.833;0.833;0.692;0.667;0.176;0.538;0.714;0.533;0.6;0.5;0.636;0.455;0.364;0.429;0.231;0.4;0.615
ENST00000354600_90_90;0.857;0.867;0.667;1.0;0.667;0.786;0.786;0.438;0.211;0.533;0.8;0.857;0.929;0.846;0.5;0.462;0.385;0.769;0.118;0.214;0.714
ENST00000392460_90_90;0.714;0.786;0.833;0.667;1.0;0.692;0.833;0.667;0.176;0.538;0.714;0.533;0.6;0.5;0.8;0.455;0.364;0.429;0.231;0.4;0.615
ENST00000392461_90_90;0.643;0.667;0.833;0.786;0.692;1.0;0.833;0.538;0.25;0.667;0.6;0.643;0.714;0.615;0.5;0.6;0.5;0.538;0.143;0.273;0.5
ENST00000392463_90_90;0.643;0.667;0.692;0.786;0.833;0.833;1.0;0.538;0.25;0.667;0.6;0.643;0.714;0.615;0.636;0.6;0.5;0.538;0.143;0.273;0.5
ENST00000418709_90_90;0.5;0.533;0.667;0.438;0.667;0.538;0.538;1.0;0.2;0.8;0.467;0.312;0.375;0.286;0.5;0.625;0.5;0.214;0.3;0.571;0.385
ENST00000434928_90_90;0.214;0.15;0.176;0.211;0.176;0.25;0.25;0.2;1.0;0.286;0.158;0.105;0.222;0.2;0.154;0.3;0.333;0.214;0.625;0.222;0.125
ENST00000437221_90_90;0.429;0.438;0.538;0.533;0.538;0.667;0.667;0.8;0.286;1.0;0.375;0.4;0.467;0.385;0.364;0.857;0.714;0.308;0.182;0.375;0.286
ENST00000440651_90_90;0.857;0.929;0.714;0.8;0.714;0.6;0.6;0.467;0.158;0.375;1.0;0.667;0.857;0.643;0.538;0.286;0.214;0.692;0.2;0.333;0.769
ENST00000449992_90_90;0.786;0.733;0.533;0.857;0.533;0.643;0.643;0.312;0.105;0.4;0.667;1.0;0.786;0.833;0.462;0.417;0.333;0.75;0.0;0.154;0.692
ENST00000456148_90_90;0.786;0.8;0.6;0.929;0.6;0.714;0.714;0.375;0.222;0.467;0.857;0.786;1.0;0.769;0.429;0.385;0.308;0.833;0.125;0.231;0.643
ENSMUST00000040231_90_90;0.833;0.714;0.5;0.846;0.5;0.615;0.615;0.286;0.2;0.385;0.643;0.833;0.769;1.0;0.643;0.4;0.5;0.923;0.091;0.333;0.857
ENSMUST00000065523_90_90;0.667;0.615;0.636;0.5;0.8;0.5;0.636;0.5;0.154;0.364;0.538;0.462;0.429;0.643;1.0;0.385;0.5;0.571;0.167;0.545;0.769
ENSMUST00000115304_90_90;0.417;0.357;0.455;0.462;0.455;0.6;0.6;0.625;0.3;0.857;0.286;0.417;0.385;0.4;0.385;1.0;0.6;0.333;0.118;0.364;0.312
ENSMUST00000115305_90_90;0.333;0.286;0.364;0.385;0.364;0.5;0.5;0.5;0.333;0.714;0.214;0.333;0.308;0.5;0.5;0.6;1.0;0.429;0.118;0.667;0.4
ENSMUST00000115306_90_90;0.75;0.643;0.429;0.769;0.429;0.538;0.538;0.214;0.214;0.308;0.692;0.75;0.833;0.923;0.571;0.333;0.429;1.0;0.095;0.357;0.786
ENSMUST00000115307_90_90;0.167;0.188;0.231;0.118;0.231;0.143;0.143;0.3;0.625;0.182;0.2;0.0;0.125;0.091;0.167;0.118;0.118;0.095;1.0;0.2;0.143
ENSMUST00000115308_90_90;0.333;0.308;0.4;0.214;0.4;0.273;0.273;0.571;0.222;0.375;0.333;0.154;0.231;0.333;0.545;0.364;0.667;0.357;0.2;1.0;0.429
ENSMUST00000115310_90_90;0.917;0.846;0.615;0.714;0.615;0.5;0.5;0.385;0.125;0.286;0.769;0.692;0.643;0.857;0.769;0.312;0.4;0.786;0.143;0.429;1.0
