;ENSCAFT00000047903_90_90;ENST00000341217_90_90;ENST00000452648_90_90;ENST00000577376_90_90;ENST00000577513_90_90;ENST00000577682_90_90;ENST00000579381_90_90;ENST00000581229_90_90;ENST00000581381_90_90;ENST00000581407_90_90;ENST00000582059_90_90;ENST00000582266_90_90;ENST00000583307_90_90;ENST00000583522_90_90;ENST00000583953_90_90;ENST00000584059_90_90;ENSMUST00000073705_90_90;ENSMUST00000100782_90_90;ENSMUST00000155571_90_90
ENSCAFT00000047903_90_90;;0.029;0.263;0.316;0.33;0.097;0.172;0.33;0.097;0.263;0.097;0.097;0.3;0.097;0.097;0.124;0.263;0.029;0.263
ENST00000341217_90_90;0.029;;;;;;;;;;;;;;;;0.522;1.0;0.522
ENST00000452648_90_90;0.263;;;;;;;;;;;;;;;;1.0;0.522;1.0
ENST00000577376_90_90;0.316;;;;;;;;;;;;;;;;0.614;0.137;0.614
ENST00000577513_90_90;0.33;;;;;;;;;;;;;;;;0.553;0.075;0.553
ENST00000577682_90_90;0.097;;;;;;;;;;;;;;;;0.111;0.0;0.111
ENST00000579381_90_90;0.172;;;;;;;;;;;;;;;;0.095;0.0;0.095
ENST00000581229_90_90;0.33;;;;;;;;;;;;;;;;0.553;0.075;0.553
ENST00000581381_90_90;0.097;;;;;;;;;;;;;;;;0.111;0.0;0.111
ENST00000581407_90_90;0.263;;;;;;;;;;;;;;;;1.0;0.522;1.0
ENST00000582059_90_90;0.097;;;;;;;;;;;;;;;;0.111;0.0;0.111
ENST00000582266_90_90;0.097;;;;;;;;;;;;;;;;0.111;0.0;0.111
ENST00000583307_90_90;0.3;;;;;;;;;;;;;;;;0.691;0.213;0.691
ENST00000583522_90_90;0.097;;;;;;;;;;;;;;;;0.111;0.0;0.111
ENST00000583953_90_90;0.097;;;;;;;;;;;;;;;;0.111;0.0;0.111
ENST00000584059_90_90;0.124;;;;;;;;;;;;;;;;0.176;0.0;0.176
ENSMUST00000073705_90_90;0.263;0.522;1.0;0.614;0.553;0.111;0.095;0.553;0.111;1.0;0.111;0.111;0.691;0.111;0.111;0.176;;;
ENSMUST00000100782_90_90;0.029;1.0;0.522;0.137;0.075;0.0;0.0;0.075;0.0;0.522;0.0;0.0;0.213;0.0;0.0;0.0;;;
ENSMUST00000155571_90_90;0.263;0.522;1.0;0.614;0.553;0.111;0.095;0.553;0.111;1.0;0.111;0.111;0.691;0.111;0.111;0.176;;;
