;ENSCAFT00000002168_90_90;ENSCAFT00000045695_90_90;ENSCAFT00000013241_90_90;ENSCAFT00000019370_90_90;ENST00000253363_90_90;ENST00000338163_90_90;ENST00000361162_90_90;ENST00000374038_90_90;ENST00000397370_90_90;ENST00000403542_90_90;ENST00000412738_90_90;ENST00000416108_90_90;ENST00000416529_90_90;ENST00000425184_90_90;ENST00000426951_90_90;ENST00000429968_90_90;ENST00000433027_90_90;ENST00000434927_90_90;ENST00000444878_90_90;ENST00000448303_90_90;ENST00000449489_90_90;ENST00000453310_90_90;ENST00000455343_90_90;ENST00000476806_90_90;ENST00000490484_90_90;ENST00000528062_90_90;ENST00000615771_90_90;ENST00000369086_90_90;ENST00000369093_90_90;ENST00000412524_90_90;ENST00000436547_90_90;ENST00000479729_90_90;ENST00000497671_90_90;ENST00000313352_90_90;ENST00000349157_90_90;ENST00000453551_90_90;ENST00000456095_90_90;ENST00000526459_90_90;ENST00000526683_90_90;ENST00000527197_90_90;ENST00000527744_90_90;ENST00000529999_90_90;ENST00000531897_90_90;ENST00000532884_90_90;ENST00000533162_90_90;ENSMUST00000002599_90_90;ENSMUST00000100527_90_90;ENSMUST00000029149_90_90;ENSMUST00000109584_90_90;ENSMUST00000109587_90_90;ENSMUST00000126992_90_90;ENSMUST00000137566_90_90;ENSMUST00000142071_90_90;ENSMUST00000146288_90_90;ENSMUST00000146297_90_90;ENSMUST00000146549_90_90;ENSMUST00000147098_90_90;ENSMUST00000148794_90_90;ENSMUST00000152919_90_90;ENSMUST00000153514_90_90;ENSMUST00000154677_90_90;ENSMUST00000155837_90_90;ENSMUST00000033135_90_90;ENSMUST00000106226_90_90;ENSMUST00000106228_90_90;ENSMUST00000123666_90_90;ENSMUST00000133089_90_90;ENSMUST00000133444_90_90;ENSMUST00000141126_90_90;ENSMUST00000165023_90_90;ENSMUST00000205278_90_90;ENSMUST00000205835_90_90
ENSCAFT00000002168_90_90;1.0;0.868;0.55;0.455;0.503;0.432;0.507;0.295;0.078;0.03;0.03;0.03;0.03;0.0;0.07;0.061;0.051;0.248;0.03;0.378;0.03;0.03;0.03;0.04;0.34;0.479;0.162;0.167;0.444;0.186;0.427;0.03;0.245;0.863;0.989;0.796;0.835;0.653;0.913;0.905;0.606;0.475;0.455;0.542;0.339;0.99;0.913;0.529;0.051;0.525;0.375;0.03;0.433;0.189;0.529;0.03;0.051;0.4;0.03;0.061;0.03;0.03;0.417;0.433;0.348;0.258;0.083;0.132;0.231;0.417;0.253;0.188
ENSCAFT00000045695_90_90;0.868;1.0;0.573;0.429;0.527;0.459;0.531;0.319;0.044;0.018;0.018;0.018;0.0;0.019;0.055;0.027;0.018;0.284;0.018;0.386;0.018;0.018;0.018;0.037;0.315;0.493;0.15;0.154;0.418;0.171;0.403;0.077;0.226;0.796;0.858;0.874;0.858;0.56;0.934;0.783;0.651;0.44;0.422;0.5;0.413;0.86;0.935;0.552;0.018;0.549;0.397;0.018;0.462;0.217;0.552;0.018;0.018;0.386;0.018;0.027;0.0;0.018;0.393;0.408;0.329;0.238;0.077;0.123;0.217;0.393;0.234;0.174
ENSCAFT00000013241_90_90;0.55;0.573;1.0;0.441;0.906;0.6;0.898;0.387;0.053;0.032;0.032;0.032;0.032;0.0;0.089;0.065;0.056;0.355;0.032;0.616;0.032;0.032;0.032;0.056;0.341;0.866;0.192;0.121;0.431;0.136;0.417;0.065;0.173;0.5;0.554;0.559;0.588;0.421;0.612;0.529;0.481;0.294;0.279;0.316;0.291;0.546;0.603;0.944;0.056;0.952;0.472;0.032;0.633;0.293;0.944;0.032;0.056;0.585;0.032;0.065;0.032;0.032;0.408;0.422;0.358;0.183;0.065;0.114;0.264;0.408;0.18;0.157
ENSCAFT00000019370_90_90;0.455;0.429;0.441;1.0;0.437;0.364;0.44;0.122;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.083;0.0;0.439;0.0;0.0;0.0;0.049;0.321;0.432;0.181;0.175;0.96;0.194;0.909;0.019;0.24;0.504;0.458;0.472;0.458;0.333;0.432;0.488;0.3;0.189;0.173;0.456;0.121;0.451;0.426;0.45;0.0;0.447;0.173;0.0;0.314;0.039;0.45;0.0;0.0;0.453;0.0;0.0;0.0;0.0;0.89;0.94;0.818;0.253;0.082;0.337;0.653;0.89;0.286;0.196
ENST00000253363_90_90;0.503;0.527;0.906;0.437;1.0;0.659;0.992;0.417;0.062;0.032;0.032;0.032;0.032;0.0;0.1;0.066;0.066;0.383;0.032;0.667;0.032;0.032;0.032;0.074;0.336;0.958;0.215;0.123;0.428;0.138;0.413;0.066;0.176;0.474;0.507;0.533;0.562;0.385;0.563;0.504;0.444;0.27;0.255;0.301;0.267;0.5;0.556;0.943;0.066;0.951;0.479;0.032;0.63;0.298;0.943;0.032;0.066;0.582;0.032;0.066;0.032;0.032;0.404;0.418;0.353;0.185;0.066;0.108;0.259;0.404;0.183;0.16
ENST00000338163_90_90;0.432;0.459;0.6;0.364;0.659;1.0;0.664;0.532;0.078;0.041;0.041;0.041;0.041;0.0;0.128;0.083;0.084;0.489;0.041;0.475;0.041;0.041;0.041;0.095;0.427;0.62;0.274;0.156;0.355;0.175;0.338;0.084;0.222;0.397;0.435;0.46;0.492;0.519;0.496;0.429;0.566;0.333;0.315;0.246;0.33;0.429;0.489;0.626;0.084;0.621;0.611;0.041;0.828;0.379;0.626;0.041;0.084;0.44;0.041;0.083;0.041;0.041;0.338;0.355;0.283;0.235;0.084;0.185;0.178;0.338;0.23;0.082
ENST00000361162_90_90;0.507;0.531;0.898;0.44;0.992;0.664;1.0;0.42;0.063;0.033;0.033;0.033;0.033;0.0;0.101;0.066;0.067;0.387;0.033;0.658;0.033;0.033;0.033;0.075;0.339;0.95;0.217;0.124;0.43;0.139;0.416;0.067;0.177;0.478;0.511;0.537;0.566;0.388;0.567;0.507;0.447;0.272;0.257;0.303;0.269;0.503;0.559;0.951;0.067;0.943;0.483;0.033;0.635;0.3;0.951;0.033;0.067;0.574;0.033;0.066;0.033;0.033;0.407;0.421;0.356;0.187;0.067;0.109;0.26;0.407;0.184;0.161
ENST00000374038_90_90;0.295;0.319;0.387;0.122;0.417;0.532;0.42;1.0;0.138;0.074;0.074;0.074;0.074;0.0;0.24;0.154;0.157;0.882;0.074;0.25;0.074;0.074;0.074;0.0;0.24;0.375;0.0;0.081;0.122;0.077;0.101;0.135;0.203;0.245;0.297;0.308;0.346;0.376;0.357;0.283;0.452;0.405;0.417;0.12;0.53;0.292;0.351;0.408;0.157;0.405;0.817;0.074;0.557;0.673;0.408;0.074;0.157;0.23;0.074;0.154;0.074;0.074;0.101;0.122;0.039;0.203;0.0;0.0;0.0;0.101;0.197;0.136
ENST00000397370_90_90;0.078;0.044;0.053;0.0;0.062;0.078;0.063;0.138;1.0;0.2;0.2;0.2;0.2;0.0;0.217;0.444;0.471;0.148;0.2;0.0;0.2;0.2;0.2;0.0;0.0;0.065;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.068;0.0;0.028;0.078;0.063;0.03;0.06;0.061;0.062;0.0;0.063;0.087;0.081;0.063;0.562;0.062;0.119;0.2;0.084;0.178;0.063;0.2;0.471;0.0;0.2;0.444;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000403542_90_90;0.03;0.018;0.032;0.0;0.032;0.041;0.033;0.074;0.2;1.0;1.0;1.0;0.333;0.5;0.053;0.286;0.308;0.08;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.0;0.03;0.042;0.028;0.033;0.026;0.0;0.0;0.0;0.0;0.03;0.028;0.033;0.308;0.032;0.063;1.0;0.044;0.098;0.033;1.0;0.308;0.0;1.0;0.286;0.333;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
