;ENSCAFT00000002168_90_90;ENSCAFT00000045695_90_90;ENSCAFT00000013241_90_90;ENSCAFT00000019370_90_90;ENST00000253363_90_90;ENST00000338163_90_90;ENST00000361162_90_90;ENST00000374038_90_90;ENST00000397370_90_90;ENST00000403542_90_90;ENST00000412738_90_90;ENST00000416108_90_90;ENST00000416529_90_90;ENST00000425184_90_90;ENST00000426951_90_90;ENST00000429968_90_90;ENST00000433027_90_90;ENST00000434927_90_90;ENST00000444878_90_90;ENST00000448303_90_90;ENST00000449489_90_90;ENST00000453310_90_90;ENST00000455343_90_90;ENST00000476806_90_90;ENST00000490484_90_90;ENST00000528062_90_90;ENST00000615771_90_90;ENST00000369086_90_90;ENST00000369093_90_90;ENST00000412524_90_90;ENST00000436547_90_90;ENST00000479729_90_90;ENST00000497671_90_90;ENST00000313352_90_90;ENST00000349157_90_90;ENST00000453551_90_90;ENST00000456095_90_90;ENST00000526459_90_90;ENST00000526683_90_90;ENST00000527197_90_90;ENST00000527744_90_90;ENST00000529999_90_90;ENST00000531897_90_90;ENST00000532884_90_90;ENST00000533162_90_90;ENSMUST00000002599_90_90;ENSMUST00000100527_90_90;ENSMUST00000029149_90_90;ENSMUST00000109584_90_90;ENSMUST00000109587_90_90;ENSMUST00000126992_90_90;ENSMUST00000137566_90_90;ENSMUST00000142071_90_90;ENSMUST00000146288_90_90;ENSMUST00000146297_90_90;ENSMUST00000146549_90_90;ENSMUST00000147098_90_90;ENSMUST00000148794_90_90;ENSMUST00000152919_90_90;ENSMUST00000153514_90_90;ENSMUST00000154677_90_90;ENSMUST00000155837_90_90;ENSMUST00000033135_90_90;ENSMUST00000106226_90_90;ENSMUST00000106228_90_90;ENSMUST00000123666_90_90;ENSMUST00000133089_90_90;ENSMUST00000133444_90_90;ENSMUST00000141126_90_90;ENSMUST00000165023_90_90;ENSMUST00000205278_90_90;ENSMUST00000205835_90_90
ENSCAFT00000002168_90_90;1.0;0.942;0.686;0.996;0.659;0.553;0.659;0.32;0.06;0.015;0.015;0.015;0.015;0.0;0.116;0.04;0.036;0.247;0.015;0.423;0.015;0.015;0.015;0.052;0.338;0.623;0.203;0.148;0.54;0.239;0.521;0.023;0.222;0.921;1.0;0.893;0.918;0.587;0.97;0.946;0.566;0.402;0.374;0.432;0.298;1.0;0.97;0.666;0.037;0.666;0.39;0.015;0.549;0.183;0.666;0.015;0.037;0.427;0.015;0.04;0.015;0.015;0.53;0.549;0.453;0.228;0.061;0.112;0.289;0.53;0.224;0.147
ENSCAFT00000045695_90_90;0.942;1.0;0.703;0.996;0.665;0.562;0.665;0.33;0.042;0.013;0.013;0.013;0.0;0.014;0.103;0.023;0.02;0.26;0.013;0.432;0.013;0.013;0.013;0.051;0.327;0.625;0.196;0.146;0.531;0.235;0.512;0.039;0.219;0.893;0.942;0.923;0.921;0.547;0.972;0.891;0.578;0.39;0.363;0.419;0.328;0.955;0.986;0.673;0.02;0.673;0.398;0.014;0.557;0.194;0.673;0.014;0.02;0.426;0.014;0.023;0.0;0.014;0.526;0.545;0.45;0.226;0.06;0.111;0.287;0.526;0.222;0.146
ENSCAFT00000013241_90_90;0.686;0.703;1.0;0.998;0.991;0.757;0.98;0.431;0.058;0.032;0.032;0.032;0.032;0.0;0.157;0.062;0.058;0.359;0.032;0.631;0.032;0.032;0.032;0.089;0.402;0.95;0.281;0.178;0.725;0.29;0.701;0.049;0.257;0.616;0.674;0.648;0.674;0.766;0.706;0.642;0.806;0.505;0.465;0.552;0.43;0.674;0.706;0.983;0.058;0.994;0.511;0.032;0.753;0.289;0.983;0.032;0.058;0.585;0.032;0.062;0.032;0.032;0.733;0.758;0.649;0.271;0.076;0.145;0.446;0.733;0.266;0.181
ENSCAFT00000019370_90_90;0.996;0.996;0.998;1.0;0.941;0.738;0.941;0.256;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.137;0.0;0.747;0.0;0.0;0.0;0.093;0.566;0.907;0.369;0.217;0.998;0.338;0.955;0.028;0.315;0.979;0.979;0.979;0.979;0.747;0.979;0.979;0.738;0.406;0.352;0.79;0.248;0.996;0.996;0.955;0.0;0.955;0.364;0.0;0.715;0.056;0.955;0.0;0.0;0.743;0.0;0.0;0.0;0.0;0.952;0.996;0.854;0.315;0.079;0.26;0.62;0.952;0.329;0.214
ENST00000253363_90_90;0.659;0.665;0.991;0.941;1.0;0.74;0.989;0.437;0.057;0.031;0.031;0.031;0.03;0.0;0.162;0.062;0.063;0.365;0.031;0.634;0.031;0.031;0.031;0.089;0.377;0.958;0.276;0.179;0.695;0.29;0.672;0.049;0.258;0.612;0.649;0.643;0.67;0.726;0.68;0.638;0.77;0.438;0.403;0.549;0.371;0.643;0.674;0.986;0.063;0.997;0.516;0.031;0.749;0.294;0.986;0.031;0.063;0.584;0.031;0.062;0.03;0.031;0.702;0.725;0.621;0.272;0.077;0.138;0.426;0.702;0.267;0.182
ENST00000338163_90_90;0.553;0.562;0.757;0.738;0.74;1.0;0.748;0.548;0.07;0.038;0.038;0.038;0.036;0.0;0.203;0.077;0.079;0.458;0.038;0.508;0.038;0.038;0.038;0.111;0.466;0.7;0.344;0.213;0.545;0.346;0.522;0.058;0.307;0.5;0.54;0.532;0.558;0.859;0.571;0.526;0.896;0.497;0.457;0.417;0.421;0.54;0.571;0.757;0.081;0.749;0.66;0.039;0.978;0.376;0.757;0.039;0.081;0.508;0.039;0.079;0.037;0.039;0.548;0.572;0.468;0.327;0.092;0.167;0.271;0.548;0.321;0.097
ENST00000361162_90_90;0.659;0.665;0.98;0.941;0.989;0.748;1.0;0.442;0.058;0.031;0.031;0.031;0.03;0.0;0.163;0.063;0.064;0.37;0.031;0.623;0.031;0.031;0.031;0.09;0.381;0.947;0.279;0.179;0.695;0.29;0.672;0.049;0.258;0.612;0.649;0.643;0.67;0.726;0.68;0.638;0.77;0.438;0.403;0.549;0.371;0.643;0.674;0.997;0.064;0.986;0.522;0.031;0.758;0.297;0.997;0.031;0.064;0.573;0.031;0.063;0.03;0.031;0.702;0.725;0.621;0.272;0.077;0.138;0.426;0.702;0.267;0.182
ENST00000374038_90_90;0.32;0.33;0.431;0.256;0.437;0.548;0.442;1.0;0.115;0.067;0.067;0.067;0.061;0.0;0.37;0.137;0.142;0.828;0.067;0.227;0.067;0.067;0.067;0.0;0.201;0.396;0.0;0.169;0.19;0.141;0.167;0.099;0.315;0.269;0.316;0.299;0.325;0.508;0.344;0.296;0.554;0.584;0.617;0.15;0.634;0.313;0.341;0.441;0.143;0.436;0.844;0.067;0.568;0.663;0.441;0.067;0.142;0.21;0.067;0.138;0.062;0.067;0.175;0.199;0.094;0.344;0.0;0.0;0.0;0.175;0.334;0.164
ENST00000397370_90_90;0.06;0.042;0.058;0.0;0.057;0.07;0.058;0.115;1.0;0.144;0.144;0.144;0.121;0.0;0.134;0.311;0.336;0.132;0.144;0.0;0.144;0.144;0.144;0.0;0.0;0.059;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.057;0.0;0.015;0.09;0.055;0.015;0.083;0.083;0.088;0.0;0.093;0.066;0.064;0.058;0.404;0.057;0.101;0.145;0.072;0.156;0.058;0.145;0.339;0.0;0.145;0.314;0.122;0.145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000403542_90_90;0.015;0.013;0.032;0.0;0.031;0.038;0.031;0.067;0.144;1.0;1.0;1.0;0.2;0.575;0.039;0.243;0.274;0.078;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015;0.0;0.015;0.024;0.014;0.016;0.019;0.0;0.0;0.0;0.0;0.015;0.015;0.031;0.279;0.031;0.057;1.0;0.04;0.095;0.031;1.0;0.274;0.0;1.0;0.243;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
