;transcript7_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript28_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript12_ENSMLUG00000027828;transcript15_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript25_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript27_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226
transcript7_ENSMPUG00000020072;1.0;0.943;0.911;0.676;0.676;0.676;0.633;0.669;0.039;0.624;0.614;0.52;0.53;0.485;0.452;0.242;0.827
transcript25_ENSMPUG00000020072;0.943;1.0;0.966;0.633;0.633;0.633;0.665;0.641;0.041;0.596;0.586;0.489;0.5;0.51;0.42;0.205;0.78
transcript28_ENSMPUG00000020072;0.911;0.966;1.0;0.611;0.611;0.611;0.642;0.619;0.042;0.578;0.568;0.47;0.481;0.49;0.401;0.211;0.754
transcript12_ENSECAG00000007947;0.676;0.633;0.611;1.0;1.0;1.0;0.944;0.986;0.049;0.651;0.641;0.542;0.552;0.506;0.478;0.256;0.839
transcript23_ENSECAG00000007947;0.676;0.633;0.611;1.0;1.0;1.0;0.944;0.986;0.049;0.651;0.641;0.542;0.552;0.506;0.478;0.256;0.839
transcript31_ENSECAG00000007947;0.676;0.633;0.611;1.0;1.0;1.0;0.944;0.986;0.049;0.651;0.641;0.542;0.552;0.506;0.478;0.256;0.839
transcript32_ENSECAG00000007947;0.633;0.665;0.642;0.944;0.944;0.944;1.0;0.957;0.052;0.622;0.612;0.511;0.522;0.532;0.446;0.218;0.792
transcript33_ENSECAG00000007947;0.669;0.641;0.619;0.986;0.986;0.986;0.957;1.0;0.05;0.644;0.634;0.534;0.545;0.512;0.47;0.242;0.827
transcript7_ENSMLUG00000027828;0.039;0.041;0.042;0.049;0.049;0.049;0.052;0.05;1.0;0.052;0.053;0.065;0.064;0.069;0.075;0.122;0.041
transcript12_ENSMLUG00000027828;0.624;0.596;0.578;0.651;0.651;0.651;0.622;0.644;0.052;1.0;0.981;0.805;0.824;0.757;0.7;0.246;0.783
transcript15_ENSMLUG00000027828;0.614;0.586;0.568;0.641;0.641;0.641;0.612;0.634;0.053;0.981;1.0;0.821;0.805;0.771;0.714;0.229;0.768
transcript16_ENSMLUG00000027828;0.52;0.489;0.47;0.542;0.542;0.542;0.511;0.534;0.065;0.805;0.821;1.0;0.977;0.94;0.87;0.274;0.63
transcript25_ENSMLUG00000027828;0.53;0.5;0.481;0.552;0.552;0.552;0.522;0.545;0.064;0.824;0.805;0.977;1.0;0.918;0.85;0.295;0.645
transcript26_ENSMLUG00000027828;0.485;0.51;0.49;0.506;0.506;0.506;0.532;0.512;0.069;0.757;0.771;0.94;0.918;1.0;0.809;0.24;0.592
transcript27_ENSMLUG00000027828;0.452;0.42;0.401;0.478;0.478;0.478;0.446;0.47;0.075;0.7;0.714;0.87;0.85;0.809;1.0;0.186;0.548
transcript7_ENSSTOG00000019743;0.242;0.205;0.211;0.256;0.256;0.256;0.218;0.242;0.122;0.246;0.229;0.274;0.295;0.24;0.186;1.0;0.255
transcript7_ENSCCNG00000000226;0.827;0.78;0.754;0.839;0.839;0.839;0.792;0.827;0.041;0.783;0.768;0.63;0.645;0.592;0.548;0.255;1.0
