;ENSCAFT00000015963_90_90;ENST00000285737_90_90;ENST00000416006_90_90;ENST00000535754_90_90;ENST00000565867_90_90;ENST00000566755_90_90;ENST00000570174_90_90;ENSMUST00000034141_90_90;ENSMUST00000121673_90_90;ENSMUST00000122188_90_90;ENSMUST00000155433_90_90;ENSMUST00000163987_90_90
ENSCAFT00000015963_90_90;1.0;1.0;0.361;0.944;0.5;0.139;0.222;0.778;0.278;0.611;1.0;0.278
ENST00000285737_90_90;1.0;1.0;0.224;0.965;0.586;0.088;0.138;0.933;0.333;0.733;1.0;0.333
ENST00000416006_90_90;0.361;0.224;1.0;0.232;0.021;0.188;0.533;0.857;0.417;0.769;0.8;0.417
ENST00000535754_90_90;0.944;0.965;0.232;1.0;0.607;0.053;0.143;0.8;0.385;0.714;0.867;0.385
ENST00000565867_90_90;0.5;0.586;0.021;0.607;1.0;0.0;0.0;0.067;0.167;0.083;0.133;0.167
ENST00000566755_90_90;0.139;0.088;0.188;0.053;0.0;1.0;0.077;0.357;0.0;0.231;0.333;0.0
ENST00000570174_90_90;0.222;0.138;0.533;0.143;0.0;0.077;1.0;0.5;0.2;0.5;0.467;0.2
ENSMUST00000034141_90_90;0.778;0.933;0.857;0.8;0.067;0.357;0.5;1.0;0.375;0.812;0.682;0.375
ENSMUST00000121673_90_90;0.278;0.333;0.417;0.385;0.167;0.0;0.2;0.375;1.0;0.462;0.227;1.0
ENSMUST00000122188_90_90;0.611;0.733;0.769;0.714;0.083;0.231;0.5;0.812;0.462;1.0;0.545;0.462
ENSMUST00000155433_90_90;1.0;1.0;0.8;0.867;0.133;0.333;0.467;0.682;0.227;0.545;1.0;0.227
ENSMUST00000163987_90_90;0.278;0.333;0.417;0.385;0.167;0.0;0.2;0.375;1.0;0.462;0.227;1.0
