;ENSCAFT00000024611_90_90;ENST00000312358_90_90;ENST00000396686_90_90;ENST00000396688_90_90;ENST00000396689_90_90;ENST00000396698_90_90;ENST00000403148_90_90;ENST00000409595_90_90;ENST00000412982_90_90;ENST00000420132_90_90;ENST00000431523_90_90;ENST00000435853_90_90;ENST00000451076_90_90;ENST00000452101_90_90;ENST00000617028_90_90;ENSMUST00000087122_90_90;ENSMUST00000113587_90_90;ENSMUST00000113588_90_90;ENSMUST00000113589_90_90;ENSMUST00000113590_90_90;ENSMUST00000122266_90_90;ENSMUST00000125306_90_90;ENSMUST00000132228_90_90;ENSMUST00000137868_90_90;ENSMUST00000148515_90_90
ENSCAFT00000024611_90_90;1.0;0.993;0.034;0.034;0.034;0.251;0.0;0.013;0.029;0.0;0.079;0.045;0.056;0.014;0.0;0.989;0.034;0.034;0.034;0.251;0.034;0.014;0.04;0.903;0.079
ENST00000312358_90_90;0.993;1.0;0.034;0.034;0.034;0.252;0.0;0.013;0.029;0.0;0.08;0.045;0.056;0.014;0.0;0.995;0.034;0.034;0.034;0.252;0.034;0.014;0.04;0.906;0.08
ENST00000396686_90_90;0.034;0.034;1.0;1.0;1.0;0.132;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034;1.0;1.0;1.0;0.131;1.0;0.0;0.0;0.037;0.0
ENST00000396688_90_90;0.034;0.034;1.0;1.0;1.0;0.132;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034;1.0;1.0;1.0;0.131;1.0;0.0;0.0;0.037;0.0
ENST00000396689_90_90;0.034;0.034;1.0;1.0;1.0;0.132;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034;1.0;1.0;1.0;0.131;1.0;0.0;0.0;0.037;0.0
ENST00000396698_90_90;0.251;0.252;0.132;0.132;0.132;1.0;0.029;0.049;0.0;0.029;0.333;0.186;0.214;0.083;0.0;0.252;0.132;0.132;0.132;0.994;0.132;0.083;0.153;0.216;0.332
ENST00000403148_90_90;0.0;0.0;0.0;0.0;0.0;0.029;1.0;0.0;0.0;1.0;0.077;0.063;0.0;0.227;0.0;0.0;0.0;0.0;0.0;0.029;0.0;0.231;0.0;0.0;0.077
ENST00000409595_90_90;0.013;0.013;0.0;0.0;0.0;0.049;0.0;1.0;0.0;0.0;0.0;0.0;0.209;0.0;0.0;0.013;0.0;0.0;0.0;0.049;0.0;0.0;0.322;0.001;0.0
ENST00000412982_90_90;0.029;0.029;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.695;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.032;0.0
ENST00000420132_90_90;0.0;0.0;0.0;0.0;0.0;0.029;1.0;0.0;0.0;1.0;0.077;0.063;0.0;0.227;0.0;0.0;0.0;0.0;0.0;0.029;0.0;0.231;0.0;0.0;0.077
ENST00000431523_90_90;0.079;0.08;0.0;0.0;0.0;0.333;0.077;0.0;0.0;0.077;1.0;0.554;0.348;0.274;0.0;0.08;0.0;0.0;0.0;0.331;0.0;0.272;0.141;0.058;0.989
ENST00000435853_90_90;0.045;0.045;0.0;0.0;0.0;0.186;0.063;0.0;0.0;0.063;0.554;1.0;0.505;0.367;0.0;0.045;0.0;0.0;0.0;0.184;0.0;0.363;0.201;0.021;0.547
ENST00000451076_90_90;0.056;0.056;0.0;0.0;0.0;0.214;0.0;0.209;0.0;0.0;0.348;0.505;1.0;0.12;0.0;0.056;0.0;0.0;0.0;0.213;0.0;0.12;0.42;0.019;0.345
ENST00000452101_90_90;0.014;0.014;0.0;0.0;0.0;0.083;0.227;0.0;0.0;0.227;0.274;0.367;0.12;1.0;0.0;0.014;0.0;0.0;0.0;0.082;0.0;0.984;0.086;0.0;0.27
ENST00000617028_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.695;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000087122_90_90;0.989;0.995;0.034;0.034;0.034;0.252;0.0;0.013;0.03;0.0;0.08;0.045;0.056;0.014;0.0;1.0;0.034;0.034;0.034;0.254;0.034;0.014;0.04;0.91;0.081
ENSMUST00000113587_90_90;0.034;0.034;1.0;1.0;1.0;0.132;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034;1.0;1.0;1.0;0.131;1.0;0.0;0.0;0.037;0.0
ENSMUST00000113588_90_90;0.034;0.034;1.0;1.0;1.0;0.132;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034;1.0;1.0;1.0;0.131;1.0;0.0;0.0;0.037;0.0
ENSMUST00000113589_90_90;0.034;0.034;1.0;1.0;1.0;0.132;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034;1.0;1.0;1.0;0.131;1.0;0.0;0.0;0.037;0.0
ENSMUST00000113590_90_90;0.251;0.252;0.131;0.131;0.131;0.994;0.029;0.049;0.0;0.029;0.331;0.184;0.213;0.082;0.0;0.254;0.131;0.131;0.131;1.0;0.131;0.083;0.153;0.217;0.334
ENSMUST00000122266_90_90;0.034;0.034;1.0;1.0;1.0;0.132;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034;1.0;1.0;1.0;0.131;1.0;0.0;0.0;0.037;0.0
ENSMUST00000125306_90_90;0.014;0.014;0.0;0.0;0.0;0.083;0.231;0.0;0.0;0.231;0.272;0.363;0.12;0.984;0.0;0.014;0.0;0.0;0.0;0.083;0.0;1.0;0.086;0.0;0.272
ENSMUST00000132228_90_90;0.04;0.04;0.0;0.0;0.0;0.153;0.0;0.322;0.0;0.0;0.141;0.201;0.42;0.086;0.0;0.04;0.0;0.0;0.0;0.153;0.0;0.086;1.0;0.006;0.14
ENSMUST00000137868_90_90;0.903;0.906;0.037;0.037;0.037;0.216;0.0;0.001;0.032;0.0;0.058;0.021;0.019;0.0;0.0;0.91;0.037;0.037;0.037;0.217;0.037;0.0;0.006;1.0;0.058
ENSMUST00000148515_90_90;0.079;0.08;0.0;0.0;0.0;0.332;0.077;0.0;0.0;0.077;0.989;0.547;0.345;0.27;0.0;0.081;0.0;0.0;0.0;0.334;0.0;0.272;0.14;0.058;1.0
