;ENSCAFT00000037573_90_90;ENSCAFT00000037581_90_90;ENST00000382096_90_90;ENST00000382099_90_90;ENST00000382100_90_90;ENSMUST00000025866_90_90;ENSMUST00000047645_90_90;ENSMUST00000164746_90_90;ENSMUST00000165761_90_90;ENSMUST00000167487_90_90;ENSMUST00000172302_90_90
ENSCAFT00000037573_90_90;1.0;0.929;0.231;1.0;0.929;0.692;0.923;0.077;0.385;0.929;1.0
ENSCAFT00000037581_90_90;0.929;1.0;0.214;0.929;1.0;0.643;0.857;0.071;0.357;1.0;0.929
ENST00000382096_90_90;0.231;0.214;1.0;0.231;0.214;0.333;0.25;0.333;0.0;0.214;0.231
ENST00000382099_90_90;1.0;0.929;0.231;1.0;0.929;0.692;0.923;0.077;0.385;0.929;1.0
ENST00000382100_90_90;0.929;1.0;0.214;0.929;1.0;0.643;0.857;0.071;0.357;1.0;0.929
ENSMUST00000025866_90_90;0.692;0.643;0.333;0.692;0.643;1.0;0.615;0.111;0.273;0.643;0.692
ENSMUST00000047645_90_90;0.923;0.857;0.25;0.923;0.857;0.615;1.0;0.083;0.417;0.857;0.923
ENSMUST00000164746_90_90;0.077;0.071;0.333;0.077;0.071;0.111;0.083;1.0;0.0;0.071;0.077
ENSMUST00000165761_90_90;0.385;0.357;0.0;0.385;0.357;0.273;0.417;0.0;1.0;0.357;0.385
ENSMUST00000167487_90_90;0.929;1.0;0.214;0.929;1.0;0.643;0.857;0.071;0.357;1.0;0.929
ENSMUST00000172302_90_90;1.0;0.929;0.231;1.0;0.929;0.692;0.923;0.077;0.385;0.929;1.0
