;ENSCAFT00000023830_90_90;ENST00000318386_90_90;ENST00000429429_90_90;ENST00000480936_90_90;ENST00000483348_90_90;ENST00000488267_90_90;ENST00000489418_90_90;ENSMUST00000057551_90_90;ENSMUST00000075670_90_90;ENSMUST00000101354_90_90;ENSMUST00000139518_90_90;ENSMUST00000151081_90_90
ENSCAFT00000023830_90_90;1.0;0.996;0.85;0.509;0.8;0.867;0.994;0.989;0.851;0.916;0.757;0.122
ENST00000318386_90_90;0.996;1.0;0.834;0.425;0.752;0.848;0.975;0.993;0.85;0.919;0.774;0.125
ENST00000429429_90_90;0.85;0.834;1.0;0.404;0.631;0.726;0.856;0.846;0.703;0.772;0.627;0.143
ENST00000480936_90_90;0.509;0.425;0.404;1.0;0.335;0.324;0.434;0.467;0.534;0.399;0.584;0.201
ENST00000483348_90_90;0.8;0.752;0.631;0.335;1.0;0.881;0.771;0.764;0.626;0.692;0.553;0.098
ENST00000488267_90_90;0.867;0.848;0.726;0.324;0.881;1.0;0.87;0.863;0.72;0.789;0.644;0.094
ENST00000489418_90_90;0.994;0.975;0.856;0.434;0.771;0.87;1.0;0.99;0.847;0.916;0.772;0.122
ENSMUST00000057551_90_90;0.989;0.993;0.846;0.467;0.764;0.863;0.99;1.0;0.823;0.927;0.737;0.122
ENSMUST00000075670_90_90;0.851;0.85;0.703;0.534;0.626;0.72;0.847;0.823;1.0;0.753;0.808;0.135
ENSMUST00000101354_90_90;0.916;0.919;0.772;0.399;0.692;0.789;0.916;0.927;0.753;1.0;0.667;0.05
ENSMUST00000139518_90_90;0.757;0.774;0.627;0.584;0.553;0.644;0.772;0.737;0.808;0.667;1.0;0.154
ENSMUST00000151081_90_90;0.122;0.125;0.143;0.201;0.098;0.094;0.122;0.122;0.135;0.05;0.154;1.0
