;ENSCAFT00000031829_90_90;ENST00000327812_90_90;ENST00000372546_90_90;ENST00000406974_90_90;ENST00000412363_90_90;ENSMUST00000028209_90_90;ENSMUST00000113612_90_90;ENSMUST00000123202_90_90;ENSMUST00000137248_90_90;ENSMUST00000155196_90_90
ENSCAFT00000031829_90_90;1.0;0.444;1.0;0.889;0.333;1.0;0.889;0.444;0.444;0.333
ENST00000327812_90_90;0.444;1.0;0.4;0.444;0.75;0.4;0.444;0.143;1.0;0.75
ENST00000372546_90_90;1.0;0.4;1.0;0.9;0.3;1.0;0.9;0.4;0.4;0.3
ENST00000406974_90_90;0.889;0.444;0.9;1.0;0.333;0.9;1.0;0.3;0.444;0.333
ENST00000412363_90_90;0.333;0.75;0.3;0.333;1.0;0.3;0.333;0.167;0.75;1.0
ENSMUST00000028209_90_90;1.0;0.4;1.0;0.9;0.3;1.0;0.9;0.4;0.4;0.3
ENSMUST00000113612_90_90;0.889;0.444;0.9;1.0;0.333;0.9;1.0;0.3;0.444;0.333
ENSMUST00000123202_90_90;0.444;0.143;0.4;0.3;0.167;0.4;0.3;1.0;0.143;0.167
ENSMUST00000137248_90_90;0.444;1.0;0.4;0.444;0.75;0.4;0.444;0.143;1.0;0.75
ENSMUST00000155196_90_90;0.333;0.75;0.3;0.333;1.0;0.3;0.333;0.167;0.75;1.0
