;ENSCAFT00000013569_90_90;ENSCAFT00000048577_90_90;ENSCAFT00000049950_90_90;ENST00000314177_90_90;ENST00000338564_90_90;ENST00000340545_90_90;ENST00000397620_90_90;ENST00000397624_90_90;ENST00000424352_90_90;ENST00000557796_90_90;ENST00000558313_90_90;ENST00000559085_90_90;ENST00000559561_90_90;ENST00000560570_90_90;ENST00000560617_90_90;ENST00000560697_90_90;ENST00000561208_90_90;ENST00000606653_90_90;ENST00000607277_90_90;ENSMUST00000028639_90_90;ENSMUST00000074285_90_90;ENSMUST00000102538_90_90;ENSMUST00000110906_90_90;ENSMUST00000110907_90_90;ENSMUST00000110908_90_90
ENSCAFT00000013569_90_90;;;;0.702;0.748;0.842;0.665;0.665;0.859;0.842;0.322;0.819;0.882;0.243;0.22;0.163;0.73;0.201;0.507;0.762;0.911;0.784;0.887;0.93;0.958
ENSCAFT00000048577_90_90;;;;0.599;0.85;0.693;0.538;0.538;0.719;0.693;0.288;0.718;0.693;0.194;0.198;0.143;0.877;0.182;0.43;0.912;0.76;0.885;0.786;0.75;0.724
ENSCAFT00000049950_90_90;;;;0.635;0.464;0.491;0.373;0.373;0.49;0.491;0.496;0.479;0.502;0.244;0.341;0.26;0.453;0.297;0.244;0.479;0.56;0.492;0.546;0.516;0.529
ENST00000314177_90_90;0.702;0.599;0.635;;;;;;;;;;;;;;;;;0.67;0.663;0.69;0.646;0.716;0.736
ENST00000338564_90_90;0.748;0.85;0.464;;;;;;;;;;;;;;;;;0.929;0.711;0.956;0.693;0.762;0.784
ENST00000340545_90_90;0.842;0.693;0.491;;;;;;;;;;;;;;;;;0.692;0.843;0.71;0.821;0.819;0.842
ENST00000397620_90_90;0.665;0.538;0.373;;;;;;;;;;;;;;;;;0.537;0.665;0.552;0.648;0.647;0.665
ENST00000397624_90_90;0.665;0.538;0.373;;;;;;;;;;;;;;;;;0.537;0.665;0.552;0.648;0.647;0.665
ENST00000424352_90_90;0.859;0.719;0.49;;;;;;;;;;;;;;;;;0.789;0.821;0.762;0.847;0.921;0.893
ENST00000557796_90_90;0.842;0.693;0.491;;;;;;;;;;;;;;;;;0.692;0.843;0.71;0.821;0.819;0.842
ENST00000558313_90_90;0.322;0.288;0.496;;;;;;;;;;;;;;;;;0.287;0.323;0.295;0.314;0.314;0.322
ENST00000559085_90_90;0.819;0.718;0.479;;;;;;;;;;;;;;;;;0.718;0.821;0.692;0.849;0.847;0.819
ENST00000559561_90_90;0.882;0.693;0.502;;;;;;;;;;;;;;;;;0.762;0.841;0.784;0.821;0.893;0.918
ENST00000560570_90_90;0.243;0.194;0.244;;;;;;;;;;;;;;;;;0.248;0.214;0.256;0.209;0.262;0.27
ENST00000560617_90_90;0.22;0.198;0.341;;;;;;;;;;;;;;;;;0.197;0.221;0.203;0.215;0.215;0.22
ENST00000560697_90_90;0.163;0.143;0.26;;;;;;;;;;;;;;;;;0.143;0.163;0.146;0.16;0.159;0.163
ENST00000561208_90_90;0.73;0.877;0.453;;;;;;;;;;;;;;;;;0.958;0.693;0.929;0.719;0.789;0.762
ENST00000606653_90_90;0.201;0.182;0.297;;;;;;;;;;;;;;;;;0.182;0.201;0.187;0.196;0.196;0.201
ENST00000607277_90_90;0.507;0.43;0.244;;;;;;;;;;;;;;;;;0.43;0.508;0.441;0.495;0.494;0.507
ENSMUST00000028639_90_90;0.762;0.912;0.479;0.67;0.929;0.692;0.537;0.537;0.789;0.692;0.287;0.718;0.762;0.248;0.197;0.143;0.958;0.182;0.43;;;;;;
ENSMUST00000074285_90_90;0.911;0.76;0.56;0.663;0.711;0.843;0.665;0.665;0.821;0.843;0.323;0.821;0.841;0.214;0.221;0.163;0.693;0.201;0.508;;;;;;
ENSMUST00000102538_90_90;0.784;0.885;0.492;0.69;0.956;0.71;0.552;0.552;0.762;0.71;0.295;0.692;0.784;0.256;0.203;0.146;0.929;0.187;0.441;;;;;;
ENSMUST00000110906_90_90;0.887;0.786;0.546;0.646;0.693;0.821;0.648;0.648;0.847;0.821;0.314;0.849;0.821;0.209;0.215;0.16;0.719;0.196;0.495;;;;;;
ENSMUST00000110907_90_90;0.93;0.75;0.516;0.716;0.762;0.819;0.647;0.647;0.921;0.819;0.314;0.847;0.893;0.262;0.215;0.159;0.789;0.196;0.494;;;;;;
ENSMUST00000110908_90_90;0.958;0.724;0.529;0.736;0.784;0.842;0.665;0.665;0.893;0.842;0.322;0.819;0.918;0.27;0.22;0.163;0.762;0.201;0.507;;;;;;
