;ENSCAFT00000031843_90_90;ENST00000372554_90_90;ENST00000372559_90_90;ENST00000372564_90_90;ENST00000416230_90_90;ENST00000416629_90_90;ENST00000417224_90_90;ENST00000425236_90_90;ENST00000455407_90_90;ENSMUST00000028214_90_90;ENSMUST00000100215_90_90;ENSMUST00000113620_90_90;ENSMUST00000113621_90_90;ENSMUST00000163668_90_90
ENSCAFT00000031843_90_90;;0.066;0.073;0.073;0.0;0.078;0.069;0.0;0.0;0.066;0.062;0.069;0.059;0.066
ENST00000372554_90_90;0.066;;;;;;;;;0.711;0.74;0.662;0.769;0.692
ENST00000372559_90_90;0.073;;;;;;;;;0.748;0.728;0.697;0.711;0.678
ENST00000372564_90_90;0.073;;;;;;;;;0.748;0.728;0.697;0.711;0.678
ENST00000416230_90_90;0.0;;;;;;;;;0.313;0.303;0.331;0.293;0.319
ENST00000416629_90_90;0.078;;;;;;;;;0.697;0.678;0.735;0.662;0.714
ENST00000417224_90_90;0.069;;;;;;;;;0.728;0.759;0.678;0.74;0.709
ENST00000425236_90_90;0.0;;;;;;;;;0.136;0.131;0.143;0.127;0.138
ENST00000455407_90_90;0.0;;;;;;;;;0.056;0.054;0.059;0.052;0.057
ENSMUST00000028214_90_90;0.066;0.711;0.748;0.748;0.313;0.697;0.728;0.136;0.056;;;;;
ENSMUST00000100215_90_90;0.062;0.74;0.728;0.728;0.303;0.678;0.759;0.131;0.054;;;;;
ENSMUST00000113620_90_90;0.069;0.662;0.697;0.697;0.331;0.735;0.678;0.143;0.059;;;;;
ENSMUST00000113621_90_90;0.059;0.769;0.711;0.711;0.293;0.662;0.74;0.127;0.052;;;;;
ENSMUST00000163668_90_90;0.066;0.692;0.678;0.678;0.319;0.714;0.709;0.138;0.057;;;;;
