;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript18_hsap;transcript19_hsap;transcript20_hsap;transcript21_hsap;transcript11_ggor;transcript12_ggor;transcript16_ggor;transcript17_ggor;transcript18_ggor;transcript19_ggor;transcript8_pabe
transcript12_ppan;1.0;0.96;0.887;0.988;0.951;0.726;0.913;0.806;0.55;0.724;0.901;0.54;0.54;0.73;0.866;0.542
transcript19_ppan;0.96;1.0;0.924;0.948;0.913;0.697;0.949;0.837;0.527;0.707;0.908;0.526;0.526;0.714;0.899;0.52
transcript20_ppan;0.887;0.924;1.0;0.875;0.844;0.643;0.876;0.9;0.487;0.667;0.836;0.494;0.494;0.672;0.869;0.48
transcript12_ptro;0.988;0.948;0.875;1.0;0.941;0.718;0.902;0.795;0.544;0.716;0.889;0.533;0.533;0.723;0.855;0.536
transcript12_hsap;0.951;0.913;0.844;0.941;1.0;0.762;0.961;0.853;0.576;0.698;0.859;0.52;0.52;0.704;0.825;0.532
transcript18_hsap;0.726;0.697;0.643;0.718;0.762;1.0;0.73;0.699;0.662;0.703;0.66;0.565;0.565;0.738;0.634;0.617
transcript19_hsap;0.913;0.949;0.876;0.902;0.961;0.73;1.0;0.885;0.552;0.681;0.865;0.508;0.508;0.686;0.855;0.511
transcript20_hsap;0.806;0.837;0.9;0.795;0.853;0.699;0.885;1.0;0.489;0.613;0.758;0.452;0.452;0.627;0.785;0.451
transcript21_hsap;0.55;0.527;0.487;0.544;0.576;0.662;0.552;0.489;1.0;0.623;0.5;0.837;0.837;0.595;0.48;0.942
transcript11_ggor;0.724;0.707;0.667;0.716;0.698;0.703;0.681;0.613;0.623;1.0;0.729;0.765;0.765;0.941;0.732;0.648
transcript12_ggor;0.901;0.908;0.836;0.889;0.859;0.66;0.865;0.758;0.5;0.729;1.0;0.543;0.543;0.736;0.93;0.493
transcript16_ggor;0.54;0.526;0.494;0.533;0.52;0.565;0.508;0.452;0.837;0.765;0.543;1.0;1.0;0.718;0.544;0.861
transcript17_ggor;0.54;0.526;0.494;0.533;0.52;0.565;0.508;0.452;0.837;0.765;0.543;1.0;1.0;0.718;0.544;0.861
transcript18_ggor;0.73;0.714;0.672;0.723;0.704;0.738;0.686;0.627;0.595;0.941;0.736;0.718;0.718;1.0;0.74;0.608
transcript19_ggor;0.866;0.899;0.869;0.855;0.825;0.634;0.855;0.785;0.48;0.732;0.93;0.544;0.544;0.74;1.0;0.474
transcript8_pabe;0.542;0.52;0.48;0.536;0.532;0.617;0.511;0.451;0.942;0.648;0.493;0.861;0.861;0.608;0.474;1.0
