;ENSCAFT00000004031_90_90;ENST00000308924_90_90;ENST00000450554_90_90;ENST00000587196_90_90;ENST00000590551_90_90;ENST00000592874_90_90;ENSMUST00000005041_90_90;ENSMUST00000165399_90_90;ENSMUST00000207097_90_90;ENSMUST00000207498_90_90;ENSMUST00000209099_90_90
ENSCAFT00000004031_90_90;1.0;1.0;1.0;0.066;0.426;0.191;0.954;0.417;0.293;0.191;0.954
ENST00000308924_90_90;1.0;1.0;0.955;0.091;0.407;0.173;0.904;0.414;0.247;0.19;0.954
ENST00000450554_90_90;1.0;0.955;1.0;0.099;0.417;0.181;0.95;0.426;0.266;0.2;0.904
ENST00000587196_90_90;0.066;0.091;0.099;1.0;0.0;0.0;0.071;0.0;0.243;0.0;0.066
ENST00000590551_90_90;0.426;0.407;0.417;0.0;1.0;0.0;0.437;1.0;0.0;0.0;0.423
ENST00000592874_90_90;0.191;0.173;0.181;0.0;0.0;1.0;0.14;0.0;0.101;0.617;0.135
ENSMUST00000005041_90_90;0.954;0.904;0.95;0.071;0.437;0.14;1.0;0.417;0.213;0.237;0.955
ENSMUST00000165399_90_90;0.417;0.414;0.426;0.0;1.0;0.0;0.417;1.0;0.0;0.0;0.407
ENSMUST00000207097_90_90;0.293;0.247;0.266;0.243;0.0;0.101;0.213;0.0;1.0;0.0;0.202
ENSMUST00000207498_90_90;0.191;0.19;0.2;0.0;0.0;0.617;0.237;0.0;0.0;1.0;0.225
ENSMUST00000209099_90_90;0.954;0.954;0.904;0.066;0.423;0.135;0.955;0.407;0.202;0.225;1.0
