;ENSCAFT00000032063_90_90;ENSCAFT00000047065_90_90;ENSCAFT00000050191_90_90;ENST00000260506_90_90;ENST00000271234_90_90;ENST00000370253_90_90;ENST00000424449_90_90;ENST00000604705_90_90;ENSMUST00000162409_90_90;ENSMUST00000162947_90_90;ENSMUST00000197259_90_90
ENSCAFT00000032063_90_90;1.0;0.438;0.667;0.385;0.312;0.308;0.25;0.375;0.385;0.375;0.25
ENSCAFT00000047065_90_90;0.438;1.0;0.294;0.471;0.556;0.412;0.294;0.611;0.471;0.611;0.294
ENSCAFT00000050191_90_90;0.667;0.294;1.0;0.308;0.333;0.455;0.273;0.235;0.308;0.235;0.167
ENST00000260506_90_90;0.385;0.471;0.308;1.0;0.533;0.727;0.133;0.714;1.0;0.714;0.133
ENST00000271234_90_90;0.312;0.556;0.333;0.533;1.0;0.692;0.538;0.8;0.533;0.8;0.429
ENST00000370253_90_90;0.308;0.412;0.455;0.727;0.692;1.0;0.231;0.533;0.727;0.533;0.143
ENST00000424449_90_90;0.25;0.294;0.273;0.133;0.538;0.231;1.0;0.4;0.133;0.4;0.75
ENST00000604705_90_90;0.375;0.611;0.235;0.714;0.8;0.533;0.4;1.0;0.714;1.0;0.4
ENSMUST00000162409_90_90;0.385;0.471;0.308;1.0;0.533;0.727;0.133;0.714;1.0;0.714;0.133
ENSMUST00000162947_90_90;0.375;0.611;0.235;0.714;0.8;0.533;0.4;1.0;0.714;1.0;0.4
ENSMUST00000197259_90_90;0.25;0.294;0.167;0.133;0.429;0.143;0.75;0.4;0.133;0.4;1.0
