;transcript8_ENSMSIG00000000513;transcript8_ENSMUSG00000054036;transcript8_ENSRNOG00000031503;transcript47_MGP-SPRETEiJ-G0021131;transcript47_ENSMUSG00000054036;transcript47_ENSMUGG00000013649;transcript42_ENSMUSG00000054036;transcript42_ENSRNOG00000031503;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript44_ENSMUGG00000013649;transcript48_ENSMUGG00000013649;transcript28_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript53_ENSMUGG00000013592;transcript54_ENSMUGG00000013592;transcript25_ENSPEMG00000024651
transcript8_ENSMSIG00000000513;1.0;1.0;0.625;0.118;0.118;0.118;0.696;0.476;0.652;0.458;0.258;0.319;0.239;0.246;0.294;0.312;0.306;0.326;0.232
transcript8_ENSMUSG00000054036;1.0;1.0;0.625;0.118;0.118;0.118;0.696;0.476;0.652;0.458;0.258;0.319;0.239;0.246;0.294;0.312;0.306;0.326;0.232
transcript8_ENSRNOG00000031503;0.625;0.625;1.0;0.182;0.182;0.182;0.435;0.667;0.391;0.318;0.161;0.191;0.149;0.154;0.176;0.188;0.184;0.196;0.145
transcript47_MGP-SPRETEiJ-G0021131;0.118;0.118;0.182;1.0;1.0;1.0;0.083;0.125;0.042;0.158;0.048;0.065;0.045;0.046;0.06;0.064;0.062;0.067;0.043
transcript47_ENSMUSG00000054036;0.118;0.118;0.182;1.0;1.0;1.0;0.083;0.125;0.042;0.158;0.048;0.065;0.045;0.046;0.06;0.064;0.062;0.067;0.043
transcript47_ENSMUGG00000013649;0.118;0.118;0.182;1.0;1.0;1.0;0.083;0.125;0.042;0.158;0.048;0.065;0.045;0.046;0.06;0.064;0.062;0.067;0.043
transcript42_ENSMUSG00000054036;0.696;0.696;0.435;0.083;0.083;0.083;1.0;0.652;0.957;0.75;0.371;0.438;0.343;0.354;0.404;0.429;0.42;0.447;0.333
transcript42_ENSRNOG00000031503;0.476;0.476;0.667;0.125;0.125;0.125;0.652;1.0;0.609;0.545;0.242;0.271;0.224;0.231;0.25;0.265;0.26;0.277;0.217
transcript54_ENSMUSG00000054036;0.652;0.652;0.391;0.042;0.042;0.042;0.957;0.609;1.0;0.708;0.355;0.417;0.328;0.338;0.385;0.408;0.4;0.426;0.319
transcript55_ENSMUSG00000054036;0.458;0.458;0.318;0.158;0.158;0.158;0.75;0.545;0.708;1.0;0.306;0.383;0.284;0.292;0.353;0.375;0.367;0.391;0.275
transcript7_ENSMUGG00000013649;0.258;0.258;0.161;0.048;0.048;0.048;0.371;0.242;0.355;0.306;1.0;0.742;0.897;0.868;0.697;0.73;0.667;0.621;0.899
transcript7_ENSMUGG00000013592;0.319;0.319;0.191;0.065;0.065;0.065;0.438;0.271;0.417;0.383;0.742;1.0;0.662;0.657;0.92;0.979;0.88;0.82;0.667
transcript44_ENSMUGG00000013649;0.239;0.239;0.149;0.045;0.045;0.045;0.343;0.224;0.328;0.284;0.897;0.662;1.0;0.97;0.721;0.676;0.691;0.647;0.971
transcript48_ENSMUGG00000013649;0.246;0.246;0.154;0.046;0.046;0.046;0.354;0.231;0.338;0.292;0.868;0.657;0.97;1.0;0.716;0.672;0.687;0.642;0.942
transcript28_ENSMUGG00000013592;0.294;0.294;0.176;0.06;0.06;0.06;0.404;0.25;0.385;0.353;0.697;0.92;0.721;0.716;1.0;0.94;0.96;0.9;0.725
transcript52_ENSMUGG00000013592;0.312;0.312;0.188;0.064;0.064;0.064;0.429;0.265;0.408;0.375;0.73;0.979;0.676;0.672;0.94;1.0;0.9;0.84;0.681
transcript53_ENSMUGG00000013592;0.306;0.306;0.184;0.062;0.062;0.062;0.42;0.26;0.4;0.367;0.667;0.88;0.691;0.687;0.96;0.9;1.0;0.86;0.696
transcript54_ENSMUGG00000013592;0.326;0.326;0.196;0.067;0.067;0.067;0.447;0.277;0.426;0.391;0.621;0.82;0.647;0.642;0.9;0.84;0.86;1.0;0.652
transcript25_ENSPEMG00000024651;0.232;0.232;0.145;0.043;0.043;0.043;0.333;0.217;0.319;0.275;0.899;0.667;0.971;0.942;0.725;0.681;0.696;0.652;1.0
