;ENSCAFT00000014853_90_90;ENST00000323180_90_90;ENST00000418153_90_90;ENST00000524497_90_90;ENST00000525438_90_90;ENST00000525676_90_90;ENST00000527782_90_90;ENST00000529734_90_90;ENST00000529782_90_90;ENST00000530587_90_90;ENST00000531959_90_90;ENST00000532010_90_90;ENST00000532028_90_90;ENST00000532883_90_90;ENST00000533757_90_90;ENSMUST00000044036_90_90;ENSMUST00000068702_90_90;ENSMUST00000090586_90_90;ENSMUST00000111290_90_90;ENSMUST00000111291_90_90;ENSMUST00000111292_90_90;ENSMUST00000111293_90_90;ENSMUST00000111294_90_90;ENSMUST00000111297_90_90;ENSMUST00000128781_90_90;ENSMUST00000138995_90_90;ENSMUST00000159366_90_90;ENSMUST00000159727_90_90;ENSMUST00000159961_90_90;ENSMUST00000161067_90_90;ENSMUST00000162146_90_90;ENSMUST00000162188_90_90;ENSMUST00000162497_90_90
ENSCAFT00000014853_90_90;1.0;0.881;0.929;0.307;0.098;0.108;0.057;0.221;0.114;0.13;0.297;0.026;0.209;0.193;0.145;0.88;0.81;0.99;0.949;0.88;0.81;0.99;0.93;0.879;0.046;0.068;0.392;0.204;0.752;0.26;0.211;0.106;0.036
ENST00000323180_90_90;0.881;1.0;0.917;0.372;0.106;0.108;0.066;0.297;0.181;0.129;0.363;0.036;0.193;0.147;0.163;0.776;0.829;0.882;0.843;0.776;0.829;0.882;0.952;0.9;0.059;0.083;0.372;0.219;0.635;0.296;0.158;0.123;0.049
ENST00000418153_90_90;0.929;0.917;1.0;0.365;0.105;0.105;0.065;0.291;0.178;0.124;0.356;0.035;0.205;0.144;0.16;0.836;0.774;0.943;0.903;0.836;0.774;0.943;0.872;0.823;0.058;0.082;0.363;0.197;0.709;0.264;0.155;0.122;0.048
ENST00000524497_90_90;0.307;0.372;0.365;1.0;0.24;0.0;0.137;0.738;0.453;0.0;0.984;0.081;0.0;0.321;0.394;0.315;0.331;0.328;0.341;0.315;0.331;0.328;0.339;0.343;0.127;0.176;0.648;0.073;0.182;0.0;0.432;0.278;0.106
ENST00000525438_90_90;0.098;0.106;0.105;0.24;1.0;0.0;0.546;0.327;0.044;0.0;0.245;0.336;0.0;0.388;0.607;0.114;0.119;0.103;0.106;0.114;0.119;0.103;0.106;0.112;0.472;0.657;0.176;0.0;0.0;0.0;0.423;0.944;0.397
ENST00000525676_90_90;0.108;0.108;0.105;0.0;0.0;1.0;0.0;0.0;0.0;0.339;0.0;0.0;0.474;0.0;0.0;0.117;0.125;0.105;0.108;0.117;0.125;0.105;0.11;0.116;0.0;0.0;0.0;0.0;0.139;0.116;0.0;0.0;0.0
ENST00000527782_90_90;0.057;0.066;0.065;0.137;0.546;0.0;1.0;0.186;0.0;0.0;0.14;0.647;0.0;0.219;0.342;0.07;0.074;0.064;0.066;0.07;0.074;0.064;0.066;0.069;0.873;0.824;0.087;0.0;0.0;0.0;0.237;0.51;0.746
ENST00000529734_90_90;0.221;0.297;0.291;0.738;0.327;0.0;0.186;1.0;0.613;0.0;0.75;0.11;0.0;0.409;0.534;0.283;0.299;0.255;0.265;0.283;0.299;0.255;0.263;0.278;0.179;0.25;0.533;0.0;0.139;0.0;0.47;0.391;0.149
ENST00000529782_90_90;0.114;0.181;0.178;0.453;0.044;0.0;0.0;0.613;1.0;0.0;0.461;0.0;0.0;0.206;0.277;0.159;0.168;0.143;0.149;0.159;0.168;0.143;0.148;0.157;0.0;0.0;0.34;0.0;0.131;0.0;0.24;0.077;0.0
ENST00000530587_90_90;0.13;0.129;0.124;0.0;0.0;0.339;0.0;0.0;0.0;1.0;0.0;0.0;0.354;0.0;0.0;0.141;0.15;0.126;0.131;0.141;0.15;0.126;0.132;0.139;0.0;0.0;0.0;0.0;0.167;0.323;0.0;0.0;0.0
ENST00000531959_90_90;0.297;0.363;0.356;0.984;0.245;0.0;0.14;0.75;0.461;0.0;1.0;0.082;0.0;0.326;0.4;0.319;0.336;0.319;0.331;0.319;0.336;0.319;0.33;0.333;0.13;0.181;0.633;0.057;0.184;0.0;0.44;0.284;0.108
ENST00000532010_90_90;0.026;0.036;0.035;0.081;0.336;0.0;0.647;0.11;0.0;0.0;0.082;1.0;0.0;0.13;0.204;0.038;0.04;0.035;0.036;0.038;0.04;0.035;0.036;0.037;0.736;0.528;0.033;0.0;0.0;0.0;0.142;0.317;0.857
