;ENSCAFT00000009524_90_90;ENSCAFT00000009525_90_90;ENST00000305852_90_90;ENST00000357996_90_90;ENST00000379245_90_90;ENST00000405912_90_90;ENST00000413938_90_90;ENST00000414288_90_90;ENST00000432869_90_90;ENST00000441005_90_90;ENST00000451623_90_90;ENSMUST00000070039_90_90;ENSMUST00000112487_90_90
ENSCAFT00000009524_90_90;1.0;0.9;0.318;0.381;0.667;0.583;0.05;0.227;0.286;0.304;0.5;0.85;0.95
ENSCAFT00000009525_90_90;0.9;1.0;0.35;0.421;0.583;0.636;0.056;0.25;0.25;0.333;0.55;0.944;0.85
ENST00000305852_90_90;0.318;0.35;1.0;0.636;0.45;0.5;0.0;0.6;0.455;0.727;0.222;0.368;0.333
ENST00000357996_90_90;0.381;0.421;0.636;1.0;0.45;0.5;0.111;0.455;0.333;0.462;0.375;0.444;0.4
ENST00000379245_90_90;0.667;0.583;0.45;0.45;1.0;0.9;0.05;0.286;0.286;0.364;0.65;0.542;0.625
ENST00000405912_90_90;0.583;0.636;0.5;0.5;0.9;1.0;0.056;0.316;0.25;0.4;0.722;0.591;0.542
ENST00000413938_90_90;0.05;0.056;0.0;0.111;0.05;0.056;1.0;0.0;0.0;0.0;0.077;0.059;0.053
ENST00000414288_90_90;0.227;0.25;0.6;0.455;0.286;0.316;0.0;1.0;0.556;0.545;0.111;0.263;0.238
ENST00000432869_90_90;0.286;0.25;0.455;0.333;0.286;0.25;0.0;0.556;1.0;0.417;0.053;0.263;0.3
ENST00000441005_90_90;0.304;0.333;0.727;0.462;0.364;0.4;0.0;0.545;0.417;1.0;0.15;0.35;0.318
ENST00000451623_90_90;0.5;0.55;0.222;0.375;0.65;0.722;0.077;0.111;0.053;0.15;1.0;0.5;0.455
ENSMUST00000070039_90_90;0.85;0.944;0.368;0.444;0.542;0.591;0.059;0.263;0.263;0.35;0.5;1.0;0.895
ENSMUST00000112487_90_90;0.95;0.85;0.333;0.4;0.625;0.542;0.053;0.238;0.3;0.318;0.455;0.895;1.0
