;ENSCAFT00000002475_90_90;ENST00000341376_90_90;ENST00000353205_90_90;ENSMUST00000046719_90_90;ENSMUST00000078800_90_90;ENSMUST00000159063_90_90;ENSMUST00000159237_90_90;ENSMUST00000159535_90_90;ENSMUST00000160319_90_90;ENSMUST00000161117_90_90;ENSMUST00000161256_90_90;ENSMUST00000162460_90_90
ENSCAFT00000002475_90_90;1.0;1.0;0.916;0.998;0.995;0.897;0.518;0.666;0.981;0.618;0.608;0.914
ENST00000341376_90_90;1.0;1.0;0.916;0.998;0.995;0.897;0.517;0.667;0.981;0.616;0.606;0.915
ENST00000353205_90_90;0.916;0.916;1.0;0.915;0.917;0.979;0.564;0.592;0.897;0.578;0.661;0.998
ENSMUST00000046719_90_90;0.998;0.998;0.915;1.0;0.997;0.899;0.478;0.669;0.983;0.618;0.608;0.916
ENSMUST00000078800_90_90;0.995;0.995;0.917;0.997;1.0;0.902;0.48;0.671;0.98;0.619;0.61;0.919
ENSMUST00000159063_90_90;0.897;0.897;0.979;0.899;0.902;1.0;0.501;0.605;0.915;0.562;0.655;0.981
ENSMUST00000159237_90_90;0.518;0.517;0.564;0.478;0.48;0.501;1.0;0.178;0.462;0.24;0.736;0.518
ENSMUST00000159535_90_90;0.666;0.667;0.592;0.669;0.671;0.605;0.178;1.0;0.68;0.797;0.292;0.594
ENSMUST00000160319_90_90;0.981;0.981;0.897;0.983;0.98;0.915;0.462;0.68;1.0;0.6;0.6;0.899
ENSMUST00000161117_90_90;0.618;0.616;0.578;0.618;0.619;0.562;0.24;0.797;0.6;1.0;0.363;0.58
ENSMUST00000161256_90_90;0.608;0.606;0.661;0.608;0.61;0.655;0.736;0.292;0.6;0.363;1.0;0.664
ENSMUST00000162460_90_90;0.914;0.915;0.998;0.916;0.919;0.981;0.518;0.594;0.899;0.58;0.664;1.0
