;transcript7_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript17_ENSMPUG00000020072;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript12_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript22_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript9_ENSSTOG00000019743;transcript17_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript9_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript24_ENSCCNG00000000226;transcript26_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript9_ENSCPOG00000024843;transcript17_ENSCPOG00000024843;transcript18_ENSCPOG00000024843;transcript24_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript7_ENSMPUG00000020072;1.0;0.861;0.864;0.864;0.782;0.919;0.743;0.847;0.708;0.711;0.711;0.05;0.695;0.73;0.695;0.592;0.656;0.656;0.604;0.737;0.7;0.52;0.7;0.648;0.573;0.542;0.771;0.573;0.771;0.713;0.771
transcript10_ENSMPUG00000020072;0.861;1.0;0.996;0.996;0.78;0.935;0.875;0.98;0.804;0.8;0.8;0.047;0.798;0.76;0.798;0.696;0.758;0.758;0.708;0.756;0.794;0.621;0.794;0.745;0.701;0.67;0.895;0.701;0.895;0.722;0.895
transcript17_ENSMPUG00000020072;0.864;0.996;1.0;1.0;0.784;0.94;0.879;0.984;0.8;0.803;0.803;0.043;0.801;0.757;0.801;0.693;0.755;0.755;0.704;0.752;0.791;0.617;0.791;0.742;0.698;0.667;0.892;0.698;0.892;0.72;0.892
transcript20_ENSMPUG00000020072;0.864;0.996;1.0;1.0;0.784;0.94;0.879;0.984;0.8;0.803;0.803;0.043;0.801;0.757;0.801;0.693;0.755;0.755;0.704;0.752;0.791;0.617;0.791;0.742;0.698;0.667;0.892;0.698;0.892;0.72;0.892
transcript22_ENSMPUG00000020072;0.782;0.78;0.784;0.784;1.0;0.723;0.663;0.767;0.647;0.649;0.649;0.055;0.605;0.561;0.605;0.543;0.609;0.609;0.555;0.682;0.647;0.465;0.647;0.594;0.499;0.469;0.699;0.499;0.699;0.898;0.699
transcript23_ENSMPUG00000020072;0.919;0.935;0.94;0.94;0.723;1.0;0.819;0.923;0.754;0.757;0.757;0.046;0.763;0.801;0.763;0.651;0.714;0.714;0.662;0.706;0.745;0.57;0.745;0.695;0.642;0.611;0.837;0.642;0.837;0.663;0.837
transcript24_ENSMPUG00000020072;0.743;0.875;0.879;0.879;0.663;0.819;1.0;0.863;0.72;0.722;0.722;0.05;0.722;0.678;0.722;0.607;0.671;0.671;0.619;0.672;0.712;0.534;0.712;0.661;0.587;0.556;0.784;0.587;0.784;0.609;0.784
transcript25_ENSMPUG00000020072;0.847;0.98;0.984;0.984;0.767;0.923;0.863;1.0;0.785;0.788;0.788;0.044;0.789;0.746;0.789;0.677;0.74;0.74;0.689;0.74;0.779;0.627;0.779;0.73;0.709;0.677;0.877;0.709;0.877;0.704;0.877
transcript10_ENSECAG00000007947;0.708;0.804;0.8;0.8;0.647;0.754;0.72;0.785;1.0;0.996;0.996;0.047;0.808;0.77;0.808;0.697;0.761;0.761;0.711;0.766;0.802;0.64;0.802;0.748;0.71;0.679;0.897;0.71;0.897;0.721;0.897
transcript12_ENSECAG00000007947;0.711;0.8;0.803;0.803;0.649;0.757;0.722;0.788;0.996;1.0;1.0;0.043;0.811;0.766;0.811;0.694;0.758;0.758;0.708;0.762;0.798;0.637;0.798;0.744;0.707;0.676;0.893;0.707;0.893;0.718;0.893
transcript17_ENSECAG00000007947;0.711;0.8;0.803;0.803;0.649;0.757;0.722;0.788;0.996;1.0;1.0;0.043;0.811;0.766;0.811;0.694;0.758;0.758;0.708;0.762;0.798;0.637;0.798;0.744;0.707;0.676;0.893;0.707;0.893;0.718;0.893
