;ENSCAFT00000025578_90_90;ENSCAFT00000025580_90_90;ENST00000263846_90_90;ENST00000535826_90_90;ENST00000539008_90_90;ENST00000539246_90_90;ENST00000539468_90_90;ENST00000540677_90_90;ENST00000542670_90_90;ENST00000542836_90_90;ENST00000545053_90_90;ENSMUST00000073899_90_90;ENSMUST00000076968_90_90;ENSMUST00000169121_90_90;ENSMUST00000223586_90_90;ENSMUST00000224135_90_90;ENSMUST00000225452_90_90
ENSCAFT00000025578_90_90;1.0;0.499;0.215;0.326;0.464;0.151;0.151;0.29;0.39;0.252;0.199;0.215;0.39;0.353;0.252;0.314;0.329
ENSCAFT00000025580_90_90;0.499;1.0;0.373;0.501;0.663;0.154;0.154;0.459;0.577;0.415;0.212;0.373;0.577;0.534;0.415;0.488;0.321
ENST00000263846_90_90;0.215;0.373;1.0;0.839;0.706;0.116;0.116;0.885;0.772;0.938;0.27;1.0;0.772;0.808;0.938;0.853;0.099
ENST00000535826_90_90;0.326;0.501;0.839;1.0;0.837;0.156;0.156;0.946;0.75;0.893;0.216;0.839;0.75;0.706;0.893;0.738;0.251
ENST00000539008_90_90;0.464;0.663;0.706;0.837;1.0;0.126;0.126;0.794;0.913;0.75;0.171;0.706;0.913;0.87;0.75;0.823;0.247
ENST00000539246_90_90;0.151;0.154;0.116;0.156;0.126;1.0;1.0;0.103;0.139;0.177;0.409;0.116;0.139;0.092;0.177;0.098;0.451
ENST00000539468_90_90;0.151;0.154;0.116;0.156;0.126;1.0;1.0;0.103;0.139;0.177;0.409;0.116;0.139;0.092;0.177;0.098;0.451
ENST00000540677_90_90;0.29;0.459;0.885;0.946;0.794;0.103;0.103;1.0;0.706;0.839;0.232;0.885;0.706;0.736;0.839;0.772;0.2
ENST00000542670_90_90;0.39;0.577;0.772;0.75;0.913;0.139;0.139;0.706;1.0;0.82;0.19;0.772;1.0;0.953;0.82;0.9;0.161
ENST00000542836_90_90;0.252;0.415;0.938;0.893;0.75;0.177;0.177;0.839;0.82;1.0;0.247;0.938;0.82;0.772;1.0;0.811;0.149
ENST00000545053_90_90;0.199;0.212;0.27;0.216;0.171;0.409;0.409;0.232;0.19;0.247;1.0;0.27;0.19;0.202;0.247;0.218;0.26
ENSMUST00000073899_90_90;0.215;0.373;1.0;0.839;0.706;0.116;0.116;0.885;0.772;0.938;0.27;1.0;0.772;0.808;0.938;0.853;0.099
ENSMUST00000076968_90_90;0.39;0.577;0.772;0.75;0.913;0.139;0.139;0.706;1.0;0.82;0.19;0.772;1.0;0.953;0.82;0.9;0.161
ENSMUST00000169121_90_90;0.353;0.534;0.808;0.706;0.87;0.092;0.092;0.736;0.953;0.772;0.202;0.808;0.953;1.0;0.772;0.945;0.118
ENSMUST00000223586_90_90;0.252;0.415;0.938;0.893;0.75;0.177;0.177;0.839;0.82;1.0;0.247;0.938;0.82;0.772;1.0;0.811;0.149
ENSMUST00000224135_90_90;0.314;0.488;0.853;0.738;0.823;0.098;0.098;0.772;0.9;0.811;0.218;0.853;0.9;0.945;0.811;1.0;0.125
ENSMUST00000225452_90_90;0.329;0.321;0.099;0.251;0.247;0.451;0.451;0.2;0.161;0.149;0.26;0.099;0.161;0.118;0.149;0.125;1.0
