;ENSCAFT00000044998_90_90;ENST00000158771_90_90;ENST00000570848_90_90;ENST00000571476_90_90;ENST00000571971_90_90;ENST00000572834_90_90;ENST00000573637_90_90;ENST00000574952_90_90;ENST00000575605_90_90;ENST00000576551_90_90;ENSMUST00000018586_90_90;ENSMUST00000108523_90_90;ENSMUST00000131340_90_90;ENSMUST00000132198_90_90;ENSMUST00000143850_90_90;ENSMUST00000171041_90_90
ENSCAFT00000044998_90_90;1.0;1.0;0.561;0.375;0.758;0.339;0.204;0.204;0.537;0.371;0.423;0.947;0.073;0.197;1.0;0.645
ENST00000158771_90_90;1.0;1.0;0.507;0.365;0.685;0.33;0.156;0.156;0.512;0.349;0.437;0.955;0.064;0.194;1.0;0.634
ENST00000570848_90_90;0.561;0.507;1.0;0.495;0.766;0.526;0.22;0.22;0.37;0.628;0.662;0.586;0.103;0.33;0.561;0.196
ENST00000571476_90_90;0.375;0.365;0.495;1.0;0.384;0.416;0.199;0.199;0.111;0.773;0.874;0.392;0.141;0.295;0.375;0.078
ENST00000571971_90_90;0.758;0.685;0.766;0.384;1.0;0.404;0.183;0.183;0.446;0.485;0.503;0.79;0.08;0.254;0.758;0.392
ENST00000572834_90_90;0.339;0.33;0.526;0.416;0.404;1.0;0.329;0.329;0.078;0.482;0.528;0.354;0.149;0.513;0.339;0.077
ENST00000573637_90_90;0.204;0.156;0.22;0.199;0.183;0.329;1.0;1.0;0.0;0.245;0.305;0.176;0.566;0.599;0.17;0.0
ENST00000574952_90_90;0.204;0.156;0.22;0.199;0.183;0.329;1.0;1.0;0.0;0.245;0.305;0.176;0.566;0.599;0.17;0.0
ENST00000575605_90_90;0.537;0.512;0.37;0.111;0.446;0.078;0.0;0.0;1.0;0.15;0.117;0.494;0.0;0.0;0.537;0.667
ENST00000576551_90_90;0.371;0.349;0.628;0.773;0.485;0.482;0.245;0.245;0.15;1.0;0.864;0.388;0.142;0.389;0.371;0.036
ENSMUST00000018586_90_90;0.423;0.437;0.662;0.874;0.503;0.528;0.305;0.305;0.117;0.864;1.0;0.423;0.131;0.409;0.423;0.069
ENSMUST00000108523_90_90;0.947;0.955;0.586;0.392;0.79;0.354;0.176;0.176;0.494;0.388;0.423;1.0;0.062;0.188;0.921;0.581
ENSMUST00000131340_90_90;0.073;0.064;0.103;0.141;0.08;0.149;0.566;0.566;0.0;0.142;0.131;0.062;1.0;0.352;0.062;0.0
ENSMUST00000132198_90_90;0.197;0.194;0.33;0.295;0.254;0.513;0.599;0.599;0.0;0.389;0.409;0.188;0.352;1.0;0.188;0.0
ENSMUST00000143850_90_90;1.0;1.0;0.561;0.375;0.758;0.339;0.17;0.17;0.537;0.371;0.423;0.921;0.062;0.188;1.0;0.645
ENSMUST00000171041_90_90;0.645;0.634;0.196;0.078;0.392;0.077;0.0;0.0;0.667;0.036;0.069;0.581;0.0;0.0;0.645;1.0
