;ENSCAFT00000003036_90_90;ENST00000297620_90_90;ENST00000379078_90_90;ENST00000379080_90_90;ENST00000379081_90_90;ENST00000379084_90_90;ENST00000379087_90_90;ENST00000379089_90_90;ENST00000422409_90_90;ENST00000445726_90_90;ENSMUST00000108049_90_90;ENSMUST00000108050_90_90;ENSMUST00000108052_90_90
ENSCAFT00000003036_90_90;1.0;0.733;0.533;0.667;0.6;0.5;0.6;0.733;0.733;0.867;0.786;0.714;0.857
ENST00000297620_90_90;0.733;1.0;0.312;0.643;0.833;0.692;0.833;0.714;0.714;0.857;0.643;0.571;0.714
ENST00000379078_90_90;0.533;0.312;1.0;0.429;0.267;0.357;0.357;0.5;0.5;0.438;0.333;0.357;0.4
ENST00000379080_90_90;0.667;0.643;0.429;1.0;0.75;0.5;0.75;0.917;0.769;0.786;0.571;0.615;0.533
ENST00000379081_90_90;0.6;0.833;0.267;0.75;1.0;0.667;0.818;0.692;0.692;0.714;0.615;0.538;0.571
ENST00000379084_90_90;0.5;0.692;0.357;0.5;0.667;1.0;0.667;0.571;0.692;0.6;0.4;0.333;0.467
ENST00000379087_90_90;0.6;0.833;0.357;0.75;0.818;0.667;1.0;0.833;0.692;0.714;0.5;0.538;0.571
ENST00000379089_90_90;0.733;0.714;0.5;0.917;0.692;0.571;0.833;1.0;0.846;0.857;0.533;0.571;0.6
ENST00000422409_90_90;0.733;0.714;0.5;0.769;0.692;0.692;0.692;0.846;1.0;0.857;0.533;0.467;0.6
ENST00000445726_90_90;0.867;0.857;0.438;0.786;0.714;0.6;0.714;0.857;0.857;1.0;0.667;0.6;0.733
ENSMUST00000108049_90_90;0.786;0.643;0.333;0.571;0.615;0.4;0.5;0.533;0.533;0.667;1.0;0.909;0.917
ENSMUST00000108050_90_90;0.714;0.571;0.357;0.615;0.538;0.333;0.538;0.571;0.467;0.6;0.909;1.0;0.833
ENSMUST00000108052_90_90;0.857;0.714;0.4;0.533;0.571;0.467;0.571;0.6;0.6;0.733;0.917;0.833;1.0
