;ENSCAFT00000014361_90_90;ENSCAFT00000049149_90_90;ENST00000258104_90_90;ENST00000394120_90_90;ENST00000409366_90_90;ENST00000409582_90_90;ENST00000409651_90_90;ENST00000409744_90_90;ENST00000409762_90_90;ENST00000410020_90_90;ENST00000410041_90_90;ENST00000413539_90_90;ENST00000429174_90_90;ENSMUST00000081904_90_90;ENSMUST00000089595_90_90;ENSMUST00000113818_90_90;ENSMUST00000113821_90_90;ENSMUST00000113823_90_90;ENSMUST00000153860_90_90;ENSMUST00000168387_90_90;ENSMUST00000203695_90_90;ENSMUST00000203803_90_90;ENSMUST00000204354_90_90;ENSMUST00000204591_90_90;ENSMUST00000204987_90_90
ENSCAFT00000014361_90_90;1.0;0.827;0.817;0.87;0.913;0.907;0.915;0.913;0.863;0.959;0.915;0.863;0.861;0.885;0.843;0.843;0.793;0.836;0.833;0.829;0.885;0.865;0.883;0.877;0.883
ENSCAFT00000049149_90_90;0.827;1.0;0.94;0.901;0.949;0.942;0.863;0.949;0.894;0.905;0.863;0.894;0.99;0.835;0.87;0.87;0.902;0.863;0.95;0.945;0.835;0.823;0.913;0.906;0.913
ENST00000258104_90_90;0.817;0.94;1.0;0.909;0.874;0.877;0.872;0.835;0.912;0.804;0.833;0.954;0.957;0.797;0.871;0.829;0.959;0.874;0.918;1.0;0.836;0.875;0.799;0.841;0.838
ENST00000394120_90_90;0.87;0.901;0.909;1.0;0.957;0.804;0.954;0.914;0.833;0.877;0.912;0.872;0.874;0.874;0.959;0.913;0.871;0.797;0.838;0.909;0.915;0.798;0.876;0.771;0.918
ENST00000409366_90_90;0.913;0.949;0.874;0.957;1.0;0.843;0.916;0.958;0.804;0.918;0.877;0.841;0.914;0.841;0.918;0.876;0.838;0.771;0.879;0.874;0.881;0.772;0.919;0.809;0.962
ENST00000409582_90_90;0.907;0.942;0.877;0.804;0.843;1.0;0.845;0.872;0.957;0.914;0.874;0.92;0.918;0.838;0.771;0.795;0.841;0.918;0.883;0.877;0.811;0.847;0.836;0.962;0.809
ENST00000409651_90_90;0.915;0.863;0.872;0.954;0.916;0.845;1.0;0.877;0.876;0.92;0.958;0.914;0.841;0.919;0.915;0.874;0.836;0.839;0.807;0.872;0.962;0.841;0.841;0.811;0.881
ENST00000409744_90_90;0.913;0.949;0.835;0.914;0.958;0.872;0.877;1.0;0.831;0.954;0.91;0.804;0.875;0.872;0.876;0.911;0.799;0.795;0.839;0.835;0.841;0.735;0.959;0.836;0.919
ENST00000409762_90_90;0.863;0.894;0.912;0.833;0.804;0.957;0.876;0.831;1.0;0.874;0.909;0.958;0.877;0.871;0.797;0.825;0.874;0.959;0.841;0.912;0.839;0.879;0.795;0.918;0.771
ENST00000410020_90_90;0.959;0.905;0.804;0.877;0.918;0.914;0.92;0.954;0.874;1.0;0.957;0.845;0.843;0.918;0.841;0.872;0.771;0.838;0.809;0.804;0.885;0.775;0.915;0.879;0.883
ENST00000410041_90_90;0.915;0.863;0.833;0.912;0.877;0.874;0.958;0.91;0.909;0.957;1.0;0.876;0.804;0.959;0.874;0.909;0.797;0.871;0.771;0.833;0.919;0.802;0.872;0.838;0.841
ENST00000413539_90_90;0.863;0.894;0.954;0.872;0.841;0.92;0.914;0.804;0.958;0.845;0.876;1.0;0.916;0.839;0.836;0.797;0.915;0.919;0.881;0.954;0.879;0.92;0.771;0.885;0.807
ENST00000429174_90_90;0.861;0.99;0.957;0.874;0.914;0.918;0.841;0.875;0.877;0.843;0.804;0.916;1.0;0.771;0.838;0.799;0.918;0.841;0.962;0.957;0.807;0.843;0.839;0.883;0.879
ENSMUST00000081904_90_90;0.885;0.835;0.797;0.874;0.841;0.838;0.919;0.872;0.871;0.918;0.959;0.839;0.771;1.0;0.918;0.954;0.842;0.914;0.815;0.797;0.961;0.847;0.916;0.881;0.885
ENSMUST00000089595_90_90;0.843;0.87;0.871;0.959;0.918;0.771;0.915;0.876;0.797;0.841;0.874;0.836;0.838;0.918;1.0;0.958;0.914;0.842;0.881;0.859;0.957;0.843;0.92;0.815;0.96
ENSMUST00000113818_90_90;0.843;0.87;0.829;0.913;0.876;0.795;0.874;0.911;0.825;0.872;0.909;0.797;0.799;0.954;0.958;1.0;0.875;0.871;0.845;0.825;0.918;0.807;0.957;0.841;0.92
ENSMUST00000113821_90_90;0.793;0.902;0.959;0.871;0.838;0.841;0.836;0.799;0.874;0.771;0.797;0.915;0.918;0.842;0.914;0.875;1.0;0.918;0.96;0.931;0.879;0.919;0.845;0.885;0.881
ENSMUST00000113823_90_90;0.836;0.863;0.874;0.797;0.771;0.918;0.839;0.795;0.959;0.838;0.871;0.919;0.841;0.914;0.842;0.871;0.918;1.0;0.885;0.863;0.883;0.923;0.841;0.96;0.815
ENSMUST00000153860_90_90;0.833;0.95;0.918;0.838;0.879;0.883;0.807;0.839;0.841;0.809;0.771;0.881;0.962;0.815;0.881;0.845;0.96;0.885;1.0;0.899;0.849;0.885;0.883;0.923;0.919
ENSMUST00000168387_90_90;0.829;0.945;1.0;0.909;0.874;0.877;0.872;0.835;0.912;0.804;0.833;0.954;0.957;0.797;0.859;0.825;0.931;0.863;0.899;1.0;0.83;0.863;0.799;0.835;0.833
ENSMUST00000203695_90_90;0.885;0.835;0.836;0.915;0.881;0.811;0.962;0.841;0.839;0.885;0.919;0.879;0.807;0.961;0.957;0.918;0.879;0.883;0.849;0.83;1.0;0.883;0.885;0.853;0.921
ENSMUST00000203803_90_90;0.865;0.823;0.875;0.798;0.772;0.847;0.841;0.735;0.879;0.775;0.802;0.92;0.843;0.847;0.843;0.807;0.919;0.923;0.885;0.863;0.883;1.0;0.781;0.889;0.816
ENSMUST00000204354_90_90;0.883;0.913;0.799;0.876;0.919;0.836;0.841;0.959;0.795;0.915;0.872;0.771;0.839;0.916;0.92;0.957;0.845;0.841;0.883;0.799;0.885;0.781;1.0;0.879;0.961
ENSMUST00000204591_90_90;0.877;0.906;0.841;0.771;0.809;0.962;0.811;0.836;0.918;0.879;0.838;0.885;0.883;0.881;0.815;0.841;0.885;0.96;0.923;0.835;0.853;0.889;0.879;1.0;0.851
ENSMUST00000204987_90_90;0.883;0.913;0.838;0.918;0.962;0.809;0.881;0.919;0.771;0.883;0.841;0.807;0.879;0.885;0.96;0.92;0.881;0.815;0.919;0.833;0.921;0.816;0.961;0.851;1.0
