;ENSCAFT00000023019_90_90;ENST00000221222_90_90;ENST00000392351_90_90;ENST00000433218_90_90;ENST00000539827_90_90;ENST00000542541_90_90;ENST00000594439_90_90;ENST00000594794_90_90;ENST00000596482_90_90;ENST00000599097_90_90;ENST00000600077_90_90;ENSMUST00000003669_90_90;ENSMUST00000087467_90_90;ENSMUST00000110124_90_90;ENSMUST00000135368_90_90;ENSMUST00000140212_90_90
ENSCAFT00000023019_90_90;1.0;0.908;0.941;0.908;0.941;0.941;0.863;0.485;0.632;0.178;0.356;0.969;0.216;0.969;0.245;0.935
ENST00000221222_90_90;0.908;1.0;0.966;1.0;0.966;0.966;0.887;0.5;0.653;0.182;0.366;0.934;0.221;0.934;0.211;0.901
ENST00000392351_90_90;0.941;0.966;1.0;0.966;1.0;1.0;0.92;0.534;0.631;0.177;0.355;0.968;0.216;0.968;0.245;0.934
ENST00000433218_90_90;0.908;1.0;0.966;1.0;0.966;0.966;0.887;0.5;0.653;0.182;0.366;0.934;0.221;0.934;0.211;0.901
ENST00000539827_90_90;0.941;0.966;1.0;0.966;1.0;1.0;0.92;0.534;0.631;0.177;0.355;0.968;0.216;0.968;0.245;0.934
ENST00000542541_90_90;0.941;0.966;1.0;0.966;1.0;1.0;0.92;0.534;0.631;0.177;0.355;0.968;0.216;0.968;0.245;0.934
ENST00000594439_90_90;0.863;0.887;0.92;0.887;0.92;0.92;1.0;0.578;0.551;0.195;0.276;0.889;0.234;0.889;0.267;0.855
ENST00000594794_90_90;0.485;0.5;0.534;0.5;0.534;0.534;0.578;1.0;0.165;0.052;0.042;0.502;0.044;0.502;0.365;0.468
ENST00000596482_90_90;0.632;0.653;0.631;0.653;0.631;0.631;0.551;0.165;1.0;0.276;0.559;0.651;0.328;0.651;0.132;0.675
ENST00000599097_90_90;0.178;0.182;0.177;0.182;0.177;0.177;0.195;0.052;0.276;1.0;0.484;0.182;0.601;0.182;0.0;0.187
ENST00000600077_90_90;0.356;0.366;0.355;0.366;0.355;0.355;0.276;0.042;0.559;0.484;1.0;0.366;0.544;0.366;0.0;0.378
ENSMUST00000003669_90_90;0.969;0.934;0.968;0.934;0.968;0.968;0.889;0.502;0.651;0.182;0.366;1.0;0.221;1.0;0.254;0.965
ENSMUST00000087467_90_90;0.216;0.221;0.216;0.221;0.216;0.216;0.234;0.044;0.328;0.601;0.544;0.221;1.0;0.221;0.0;0.228
ENSMUST00000110124_90_90;0.969;0.934;0.968;0.934;0.968;0.968;0.889;0.502;0.651;0.182;0.366;1.0;0.221;1.0;0.254;0.965
ENSMUST00000135368_90_90;0.245;0.211;0.245;0.211;0.245;0.245;0.267;0.365;0.132;0.0;0.0;0.254;0.0;0.254;1.0;0.263
ENSMUST00000140212_90_90;0.935;0.901;0.934;0.901;0.934;0.934;0.855;0.468;0.675;0.187;0.378;0.965;0.228;0.965;0.263;1.0
