;ENSCAFT00000004512_90_90;ENST00000344157_90_90;ENST00000355665_90_90;ENST00000505251_90_90;ENST00000507529_90_90;ENST00000510746_90_90;ENST00000579690_90_90;ENSMUST00000038384_90_90;ENSMUST00000119339_90_90;ENSMUST00000120498_90_90;ENSMUST00000156363_90_90
ENSCAFT00000004512_90_90;1.0;0.843;0.809;0.075;0.075;0.034;0.845;0.811;0.774;0.808;0.59
ENST00000344157_90_90;0.843;1.0;0.961;0.078;0.076;0.035;0.947;0.861;0.866;0.903;0.601
ENST00000355665_90_90;0.809;0.961;1.0;0.082;0.08;0.037;0.911;0.828;0.897;0.866;0.621
ENST00000505251_90_90;0.075;0.078;0.082;1.0;0.0;0.419;0.073;0.073;0.082;0.078;0.097
ENST00000507529_90_90;0.075;0.076;0.08;0.0;1.0;0.0;0.073;0.073;0.08;0.076;0.0
ENST00000510746_90_90;0.034;0.035;0.037;0.419;0.0;1.0;0.033;0.033;0.037;0.035;0.042
ENST00000579690_90_90;0.845;0.947;0.911;0.073;0.073;0.033;1.0;0.91;0.828;0.861;0.577
ENSMUST00000038384_90_90;0.811;0.861;0.828;0.073;0.073;0.033;0.91;1.0;0.911;0.947;0.578
ENSMUST00000119339_90_90;0.774;0.866;0.897;0.082;0.08;0.037;0.828;0.911;1.0;0.961;0.623
ENSMUST00000120498_90_90;0.808;0.903;0.866;0.078;0.076;0.035;0.861;0.947;0.961;1.0;0.603
ENSMUST00000156363_90_90;0.59;0.601;0.621;0.097;0.0;0.042;0.577;0.578;0.623;0.603;1.0
