;ENSCAFT00000015927_90_90;ENSCAFT00000024036_90_90;ENST00000304523_90_90;ENST00000441778_90_90;ENST00000502640_90_90;ENST00000506732_90_90;ENST00000507464_90_90;ENST00000508918_90_90;ENST00000512345_90_90;ENST00000515064_90_90;ENST00000361198_90_90;ENST00000425280_90_90;ENSMUST00000026252_90_90;ENSMUST00000056931_90_90;ENSMUST00000137771_90_90;ENSMUST00000152946_90_90;ENSMUST00000156585_90_90;ENSMUST00000185355_90_90;ENSMUST00000070748_90_90;ENSMUST00000199256_90_90;ENSMUST00000199261_90_90;ENSMUST00000199534_90_90
ENSCAFT00000015927_90_90;1.0;0.756;0.588;0.574;0.541;0.141;0.563;0.0;0.014;0.562;0.848;0.935;0.848;0.848;0.76;0.84;0.935;0.935;0.688;0.506;0.664;0.529
ENSCAFT00000024036_90_90;0.756;1.0;0.728;0.874;0.867;0.375;0.597;0.131;0.17;0.687;0.633;0.709;0.633;0.633;0.659;0.634;0.709;0.709;0.867;0.789;0.831;0.826
ENST00000304523_90_90;0.588;0.728;1.0;0.667;0.683;0.348;0.851;0.118;0.155;0.966;0.479;0.547;0.461;0.461;0.521;0.435;0.526;0.526;0.786;0.755;0.743;0.797
ENST00000441778_90_90;0.574;0.874;0.667;1.0;0.791;0.406;0.532;0.134;0.179;0.636;0.441;0.509;0.441;0.441;0.445;0.457;0.509;0.509;0.748;0.958;0.71;1.0
ENST00000502640_90_90;0.541;0.867;0.683;0.791;1.0;0.42;0.544;0.139;0.185;0.653;0.411;0.481;0.412;0.412;0.414;0.427;0.482;0.482;0.921;0.771;0.877;0.81
ENST00000506732_90_90;0.141;0.375;0.348;0.406;0.42;1.0;0.283;0.159;0.264;0.358;0.037;0.108;0.037;0.037;0.036;0.038;0.108;0.108;0.388;0.421;0.405;0.406
ENST00000507464_90_90;0.563;0.597;0.851;0.532;0.544;0.283;1.0;0.0;0.035;0.817;0.48;0.552;0.461;0.461;0.534;0.436;0.53;0.53;0.639;0.602;0.595;0.645
ENST00000508918_90_90;0.0;0.131;0.118;0.134;0.139;0.159;0.0;1.0;0.451;0.119;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.134;0.147;0.137;0.145
ENST00000512345_90_90;0.014;0.17;0.155;0.179;0.185;0.264;0.035;0.451;1.0;0.159;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.175;0.192;0.181;0.186
ENST00000515064_90_90;0.562;0.687;0.966;0.636;0.653;0.358;0.817;0.119;0.159;1.0;0.454;0.522;0.436;0.436;0.497;0.411;0.502;0.502;0.743;0.79;0.78;0.755
ENST00000361198_90_90;0.848;0.633;0.479;0.441;0.411;0.037;0.48;0.0;0.0;0.454;1.0;0.899;1.0;1.0;0.885;0.984;0.899;0.899;0.571;0.392;0.547;0.415
ENST00000425280_90_90;0.935;0.709;0.547;0.509;0.481;0.108;0.552;0.0;0.0;0.522;0.899;1.0;0.899;0.899;0.795;0.885;1.0;1.0;0.635;0.457;0.611;0.48
ENSMUST00000026252_90_90;0.848;0.633;0.461;0.441;0.412;0.037;0.461;0.0;0.0;0.436;1.0;0.899;1.0;1.0;0.839;0.984;0.899;0.899;0.571;0.392;0.547;0.415
ENSMUST00000056931_90_90;0.848;0.633;0.461;0.441;0.412;0.037;0.461;0.0;0.0;0.436;1.0;0.899;1.0;1.0;0.839;0.984;0.899;0.899;0.571;0.392;0.547;0.415
ENSMUST00000137771_90_90;0.76;0.659;0.521;0.445;0.414;0.036;0.534;0.0;0.0;0.497;0.885;0.795;0.839;0.839;1.0;0.823;0.757;0.757;0.594;0.41;0.57;0.433
ENSMUST00000152946_90_90;0.84;0.634;0.435;0.457;0.427;0.038;0.436;0.0;0.0;0.411;0.984;0.885;0.984;0.984;0.823;1.0;0.885;0.885;0.572;0.392;0.548;0.415
ENSMUST00000156585_90_90;0.935;0.709;0.526;0.509;0.482;0.108;0.53;0.0;0.0;0.502;0.899;1.0;0.899;0.899;0.757;0.885;1.0;1.0;0.635;0.457;0.611;0.48
ENSMUST00000185355_90_90;0.935;0.709;0.526;0.509;0.482;0.108;0.53;0.0;0.0;0.502;0.899;1.0;0.899;0.899;0.757;0.885;1.0;1.0;0.635;0.457;0.611;0.48
ENSMUST00000070748_90_90;0.688;0.867;0.786;0.748;0.921;0.388;0.639;0.134;0.175;0.743;0.571;0.635;0.571;0.571;0.594;0.572;0.635;0.635;1.0;0.609;0.969;0.636
ENSMUST00000199256_90_90;0.506;0.789;0.755;0.958;0.771;0.421;0.602;0.147;0.192;0.79;0.392;0.457;0.392;0.392;0.41;0.392;0.457;0.457;0.609;1.0;0.623;0.958
ENSMUST00000199261_90_90;0.664;0.831;0.743;0.71;0.877;0.405;0.595;0.137;0.181;0.78;0.547;0.611;0.547;0.547;0.57;0.548;0.611;0.611;0.969;0.623;1.0;0.609
ENSMUST00000199534_90_90;0.529;0.826;0.797;1.0;0.81;0.406;0.645;0.145;0.186;0.755;0.415;0.48;0.415;0.415;0.433;0.415;0.48;0.48;0.636;0.958;0.609;1.0
