;ENSCAFT00000011155_90_90;ENST00000355221_90_90;ENST00000359530_90_90;ENST00000396774_90_90;ENST00000519588_90_90;ENST00000520188_90_90;ENST00000521275_90_90;ENST00000522849_90_90;ENST00000524164_90_90;ENST00000524234_90_90;ENSMUST00000044369_90_90;ENSMUST00000192029_90_90;ENSMUST00000192698_90_90;ENSMUST00000192847_90_90;ENSMUST00000194676_90_90
ENSCAFT00000011155_90_90;1.0;0.961;0.999;0.999;0.075;0.917;0.21;0.168;0.099;0.209;1.0;0.159;0.963;0.913;0.29
ENST00000355221_90_90;0.961;1.0;0.963;0.963;0.077;0.88;0.219;0.131;0.103;0.218;0.961;0.166;0.999;0.874;0.3
ENST00000359530_90_90;0.999;0.963;1.0;1.0;0.075;0.917;0.211;0.168;0.099;0.21;0.999;0.159;0.961;0.912;0.289
ENST00000396774_90_90;0.999;0.963;1.0;1.0;0.075;0.917;0.211;0.168;0.099;0.21;0.999;0.159;0.961;0.912;0.289
ENST00000519588_90_90;0.075;0.077;0.075;0.075;1.0;0.03;0.353;0.0;0.392;0.355;0.075;0.141;0.077;0.082;0.257
ENST00000520188_90_90;0.917;0.88;0.917;0.917;0.03;1.0;0.128;0.183;0.017;0.127;0.917;0.174;0.88;0.83;0.207
ENST00000521275_90_90;0.21;0.219;0.211;0.211;0.353;0.128;1.0;0.0;0.471;0.993;0.21;0.53;0.218;0.23;0.724
ENST00000522849_90_90;0.168;0.131;0.168;0.168;0.0;0.183;0.0;1.0;0.0;0.0;0.168;0.038;0.131;0.184;0.147
ENST00000524164_90_90;0.099;0.103;0.099;0.099;0.392;0.017;0.471;0.0;1.0;0.474;0.099;0.068;0.102;0.108;0.34
ENST00000524234_90_90;0.209;0.218;0.21;0.21;0.355;0.127;0.993;0.0;0.474;1.0;0.209;0.524;0.217;0.229;0.72
ENSMUST00000044369_90_90;1.0;0.961;0.999;0.999;0.075;0.917;0.21;0.168;0.099;0.209;1.0;0.159;0.963;0.913;0.29
ENSMUST00000192029_90_90;0.159;0.166;0.159;0.159;0.141;0.174;0.53;0.038;0.068;0.524;0.159;1.0;0.166;0.175;0.55
ENSMUST00000192698_90_90;0.963;0.999;0.961;0.961;0.077;0.88;0.218;0.131;0.102;0.217;0.963;0.166;1.0;0.876;0.301
ENSMUST00000192847_90_90;0.913;0.874;0.912;0.912;0.082;0.83;0.23;0.184;0.108;0.229;0.913;0.175;0.876;1.0;0.317
ENSMUST00000194676_90_90;0.29;0.3;0.289;0.289;0.257;0.207;0.724;0.147;0.34;0.72;0.29;0.55;0.301;0.317;1.0
