;ENSCAFT00000022682_90_90;ENST00000389384_90_90;ENST00000454077_90_90;ENST00000587097_90_90;ENST00000589805_90_90;ENST00000590169_90_90;ENST00000590537_90_90;ENST00000591295_90_90;ENSMUST00000073234_90_90;ENSMUST00000107132_90_90;ENSMUST00000107134_90_90;ENSMUST00000137387_90_90;ENSMUST00000141516_90_90
ENSCAFT00000022682_90_90;;0.825;0.826;0.742;0.291;0.335;0.133;0.447;0.879;0.877;0.879;0.843;0.726
ENST00000389384_90_90;0.825;;;;;;;;0.873;0.822;0.873;0.788;0.618
ENST00000454077_90_90;0.826;;;;;;;;0.822;0.887;0.822;0.853;0.581
ENST00000587097_90_90;0.742;;;;;;;;0.786;0.739;0.786;0.706;0.536
ENST00000589805_90_90;0.291;;;;;;;;0.308;0.291;0.308;0.254;0.076
ENST00000590169_90_90;0.335;;;;;;;;0.355;0.333;0.355;0.296;0.119
ENST00000590537_90_90;0.133;;;;;;;;0.14;0.134;0.14;0.138;0.179
ENST00000591295_90_90;0.447;;;;;;;;0.473;0.444;0.473;0.458;0.574
ENSMUST00000073234_90_90;0.879;0.873;0.822;0.786;0.308;0.355;0.14;0.473;;;;;
ENSMUST00000107132_90_90;0.877;0.822;0.887;0.739;0.291;0.333;0.134;0.444;;;;;
ENSMUST00000107134_90_90;0.879;0.873;0.822;0.786;0.308;0.355;0.14;0.473;;;;;
ENSMUST00000137387_90_90;0.843;0.788;0.853;0.706;0.254;0.296;0.138;0.458;;;;;
ENSMUST00000141516_90_90;0.726;0.618;0.581;0.536;0.076;0.119;0.179;0.574;;;;;
