;transcript24_ENSAPOG00000023408;transcript7_ENSAPOG00000023408;transcript20_ENSAPOG00000016134;transcript23_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript12_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript8_ENSAPOG00000016134;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript17_ENSHGLG00000019563;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSXMAG00000026005;transcript0_ENSPNYG00000024266;transcript22_ENSMUNG00000002391;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391
transcript24_ENSAPOG00000023408;1.0;0.964;0.713;0.554;0.617;0.693;0.693;0.485;0.479;0.638;0.574;0.574;0.579;0.562;0.567;0.567;0.314;0.421;0.585;0.463;0.463;0.463;0.637;0.629;0.629;0.715;0.633;0.533
transcript7_ENSAPOG00000023408;0.964;1.0;0.736;0.578;0.648;0.715;0.715;0.509;0.503;0.659;0.602;0.602;0.606;0.59;0.594;0.594;0.304;0.449;0.609;0.489;0.489;0.489;0.674;0.649;0.649;0.75;0.655;0.558
transcript20_ENSAPOG00000016134;0.713;0.736;1.0;0.775;0.611;0.964;0.964;0.642;0.661;0.764;0.782;0.782;0.786;0.768;0.772;0.772;0.512;0.652;0.733;0.666;0.666;0.666;0.621;0.754;0.754;0.695;0.782;0.717
transcript23_ENSAPOG00000023408;0.554;0.578;0.775;1.0;0.506;0.811;0.811;0.692;0.709;0.758;0.803;0.803;0.804;0.79;0.791;0.791;0.503;0.646;0.76;0.7;0.7;0.7;0.488;0.749;0.749;0.581;0.754;0.766
transcript22_ENSAPOG00000023408;0.617;0.648;0.611;0.506;1.0;0.591;0.591;0.72;0.71;0.547;0.71;0.71;0.71;0.696;0.696;0.696;0.402;0.55;0.529;0.671;0.671;0.671;0.996;0.539;0.539;1.0;0.543;0.698
transcript12_ENSAPOG00000023408;0.693;0.715;0.964;0.811;0.591;1.0;1.0;0.754;0.769;0.94;0.925;0.925;0.931;0.912;0.917;0.917;0.645;0.774;0.925;0.79;0.79;0.79;0.597;0.929;0.929;0.671;0.935;0.831
transcript12_ENSAPOG00000016134;0.693;0.715;0.964;0.811;0.591;1.0;1.0;0.672;0.693;0.792;0.818;0.818;0.823;0.804;0.808;0.808;0.549;0.688;0.762;0.7;0.7;0.7;0.597;0.781;0.781;0.671;0.811;0.75
transcript10_ENSAPOG00000016134;0.485;0.509;0.642;0.692;0.72;0.754;0.672;1.0;0.972;0.73;0.985;0.985;0.985;0.968;0.968;0.968;0.711;0.847;0.734;0.964;0.964;0.964;0.611;0.727;0.727;0.637;0.756;0.97
transcript17_ENSAPOG00000016134;0.479;0.503;0.661;0.709;0.71;0.769;0.693;0.972;1.0;0.748;1.0;1.0;1.0;0.982;0.982;0.982;0.726;0.862;0.746;0.979;0.979;0.979;0.604;0.738;0.738;0.629;0.768;0.985
transcript8_ENSAPOG00000016134;0.638;0.659;0.764;0.758;0.547;0.94;0.792;0.73;0.748;1.0;0.938;0.938;0.952;0.923;0.937;0.937;0.699;0.819;0.984;0.758;0.758;0.758;0.465;0.987;0.987;0.534;0.984;0.828
transcript10_ENSHGLG00100003156;0.574;0.602;0.782;0.803;0.71;0.925;0.818;0.985;1.0;0.938;1.0;1.0;1.0;0.922;0.922;0.922;0.669;0.814;0.858;0.915;0.915;0.915;0.604;0.863;0.863;0.629;0.894;0.948
transcript17_ENSHGLG00100003156;0.574;0.602;0.782;0.803;0.71;0.925;0.818;0.985;1.0;0.938;1.0;1.0;1.0;0.922;0.922;0.922;0.669;0.814;0.858;0.915;0.915;0.915;0.604;0.863;0.863;0.629;0.894;0.948
transcript17_ENSHGLG00000019563;0.579;0.606;0.786;0.804;0.71;0.931;0.823;0.985;1.0;0.952;1.0;1.0;1.0;0.927;0.927;0.927;0.671;0.818;0.875;0.919;0.919;0.919;0.604;0.881;0.881;0.629;0.909;0.951
