;transcript8_ENSMSIG00000000513;transcript8_ENSMUSG00000054036;transcript8_ENSRNOG00000031503;transcript47_MGP-SPRETEiJ-G0021131;transcript47_ENSMUSG00000054036;transcript47_ENSMUGG00000013649;transcript42_ENSMUSG00000054036;transcript42_ENSRNOG00000031503;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript44_ENSMUGG00000013649;transcript48_ENSMUGG00000013649;transcript28_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript53_ENSMUGG00000013592;transcript54_ENSMUGG00000013592;transcript25_ENSPEMG00000024651
transcript8_ENSMSIG00000000513;1.0;1.0;1.0;1.0;0.229;0.114;1.0;1.0;0.943;0.771;0.771;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript8_ENSMUSG00000054036;1.0;1.0;1.0;1.0;0.229;0.114;0.778;0.765;0.733;0.6;0.659;0.791;0.778;0.778;0.791;0.791;0.791;0.791;0.778
transcript8_ENSRNOG00000031503;1.0;1.0;1.0;1.0;0.269;0.154;0.765;0.765;0.706;0.588;0.667;0.788;0.765;0.765;0.788;0.788;0.788;0.788;0.765
transcript47_MGP-SPRETEiJ-G0021131;1.0;1.0;1.0;1.0;1.0;0.375;1.0;1.0;0.875;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript47_ENSMUSG00000054036;0.229;0.229;0.269;1.0;1.0;0.333;0.178;0.206;0.159;0.216;0.242;0.186;0.178;0.178;0.186;0.186;0.186;0.186;0.178
transcript47_ENSMUGG00000013649;0.114;0.114;0.154;0.375;0.333;1.0;0.089;0.118;0.044;0.079;0.061;0.068;0.047;0.048;0.054;0.067;0.059;0.057;0.046
transcript42_ENSMUSG00000054036;1.0;0.778;0.765;1.0;0.178;0.089;1.0;1.0;0.956;0.822;0.733;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript42_ENSRNOG00000031503;1.0;0.765;0.765;1.0;0.206;0.118;1.0;1.0;0.941;0.824;0.706;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript54_ENSMUSG00000054036;0.943;0.733;0.706;0.875;0.159;0.044;0.956;0.941;1.0;0.818;0.689;0.953;0.956;0.956;0.953;0.953;0.953;0.953;0.956
transcript55_ENSMUSG00000054036;0.771;0.6;0.588;1.0;0.216;0.079;0.822;0.824;0.818;1.0;0.591;0.837;0.822;0.822;0.837;0.837;0.837;0.837;0.822
transcript7_ENSMUGG00000013649;0.771;0.659;0.667;1.0;0.242;0.061;0.733;0.706;0.689;0.591;1.0;0.72;0.754;0.778;0.75;0.713;0.652;0.696;0.762
transcript7_ENSMUGG00000013592;1.0;0.791;0.788;1.0;0.186;0.068;1.0;1.0;0.953;0.837;0.72;1.0;0.777;0.75;0.786;0.989;0.688;0.732;0.786
transcript44_ENSMUGG00000013649;1.0;0.778;0.765;1.0;0.178;0.047;1.0;1.0;0.956;0.822;0.754;0.777;1.0;0.969;0.991;0.786;0.893;0.938;0.992
transcript48_ENSMUGG00000013649;1.0;0.778;0.765;1.0;0.178;0.048;1.0;1.0;0.956;0.822;0.778;0.75;0.969;1.0;0.964;0.759;0.866;0.911;0.962
transcript28_ENSMUGG00000013592;1.0;0.791;0.788;1.0;0.186;0.054;1.0;1.0;0.953;0.837;0.75;0.786;0.991;0.964;1.0;0.795;0.902;0.946;1.0
transcript52_ENSMUGG00000013592;1.0;0.791;0.788;1.0;0.186;0.067;1.0;1.0;0.953;0.837;0.713;0.989;0.786;0.759;0.795;1.0;0.696;0.741;0.795
transcript53_ENSMUGG00000013592;1.0;0.791;0.788;1.0;0.186;0.059;1.0;1.0;0.953;0.837;0.652;0.688;0.893;0.866;0.902;0.696;1.0;0.935;0.902
transcript54_ENSMUGG00000013592;1.0;0.791;0.788;1.0;0.186;0.057;1.0;1.0;0.953;0.837;0.696;0.732;0.938;0.911;0.946;0.741;0.935;1.0;0.946
transcript25_ENSPEMG00000024651;1.0;0.778;0.765;1.0;0.178;0.046;1.0;1.0;0.956;0.822;0.762;0.786;0.992;0.962;1.0;0.795;0.902;0.946;1.0
