;ENSCAFT00000023990_90_90;ENST00000220429_90_90;ENST00000359031_90_90;ENST00000380877_90_90;ENST00000396464_90_90;ENST00000429662_90_90;ENST00000543881_90_90;ENST00000558335_90_90;ENST00000558970_90_90;ENST00000560825_90_90;ENST00000561010_90_90;ENSMUST00000039978_90_90;ENSMUST00000089745_90_90;ENSMUST00000103226_90_90;ENSMUST00000103227_90_90;ENSMUST00000110424_90_90;ENSMUST00000110425_90_90;ENSMUST00000124972_90_90;ENSMUST00000137335_90_90
ENSCAFT00000023990_90_90;;0.816;0.732;0.853;0.732;0.704;0.669;0.248;0.222;0.709;0.372;0.392;0.483;0.386;0.379;0.379;0.373;0.146;0.086
ENST00000220429_90_90;0.816;;;;;;;;;;;0.5;0.603;0.49;0.486;0.486;0.477;0.159;0.104
ENST00000359031_90_90;0.732;;;;;;;;;;;0.432;0.536;0.424;0.417;0.417;0.409;0.187;0.122
ENST00000380877_90_90;0.853;;;;;;;;;;;0.417;0.511;0.409;0.404;0.404;0.396;0.177;0.116
ENST00000396464_90_90;0.732;;;;;;;;;;;0.432;0.536;0.424;0.417;0.417;0.409;0.187;0.122
ENST00000429662_90_90;0.704;;;;;;;;;;;0.515;0.629;0.506;0.5;0.5;0.49;0.168;0.11
ENST00000543881_90_90;0.669;;;;;;;;;;;0.355;0.432;0.348;0.347;0.347;0.339;0.0;0.0
ENST00000558335_90_90;0.248;;;;;;;;;;;0.266;0.336;0.26;0.254;0.254;0.247;0.651;0.425
ENST00000558970_90_90;0.222;;;;;;;;;;;0.242;0.31;0.237;0.231;0.231;0.225;0.703;0.46
ENST00000560825_90_90;0.709;;;;;;;;;;;0.44;0.546;0.432;0.425;0.425;0.417;0.192;0.126
ENST00000561010_90_90;0.372;;;;;;;;;;;0.209;0.256;0.203;0.205;0.205;0.2;0.0;0.0
ENSMUST00000039978_90_90;0.392;0.5;0.432;0.417;0.432;0.515;0.355;0.266;0.242;0.44;0.209;;;;;;;;
ENSMUST00000089745_90_90;0.483;0.603;0.536;0.511;0.536;0.629;0.432;0.336;0.31;0.546;0.256;;;;;;;;
ENSMUST00000103226_90_90;0.386;0.49;0.424;0.409;0.424;0.506;0.348;0.26;0.237;0.432;0.203;;;;;;;;
ENSMUST00000103227_90_90;0.379;0.486;0.417;0.404;0.417;0.5;0.347;0.254;0.231;0.425;0.205;;;;;;;;
ENSMUST00000110424_90_90;0.379;0.486;0.417;0.404;0.417;0.5;0.347;0.254;0.231;0.425;0.205;;;;;;;;
ENSMUST00000110425_90_90;0.373;0.477;0.409;0.396;0.409;0.49;0.339;0.247;0.225;0.417;0.2;;;;;;;;
ENSMUST00000124972_90_90;0.146;0.159;0.187;0.177;0.187;0.168;0.0;0.651;0.703;0.192;0.0;;;;;;;;
ENSMUST00000137335_90_90;0.086;0.104;0.122;0.116;0.122;0.11;0.0;0.425;0.46;0.126;0.0;;;;;;;;
