;ENSCAFT00000036803_90_90;ENST00000260648_90_90;ENST00000378511_90_90;ENST00000378520_90_90;ENST00000409272_90_90;ENST00000409411_90_90;ENST00000409936_90_90;ENST00000409957_90_90;ENST00000410081_90_90;ENST00000420756_90_90;ENST00000425263_90_90;ENST00000426481_90_90;ENST00000438314_90_90;ENST00000444696_90_90;ENST00000541738_90_90;ENSMUST00000072406_90_90;ENSMUST00000171795_90_90
ENSCAFT00000036803_90_90;1.0;1.0;0.915;0.913;1.0;0.814;1.0;0.814;1.0;0.139;1.0;1.0;0.27;0.131;0.814;0.849;1.0
ENST00000260648_90_90;1.0;1.0;0.919;0.916;1.0;0.785;1.0;0.785;1.0;0.123;1.0;1.0;0.296;0.118;0.785;0.815;1.0
ENST00000378511_90_90;0.915;0.919;1.0;0.835;0.919;0.704;0.919;0.704;0.919;0.134;0.919;0.919;0.322;0.128;0.704;0.731;0.915
ENST00000378520_90_90;0.913;0.916;0.835;1.0;0.916;0.701;0.916;0.701;0.916;0.134;0.916;0.916;0.323;0.129;0.701;0.728;0.913
ENST00000409272_90_90;1.0;1.0;0.919;0.916;1.0;0.785;1.0;0.785;1.0;0.123;1.0;1.0;0.296;0.118;0.785;0.815;1.0
ENST00000409411_90_90;0.814;0.785;0.704;0.701;0.785;1.0;0.785;1.0;0.785;0.159;0.785;0.785;0.081;0.153;1.0;1.0;0.815
ENST00000409936_90_90;1.0;1.0;0.919;0.916;1.0;0.785;1.0;0.785;1.0;0.123;1.0;1.0;0.296;0.118;0.785;0.815;1.0
ENST00000409957_90_90;0.814;0.785;0.704;0.701;0.785;1.0;0.785;1.0;0.785;0.159;0.785;0.785;0.081;0.153;1.0;1.0;0.815
ENST00000410081_90_90;1.0;1.0;0.919;0.916;1.0;0.785;1.0;0.785;1.0;0.123;1.0;1.0;0.296;0.118;0.785;0.815;1.0
ENST00000420756_90_90;0.139;0.123;0.134;0.134;0.123;0.159;0.123;0.159;0.123;1.0;0.123;0.123;0.0;0.304;0.159;0.173;0.139
ENST00000425263_90_90;1.0;1.0;0.919;0.916;1.0;0.785;1.0;0.785;1.0;0.123;1.0;1.0;0.296;0.118;0.785;0.815;1.0
ENST00000426481_90_90;1.0;1.0;0.919;0.916;1.0;0.785;1.0;0.785;1.0;0.123;1.0;1.0;0.296;0.118;0.785;0.815;1.0
ENST00000438314_90_90;0.27;0.296;0.322;0.323;0.296;0.081;0.296;0.081;0.296;0.0;0.296;0.296;1.0;0.0;0.081;0.084;0.27
ENST00000444696_90_90;0.131;0.118;0.128;0.129;0.118;0.153;0.118;0.153;0.118;0.304;0.118;0.118;0.0;1.0;0.153;0.165;0.131
ENST00000541738_90_90;0.814;0.785;0.704;0.701;0.785;1.0;0.785;1.0;0.785;0.159;0.785;0.785;0.081;0.153;1.0;1.0;0.815
ENSMUST00000072406_90_90;0.849;0.815;0.731;0.728;0.815;1.0;0.815;1.0;0.815;0.173;0.815;0.815;0.084;0.165;1.0;1.0;0.815
ENSMUST00000171795_90_90;1.0;1.0;0.915;0.913;1.0;0.815;1.0;0.815;1.0;0.139;1.0;1.0;0.27;0.131;0.815;0.815;1.0
