;ENSCAFT00000007541_90_90;ENST00000260643_90_90;ENST00000406567_90_90;ENST00000430533_90_90;ENST00000441451_90_90;ENST00000444452_90_90;ENST00000456259_90_90;ENSMUST00000074840_90_90;ENSMUST00000201002_90_90;ENSMUST00000201821_90_90;ENSMUST00000202567_90_90
ENSCAFT00000007541_90_90;1.0;0.857;0.75;0.333;0.136;0.1;0.292;0.95;0.375;0.15;0.8
ENST00000260643_90_90;0.857;1.0;0.789;0.421;0.143;0.105;0.364;0.9;0.333;0.158;0.75
ENST00000406567_90_90;0.75;0.789;1.0;0.211;0.053;0.133;0.238;0.789;0.217;0.2;0.632
ENST00000430533_90_90;0.333;0.421;0.211;1.0;0.3;0.0;0.462;0.35;0.312;0.1;0.412
ENST00000441451_90_90;0.136;0.143;0.053;0.3;1.0;0.0;0.231;0.143;0.125;0.0;0.167
ENST00000444452_90_90;0.1;0.105;0.133;0.0;0.0;1.0;0.0;0.105;0.0;0.0;0.125
ENST00000456259_90_90;0.292;0.364;0.238;0.462;0.231;0.0;1.0;0.304;0.333;0.077;0.227
ENSMUST00000074840_90_90;0.95;0.9;0.789;0.35;0.143;0.105;0.304;1.0;0.391;0.158;0.842
ENSMUST00000201002_90_90;0.375;0.333;0.217;0.312;0.125;0.0;0.333;0.391;1.0;0.143;0.381
ENSMUST00000201821_90_90;0.15;0.158;0.2;0.1;0.0;0.0;0.077;0.158;0.143;1.0;0.188
ENSMUST00000202567_90_90;0.8;0.75;0.632;0.412;0.167;0.125;0.227;0.842;0.381;0.188;1.0
