;ENSCAFT00000023220_90_90;ENST00000248450_90_90;ENST00000420660_90_90;ENST00000422731_90_90;ENST00000444053_90_90;ENST00000447885_90_90;ENSMUST00000006462_90_90;ENSMUST00000178235_90_90;ENSMUST00000187046_90_90;ENSMUST00000190008_90_90
ENSCAFT00000023220_90_90;1.0;0.927;0.881;0.392;0.964;0.409;0.966;1.0;0.301;0.233
ENST00000248450_90_90;0.927;1.0;0.748;0.368;0.936;0.409;0.964;0.904;0.317;0.188
ENST00000420660_90_90;0.881;0.748;1.0;0.354;0.802;0.389;0.721;0.774;0.305;0.311
ENST00000422731_90_90;0.392;0.368;0.354;1.0;0.351;0.0;0.392;0.369;0.185;0.0
ENST00000444053_90_90;0.964;0.936;0.802;0.351;1.0;0.387;0.904;0.968;0.301;0.173
ENST00000447885_90_90;0.409;0.409;0.389;0.0;0.387;1.0;0.409;0.387;0.369;0.279
ENSMUST00000006462_90_90;0.966;0.964;0.721;0.392;0.904;0.409;1.0;0.94;0.301;0.181
ENSMUST00000178235_90_90;1.0;0.904;0.774;0.369;0.968;0.387;0.94;1.0;0.288;0.17
ENSMUST00000187046_90_90;0.301;0.317;0.305;0.185;0.301;0.369;0.301;0.288;1.0;0.12
ENSMUST00000190008_90_90;0.233;0.188;0.311;0.0;0.173;0.279;0.181;0.17;0.12;1.0
