;ENSCAFT00000026849_90_90;ENST00000259021_90_90;ENST00000424009_90_90;ENST00000435742_90_90;ENST00000454930_90_90;ENST00000506533_90_90;ENST00000509773_90_90;ENST00000510819_90_90;ENSMUST00000072621_90_90;ENSMUST00000092766_90_90;ENSMUST00000103159_90_90;ENSMUST00000107733_90_90;ENSMUST00000107734_90_90;ENSMUST00000138671_90_90
ENSCAFT00000026849_90_90;1.0;1.0;0.923;0.615;0.692;0.077;0.692;0.615;0.857;0.929;0.786;0.857;0.929;0.143
ENST00000259021_90_90;1.0;1.0;0.933;0.533;0.733;0.067;0.733;0.667;0.733;0.8;0.867;0.933;1.0;0.133
ENST00000424009_90_90;0.923;0.933;1.0;0.571;0.667;0.071;0.786;0.714;0.786;0.733;0.929;1.0;0.933;0.143
ENST00000435742_90_90;0.615;0.533;0.571;1.0;0.462;0.125;0.462;0.5;0.727;0.667;0.615;0.571;0.533;0.25
ENST00000454930_90_90;0.692;0.733;0.667;0.462;1.0;0.0;0.833;0.909;0.467;0.533;0.714;0.667;0.733;0.182
ENST00000506533_90_90;0.077;0.067;0.071;0.125;0.0;1.0;0.0;0.0;0.091;0.083;0.077;0.071;0.067;0.0
ENST00000509773_90_90;0.692;0.733;0.786;0.462;0.833;0.0;1.0;0.909;0.571;0.533;0.714;0.786;0.733;0.182
ENST00000510819_90_90;0.615;0.667;0.714;0.5;0.909;0.0;0.909;1.0;0.5;0.467;0.769;0.714;0.667;0.2
ENSMUST00000072621_90_90;0.857;0.733;0.786;0.727;0.467;0.091;0.571;0.5;1.0;0.929;0.625;0.688;0.647;0.154
ENSMUST00000092766_90_90;0.929;0.8;0.733;0.667;0.533;0.083;0.533;0.467;0.929;1.0;0.588;0.647;0.706;0.143
ENSMUST00000103159_90_90;0.786;0.867;0.929;0.615;0.714;0.077;0.714;0.769;0.625;0.588;1.0;0.929;0.867;0.154
ENSMUST00000107733_90_90;0.857;0.933;1.0;0.571;0.667;0.071;0.786;0.714;0.688;0.647;0.929;1.0;0.933;0.143
ENSMUST00000107734_90_90;0.929;1.0;0.933;0.533;0.733;0.067;0.733;0.667;0.647;0.706;0.867;0.933;1.0;0.133
ENSMUST00000138671_90_90;0.143;0.133;0.143;0.25;0.182;0.0;0.182;0.2;0.154;0.143;0.154;0.143;0.133;1.0
