;ENSCAFT00000016649_90_90;ENST00000360194_90_90;ENST00000525338_90_90;ENST00000528985_90_90;ENST00000529731_90_90;ENST00000530043_90_90;ENST00000533050_90_90;ENST00000627851_90_90;ENSMUST00000059057_90_90;ENSMUST00000063782_90_90;ENSMUST00000121564_90_90;ENSMUST00000125087_90_90;ENSMUST00000133739_90_90;ENSMUST00000214230_90_90;ENSMUST00000217306_90_90
ENSCAFT00000016649_90_90;1.0;0.65;0.333;0.684;0.571;0.167;0.667;0.571;0.895;0.789;0.895;0.471;0.222;0.056;0.118
ENST00000360194_90_90;0.65;1.0;0.438;0.824;0.778;0.25;0.889;0.778;0.667;0.571;0.667;0.333;0.167;0.0;0.125
ENST00000525338_90_90;0.333;0.438;1.0;0.467;0.438;0.375;0.389;0.438;0.3;0.333;0.3;0.364;0.2;0.0;0.125
ENST00000528985_90_90;0.684;0.824;0.467;1.0;0.632;0.267;0.737;0.632;0.7;0.6;0.7;0.353;0.176;0.0;0.133
ENST00000529731_90_90;0.571;0.778;0.438;0.632;1.0;0.176;0.889;1.0;0.667;0.737;0.667;0.2;0.312;0.0;0.125
ENST00000530043_90_90;0.167;0.25;0.375;0.267;0.176;1.0;0.222;0.176;0.15;0.105;0.15;0.333;0.125;0.0;0.0
ENST00000533050_90_90;0.667;0.889;0.389;0.737;0.889;0.222;1.0;0.889;0.762;0.667;0.762;0.3;0.278;0.0;0.111
ENST00000627851_90_90;0.571;0.778;0.438;0.632;1.0;0.176;0.889;1.0;0.667;0.737;0.667;0.2;0.312;0.0;0.125
ENSMUST00000059057_90_90;0.895;0.667;0.3;0.7;0.667;0.15;0.762;0.667;1.0;0.895;1.0;0.421;0.263;0.05;0.105
ENSMUST00000063782_90_90;0.789;0.571;0.333;0.6;0.737;0.105;0.667;0.737;0.895;1.0;0.895;0.316;0.294;0.056;0.118
ENSMUST00000121564_90_90;0.895;0.667;0.3;0.7;0.667;0.15;0.762;0.667;1.0;0.895;1.0;0.421;0.263;0.05;0.105
ENSMUST00000125087_90_90;0.471;0.333;0.364;0.353;0.2;0.333;0.3;0.2;0.421;0.316;0.421;1.0;0.182;0.111;0.0
ENSMUST00000133739_90_90;0.222;0.167;0.2;0.176;0.312;0.125;0.278;0.312;0.263;0.294;0.263;0.182;1.0;0.0;0.0
ENSMUST00000214230_90_90;0.056;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05;0.056;0.05;0.111;0.0;1.0;0.0
ENSMUST00000217306_90_90;0.118;0.125;0.125;0.133;0.125;0.0;0.111;0.125;0.105;0.118;0.105;0.0;0.0;0.0;1.0
