;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript49_MGP-SPRETEiJ-G0021131;transcript60_ENSMSIG00000000513;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript40_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript66_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript38_MGP-CAROLIEiJ-G0020234;transcript38_MGP-PahariEiJ-G0020237;transcript47_MGP-CAROLIEiJ-G0020234
transcript8_ENSMSIG00000000513;1.0;0.147;0.149;0.167;0.168;0.171;0.114;0.127;0.129;0.134;0.133;0.112;0.119;0.116
transcript49_ENSMSIG00000000513;0.147;1.0;0.98;0.887;0.878;0.861;0.744;0.686;0.715;0.609;0.615;0.612;0.67;0.621
transcript49_MGP-SPRETEiJ-G0021131;0.149;0.98;1.0;0.869;0.859;0.843;0.755;0.696;0.726;0.603;0.609;0.597;0.657;0.607
transcript60_ENSMSIG00000000513;0.167;0.887;0.869;1.0;0.956;0.94;0.674;0.619;0.643;0.631;0.637;0.645;0.715;0.667
transcript61_ENSMSIG00000000513;0.168;0.878;0.859;0.956;1.0;0.982;0.667;0.61;0.635;0.603;0.609;0.629;0.699;0.638
transcript62_ENSMSIG00000000513;0.171;0.861;0.843;0.94;0.982;1.0;0.654;0.598;0.644;0.591;0.596;0.623;0.686;0.633
transcript40_MGP-SPRETEiJ-G0021131;0.114;0.744;0.755;0.674;0.667;0.654;1.0;0.896;0.879;0.822;0.828;0.763;0.87;0.776
transcript65_MGP-SPRETEiJ-G0021131;0.127;0.686;0.696;0.619;0.61;0.598;0.896;1.0;0.799;0.734;0.74;0.692;0.78;0.703
transcript66_MGP-SPRETEiJ-G0021131;0.129;0.715;0.726;0.643;0.635;0.644;0.879;0.799;1.0;0.718;0.724;0.683;0.766;0.695
transcript7_ENSMUSG00000054036;0.134;0.609;0.603;0.631;0.603;0.591;0.822;0.734;0.718;1.0;0.994;0.744;0.845;0.769
transcript46_ENSMUSG00000054036;0.133;0.615;0.609;0.637;0.609;0.596;0.828;0.74;0.724;0.994;1.0;0.749;0.851;0.774
transcript38_MGP-CAROLIEiJ-G0020234;0.112;0.612;0.597;0.645;0.629;0.623;0.763;0.692;0.683;0.744;0.749;1.0;0.863;0.966
transcript38_MGP-PahariEiJ-G0020237;0.119;0.67;0.657;0.715;0.699;0.686;0.87;0.78;0.766;0.845;0.851;0.863;1.0;0.833
transcript47_MGP-CAROLIEiJ-G0020234;0.116;0.621;0.607;0.667;0.638;0.633;0.776;0.703;0.695;0.769;0.774;0.966;0.833;1.0
