;ENSCAFT00000027630_90_90;ENST00000258962_90_90;ENST00000581979_90_90;ENST00000582730_90_90;ENST00000583741_90_90;ENST00000584668_90_90;ENST00000584773_90_90;ENST00000585096_90_90;ENSMUST00000079866_90_90;ENSMUST00000107920_90_90;ENSMUST00000134824_90_90;ENSMUST00000139129_90_90;ENSMUST00000172186_90_90
ENSCAFT00000027630_90_90;1.0;0.974;0.726;0.726;0.257;0.559;0.995;0.285;0.727;0.996;0.393;0.975;0.202
ENST00000258962_90_90;0.974;1.0;0.694;0.694;0.26;0.575;0.967;0.282;0.693;0.966;0.361;0.999;0.175
ENST00000581979_90_90;0.726;0.694;1.0;1.0;0.321;0.297;0.681;0.348;0.998;0.68;0.44;0.693;0.213
ENST00000582730_90_90;0.726;0.694;1.0;1.0;0.321;0.297;0.681;0.348;0.998;0.68;0.44;0.693;0.213
ENST00000583741_90_90;0.257;0.26;0.321;0.321;1.0;0.0;0.255;0.882;0.323;0.257;0.0;0.262;0.0
ENST00000584668_90_90;0.559;0.575;0.297;0.297;0.0;1.0;0.554;0.0;0.297;0.554;0.464;0.575;0.232
ENST00000584773_90_90;0.995;0.967;0.681;0.681;0.255;0.554;1.0;0.289;0.68;0.999;0.389;0.966;0.202
ENST00000585096_90_90;0.285;0.282;0.348;0.348;0.882;0.0;0.289;1.0;0.346;0.287;0.013;0.281;0.018
ENSMUST00000079866_90_90;0.727;0.693;0.998;0.998;0.323;0.297;0.68;0.346;1.0;0.681;0.44;0.694;0.213
ENSMUST00000107920_90_90;0.996;0.966;0.68;0.68;0.257;0.554;0.999;0.287;0.681;1.0;0.388;0.967;0.201
ENSMUST00000134824_90_90;0.393;0.361;0.44;0.44;0.0;0.464;0.389;0.013;0.44;0.388;1.0;0.36;0.543
ENSMUST00000139129_90_90;0.975;0.999;0.693;0.693;0.262;0.575;0.966;0.281;0.694;0.967;0.36;1.0;0.174
ENSMUST00000172186_90_90;0.202;0.175;0.213;0.213;0.0;0.232;0.202;0.018;0.213;0.201;0.543;0.174;1.0
